3037454	De vez em quando ele viaja a Tóquio a trabalho.	335587	Hän menee silloin tällöin työasioissa Tokioon.
752767	Qual é a capital da Finlândia?	335656	Mikä on Suomen pääkaupunki?
1458237	Meu irmão e eu dividimos o mesmo quarto.	354222	Jaoin huoneen veljeni kanssa.
340437	Eu não falo japonês.	368187	En puhu japania.
1421451	Está inconsciente.	388190	Hän on tajuton.
514757	O meu número de telefone é 789.	516181	Puhelinnumeroni on 789.
4737980	Kate correu para o restaurante do meu pai.	722581	Kate juoksi isäni ravintolaan.
773323	Você quer comer?	773330	Haluatko syödä?
773323	Você quer comer?	773331	Tahdotko syödä?
397665	Por quê?	778970	Miksi?
773100	Você está com sede?	781097	Onko sinulla jano?
1132549	Estou pronto.	797121	Olen valmis.
1078811	Eu fui ao aeroporto para vê-lo partir.	812636	Menin lentokentälle saattamaan häntä.
1453174	Quanto custa a cadeira de madeira?	812650	Paljonko puinen tuoli maksaa?
731666	Ele é meu melhor amigo.	831244	Hän on paras ystäväni.
1052974	Meu filho ainda não sabe contar.	831866	Poikani ei osaa vielä laskea.
7683094	Houve um terrível terremoto na ilha.	878427	Saarella on ollut hirveä maanjäristys.
879574	A xícara está sobre a mesa.	879572	Kuppi on pöydällä.
331974	Não sei.	917614	Minä en tiedä.
380508	Eu não sei.	917614	Minä en tiedä.
999730	Onde está o seu cão?	1009870	Missä koirasi on?
999731	Onde está o seu cachorro?	1009870	Missä koirasi on?
576842	Você está cansado?	1011547	Oletko väsynyt?
770807	Você ainda é jovem.	1012449	Sinä olet edelleen nuori.
770642	Eu não consegui dormir.	1012597	En voinut nukkua.
1013179	O hotel é administrado pelo irmão da mãe dele.	1013155	Hänen enonsa johtaa tuota hotellia.
1013178	O hotel é administrado pelo irmão do pai dele.	1013162	Hänen setänsä johtaa tuota hotellia.
1013184	Ele disse a ela que a amava.	1013163	Hän sanoi hänelle, että hän rakasti häntä.
3742369	Sou finlandês.	1014526	Olen suomalainen.
3742372	Eu sou finlandês.	1014526	Olen suomalainen.
7751685	Eu sou da Finlândia.	1014527	Olen Suomesta.
7790237	Sou da Finlandia.	1014527	Olen Suomesta.
1987365	Qual é maior, o sol ou a Terra?	1030691	Kumpi on suurempi; Aurinko vai Kuu?
863565	Eu não falo alemão.	1031732	En puhu saksaa.
1458338	Você toma livros emprestados.	1033343	Sinä lainaat kirjoja.
893785	Ela tem óculos de sol.	1070897	Hänellä on aurinkolasit.
909413	Ela não sabe nadar.	1081471	Hän ei osaa uida.
5152149	Eu não posso beber leite.	1085297	En voi juoda maitoa.
7189681	Não posso beber leite.	1085297	En voi juoda maitoa.
1469681	Boa noite a todos!	1085320	Hyvää yötä kaikille!
977348	Por que tu compraste flores?	1152919	Miksi ostit kukkia?
340438	Nós não conseguimos dormir por causa do barulho.	1159267	Emme voi nukkua melun vuoksi.
1394503	A primeira estação do ano é a primavera.	1159691	Ensimmäinen vuodenaika on kevät.
729187	Boa viagem!	1160190	Hyvää matkaa!
576812	Diga-me a verdade.	1160700	Sano minulle totuus.
826360	Eu preciso de muitos livros.	1170659	Tarvitsen paljon kirjoja.
826360	Eu preciso de muitos livros.	1170660	Tarvitsen monta kirjaa.
993084	Não falta nada.	1180711	Mitään ei puutu.
1389393	O menino estava tão cansado que não conseguia dar mais um passo.	1180792	Poika oli niin väsynyt, ettei jaksanut ottaa enää askeltakaan.
1291720	Voltei para o Japão.	1181242	Palasin Japaniin.
1069450	Onde mora o seu avô?	1184566	Missä vaarisi asuu?
999865	Ele é poeta.	1184963	Hän on runoilija.
397175	Você fala inglês?	1186831	Osaatko englantia?
380388	Ele foi condenado à morte.	1202449	Hänet tuomittiin kuolemaan.
883251	Eu faria qualquer coisa menos isso.	1222382	Tekisin mitä tahansa paitsi tuota.
879934	Mais café, por favor.	1224163	Saisinko lisää kahvia?
996202	Onde está o aeroporto?	1345951	Missä on lentokenttä?
996203	Onde é o aeroporto?	1345951	Missä on lentokenttä?
6994292	Vives em Portugal ou no Brasil?	1390213	Asutko Portugalissa vai Brasiliassa?
1433825	Ele bateu à porta.	1433848	Hän koputti oveen.
719712	Tenho dois livros.	1495952	Minulla on kaksi kirjaa.
5173777	Bem que podemos esperar.	1606984	Meidän kannattaa varmaan odottaa.
5173779	Mais vale esperar.	1606984	Meidän kannattaa varmaan odottaa.
985229	Eu moro aqui.	1609430	Asun täällä.
380435	Obrigado!	1614473	Kiitos!
748781	Obrigada!	1614473	Kiitos!
378572	Ele fala inglês melhor do que eu.	1631795	Hän puhuu englantia paremmin kuin minä.
1207571	Ele fala inglês melhor que eu.	1631795	Hän puhuu englantia paremmin kuin minä.
1175486	Estudo história da arte.	1631929	Opiskelen taidehistoriaa.
970562	Este livro é novo.	1634066	Tämä kirja on uusi.
1644704	Ela tinha uma boa razão para pedir o divórcio.	1694649	Hänellä oli hyvä syy hakea avioeroa.
6325145	"Eu não gosto de cenouras." "Nem eu."	1735692	"En tykkää porkkanoista." "En minäkään."
897387	Ele é a última pessoa a falar mal dos outros.	1845336	Hän on viimeinen henkilö puhumaan pahaa muista.
1563426	O livro foi publicado depois da morte do autor.	1845351	Kirja julkaistiin kirjailijan kuoleman jälkeen.
1247958	A loja fica aberta o dia todo.	1845380	Kauppa on auki koko päivän.
1215875	Eu sou italiano.	1845589	Minä olen italialainen.
6972683	Sou italiano.	1845589	Minä olen italialainen.
1537041	A casa está mal assombrada.	1859066	Talossa kummittelee.
381565	Meu irmão é bom no tênis.	1937868	Veljeni on hyvä tenniksessä.
1348909	Quero dançar.	1962852	Minä haluan tanssia.
9824676	Ele é meu filho.	1967350	Hän on minun poikani.
1202013	Eu sou ateu.	1975412	Olen ateisti.
2052046	Há pessoas que não conseguem ver uma pérola mesmo quando ela diz "sou uma pérola, sou uma pérola".	2052050	On ihmisiä, jotka eivät huomaa helmeä, vaikka se sanoisi: "Olen helmi, olen helmi."
2134025	Ele evita-me.	2115625	Hän karttaa minua.
2134026	Ele me evita.	2115625	Hän karttaa minua.
2141114	Adivinha!	2140889	Arvaapas!
1502776	Pega ladrão!	2155094	Ottakaa varas kiinni!
2155625	O negócio ainda me incomoda.	2155173	Asia harmittaa minua vieläkin.
881826	Colocarei a mesa antes de me sentar para jantar.	2158447	Katan pöydän ennen kuin istahdan syömään päivällistä.
877787	Ela fala português.	2160072	Hän puhuu portugalia.
1586911	Ele tem dois carros.	2160099	Hänellä on kaksi autoa.
1161185	Cinco e sete fazem doze.	2209957	Viisi plus seitsemän tekee kaksitoista.
871416	No Japão, o novo ano escolar começa em abril.	2211084	Japanissa uusi lukuvuosi alkaa huhtikuussa.
950731	No Japão, o novo período escolar começa em abril.	2211084	Japanissa uusi lukuvuosi alkaa huhtikuussa.
1193952	Sou húngaro.	2232667	Olen unkarilainen.
1224481	Eu sou húngaro.	2232667	Olen unkarilainen.
1063497	Você já jantou?	2242531	Oletko syönyt jo illallista?
5976222	Quem é mais alto, você ou o Ken?	2280073	Kumpi on pidempi, sinä vai Ken?
921917	Não temos açúcar.	2284828	Meillä ei ole sokeria.
1579862	Todo o amor e a tristeza se derretem em meu coração.	2284957	Kaikki rakkaus ja suru sulavat sydämessäni.
1221671	Ela acordou.	2297644	Hän heräsi.
974308	Eu preciso de você.	2305819	Tarvitsen sinua.
2218968	Eu preciso de ti.	2305819	Tarvitsen sinua.
1048322	Não preciso do seu dinheiro. Só preciso do seu tempo.	2305831	En tarvitse rahaasi. Tarvitsen vain aikaasi.
2139274	Preciso do seu conselho.	2305853	Tarvitsen neuvojasi.
973539	Não preciso de sua ajuda.	2305858	En tarvitse apuasi.
729710	O pai dele é japonês.	2316074	Hänen isänsä on japanilainen.
729711	O pai dela é japonês.	2316074	Hänen isänsä on japanilainen.
1992373	Posso usar o seu telefone?	2318745	Saanko käyttää puhelintasi?
1564609	A vida de Mozart foi muito curta.	2335191	Mozartin elämä oli hyvin lyhyt.
1230308	A vida é muito curta.	2335193	Elämä on hyvin lyhyt.
2441765	Marte tem duas luas.	2434535	Marsilla on kaksi kuuta.
340430	A conta, por favor.	2550950	Lasku, kiitos.
1237549	Eu acho que ainda estamos na Polônia!	2553099	Luulen että olemme yhä Puolassa.
1070399	Um é novo. O outro é velho.	2585596	Yksi on uusi, ja toinen on vanha.
1172941	Você come carne ou você é vegetariano?	2598612	Syötkö lihaa vai oletko vegetariaani?
2595471	O Tom é perigoso.	2602522	Tom on vaarallinen.
397677	Finalmente!	2614386	Lopultakin!
2595121	Washington é a capital dos Estados Unidos.	2621316	Washington on Yhdysvaltojen pääkaupunki.
1656799	Nada do que Tom disse era verdade.	2621456	Mikään siitä mitä Tom sanoi, ei ollut totta.
1437814	Eu não sou doutor.	2634743	En ole lääkäri.
1658315	Ele não sabe muito sobre o Japão.	2661801	Hän ei tiedä paljonkaan Japanista.
1017672	Que número grande!	2662081	Kuinka korkea luku!
