1834033	Isa, dalawa, tatlo, apat, lima, anim, pito, walo, siyam, sampu.	431731	Egy, kettő, három, négy, öt, hat, hét, nyolc, kilenc, tíz.
2298668	Sino ka ba?	431991	Ki vagy te?
1354180	Dayuhan ako.	528904	Külföldi vagyok.
1797162	Talagang makapal ang yelo.	649762	Nagyon vastag a jég.
10527366	Ayaw ko ito.	695020	Azt nem akarom.
5214125	Nasaan yung libro?	704966	Hol a könyv?
5214126	Nasaan yung aklat?	704966	Hol a könyv?
12182340	Nasaan ang libro?	704966	Hol a könyv?
12182342	Nasaan ang aklat?	704966	Hol a könyv?
2125858	Pakilaksan ang pagsasalita, nga.	710613	Kérem, beszéljen hangosabban.
1599891	Mabilog ang Tiyera.	800537	A Föld kerek.
1810626	May bulaklak sa mesa.	823894	Van egy virág az asztalon.
2280918	Isa akong vegetarian.	961184	Vegetáriánus vagyok.
1653206	Bakit bughaw ang langit?	1056374	Miért kék az ég?
2948431	Wala akong bisikleta.	1058032	Nincs biciklim.
11340712	Henry ang pangalan ko.	1275767	A nevem Henry.
12190319	Nasa hardin ako.	1317955	A kertben vagyok.
2918306	Bakit?	1421382	Miért?
2304642	Kuwarto ko ito.	1484848	Ez a szobám.
2774526	Walang nakikipag-usap sa akin.	1492417	Senki sem beszél velem.
2945008	Sa iyo ba ang librong ito?	1589271	Ez a te könyved?
2803237	Ako ang pinakamagaling.	2098509	Én vagyok a legjobb.
743688	May asong sumunod sa akin sa paaralan.	2114010	Egy kutya elkísért engem az iskoláig.
11635762	At ngayon narito ang aking lihim, isang napakasimpleng sikreto: Sa puso lamang nakakakita ng tama; kung ano ang mahalaga ay hindi nakikita ng mata.	2141742	Tessék, itt a titkom. Nagyon egyszerű: jól csak a szívével lát az ember. Ami igazán lényeges, az a szemnek láthatatlan.
1355456	Nag-aaral ako ng istorya ng arte.	2166349	Művészettörténetet tanulok.
1355456	Nag-aaral ako ng istorya ng arte.	2166356	A művészettörténetet tanulmányozom.
1759444	Masyadong maliit ang Tiyera.	2188563	Túl kicsi a világ.
1020816	Nilutuan nya yung asawa nya ng apple pie.	2190868	Almás pitét sütött a férjének.
1700488	Ba't walang taksi sa estasyon ngayon?	2298240	Mért nincsenek ma taxik az állomásnál?
1500138	Dahil walang taksi, napalakad akong pabalik sa bahay.	2298241	Nem kaptam taxit, ezért gyalog kellett hazamennem.
1847006	Basta di-kailanman!	2383218	Soha, soha sem!
2747469	Oo.	2512363	Igen.
12187174	Ang pangalan ko ay Ricardo.	2635820	A nevem Ricardo.
12187176	Ricardo ang pangalan ko.	2635820	A nevem Ricardo.
11614599	Isda po iyon.	2714213	Ez egy hal.
2280916	Ako ay Koreano.	2818048	Koreai vagyok.
11036130	Ako ay Koreana.	2818048	Koreai vagyok.
11640926	Koreano ako.	2818048	Koreai vagyok.
11640927	Koreano po ako.	2818048	Koreai vagyok.
12187081	Koreana ako.	2818048	Koreai vagyok.
