329714	בוקר טוב.	329713	Good morning!
329716	לא חשוב.	20392	Never mind.
329716	לא חשוב.	37894	It doesn't matter.
329718	מה אתה עושה?	16492	What are you doing?
329718	מה אתה עושה?	17125	What do you do?
329720	תעשה משהו!	24928	Do something!
329722	מה אתה רוצה לעשות?	24759	What do you want to do?
329901	חייך עכשיו, תבכה אחר-כך!	1827	Smile now, cry later!
329902	אני עייף עכשיו.	28936	I'm tired now.
329904	בבקשה תחשוב על זה.	442022	Please think about it.
329906	אתה חושב יותר מדי.	240995	You think too much.
329908	תחשוב על זה.	241003	Think about it.
330494	לך לרופא לקחת מרשם!	74001	Go to the doctor to get your prescription!
330496	"איפה הבית שלך?" "הוא שם".	73988	"Where is your house?" "It is over there."
330498	"אתה המורה של ישראל", אמר ישו.	73981	"You are Israel's teacher," said Jesus.
330499	מתי אתה מתעורר? אני מתעורר בשמונה.	73978	"When do you get up?" "I get up at eight."
330500	אני שוכב על הדשא.	265292	I lie on the grass.
330500	אני שוכב על הדשא.	2621196	I'm lying on the grass.
330501	לא ללכת על הדשא.	265293	Don't walk on the grass.
330502	לא מספיק אור כדי לצלם.	265297	There is insufficient light to take pictures.
330503	לפעמים התמונות האלו לא מספיק טובות.	265298	Sometimes those photos are not very good.
330504	אתה יכול לזהות את הבן אדם בתמונה?	265299	Can you identify the man in this picture?
330505	בתמונה כולם מחייכים.	265301	Everybody in the picture is smiling.
330506	הסימול "&" משמעו ו' החיבור.	74007	The sign '&' stands for 'and'.
330508	"מי הבחורה הזאת?" "זאת קיוקו".	73966	"Who is that girl?" "That's Keiko."
330510	"ראיתי אותה לפני חמישה ימים", אמר.	73996	"I saw her five days ago," he said.
336202	היא קרעה את המכתב לחתיכות.	311284	She tore the letter to pieces.
336203	הוא אוהב לשתות קפה בלי סוכר.	296682	He likes drinking coffee without sugar.
336204	הוא הדגיש את הצדדים הנוחים של החיים בעיר.	301837	He stressed the convenient aspects of city life.
336272	למה לא הקשבת לעצה שלו?	559625	Why didn't you listen to his advice?
336273	למה אתה לא מקשיב לעצה שלו?	470931	Why wouldn't you listen to his advice?
337501	אני רוצה שתשיר לי שיר.	252751	I want you to sing a song.
337501	אני רוצה שתשיר לי שיר.	2403713	I want you to sing me a song.
337502	אינני רוצה לבזבז את שנות חיי הטובות ביותר עבורך.	252808	I do not want to waste the best years of my life for you.
337502	אינני רוצה לבזבז את שנות חיי הטובות ביותר עבורך.	2677306	I don't want to waste the best years of my life for your sake.
337503	ליום ההולדת שלך, אתן לך אופניים.	16998	I will give you a bicycle for your birthday.
337504	"תודה על עזרתך." "על לא דבר."	1518	"Thank you for helping me." "Don't mention it."
337504	"תודה על עזרתך." "על לא דבר."	2621197	"Thanks for your help." "It was nothing."
337506	התחביב שלי הוא לנגן בגיטרה.	251127	My hobby is playing the guitar.
337507	אל תשכח אותנו!	578776	Don't forget us!
337507	אל תשכח אותנו!	2591622	Do not forget about us.
337508	לא מוצא חן בעיני שאתה מגיע מאוחר בכל יום.	252708	I don't like your coming late every day.
337509	אני מתייחס בכובד ראש לדעתך.	252834	I care a good deal about what you think.
337510	מדוע אתה מתנצל על דבר שלא עשית?	1469	Why are you sorry for something you haven't done?
337511	ייתכן שהתקשורת שלהם יותר מורכבת משחשבנו.	1515	Their communication may be much more complex than we thought.
337512	אני רוצה שתחזור במהרה.	252778	I want you to come back early.
337520	לכולם מגיעה הזדמנות שנייה.	2198	Everyone deserves a second chance.
337522	ז'אן דארק סרבה להתכחש לאמונתה שהקול ששמעה הוא של לא אחר מאשר האלוהים.	1975	Joan of Arc refused to renounce her belief that the voice she heard was from God and none other.
337523	אני גר בבית הזה לבדי.	252475	I live in this house by myself.
337524	לא היתה לי כל כוונה לפגוע בך.	28595	I meant you no harm.
337525	אלמלא העולם היה במצב כזה, הייתי יכול להאמין בכל אחד.	1319	If the world weren't in the shape it is now, I could trust anyone.
337527	אינני יודע כיצד להסביר דבר כה ברור.	1418	I don't know how to demonstrate it, since it's too obvious!
337543	ראיתי אותו ננזף על ידי אביו.	259951	I saw him scolded by his father.
337543	ראיתי אותו ננזף על ידי אביו.	395697	I saw him being scolded by his father.
337547	הטייפון הכה בעיר וגרם לנזק עצום.	275420	The typhoon struck the city, causing great damage.
337549	שוויץ היא מדינה יפיפיה.	52441	Switzerland is a beautiful country.
337554	התצלום הזה מעורר בי בחילה.	58769	I always view this photo with disgust.
337557	בימים אלה מחשיך בסביבות חמש וחצי.	61085	It gets dark about half past five these days.
337560	הגן הזה בשיאו באביב.	44962	The garden is at its best in spring.
337563	היא מאחרת בתשלום שכר הדירה.	309946	She is behind in her rent.
337564	הוא פתר את הבעיה בקלות.	291331	He solved the problem with ease.
337571	נאסר עליה לעשן.	313162	She was prohibited from smoking.
337723	לקחתי את הכביש המהיר מספר 58.	2195150	I took interstate 58.
337724	אבי מנהל את החנות.	2403715	My father manages the store.
337725	אתמול בלילה לא היתה לנו ברירה אלא לקרוא למשטרה.	244871	We had no choice but to call the police last night.
337726	היא העיפה מבט באמה.	316958	She shot a glance at her mother.
337727	האם אפשר לקבל עזרה?	267183	Is there any help available?
337728	כתוב לי אם תתקל בבעיה.	243472	Drop me a line when you are in trouble.
337729	בפסגת הצוק עומדת טירה ישנה.	276772	An old castle stands on top of the cliff.
337730	כאשר חיינו בניו-יורק, שכרנו דירה.	35924	We rented an apartment when we lived in New York.
337731	אנא הנח את המזוודה על המשקל.	23678	Please put your baggage on this scale.
337742	כשהגעתי לבית הספר, הפעמון כבר צלצל.	246666	The bell had already rung when I got to school.
337744	אינני יודע מתי הוא יבוא לכאן.	282920	I don't know when he'll come here.
337747	השטח והבית האלה הם שלי!	328728	This house and this land are mine.
337751	הצעירים בדרך כלל מלאי אנרגיה.	265810	Young people are usually full of energy.
337757	אוי, התקלקל לי המחשב!	1910	Aaah!! My computer is broken!
337762	המשטרה פזרה את ההמון.	238202	The police broke up the crowd.
337763	הגעתי תוך 30 דקות.	2621240	I arrived within 30 minutes.
337764	בין הקהל היו תלמידים, מורים, פקידים וכיוצא בזאת.	277919	Among the audience, there were students, teachers, clerks, and so on.
337769	אי אפשר לראות אפילו איזשהו סימן של מעט התקדמות אצלו.	299590	He shows no mark of progress.
337770	בממוצע, פעמיים בחודש אני הולך לראות סרט.	320151	On an average, I go to the movies twice a month.
337771	הוא המשיך לכתוב בנושא בעלי החיים.	2677280	He kept writing about animals.
337772	אתה חייב להקפיד על סידור החדר שלך.	68962	You must keep your room tidy.
337773	בהתרסקות נהרגו כל הנוסעים.	424852	All the passengers were killed in the crash.
337785	הלכנו אל הנהר.	248978	We went to the river.
337786	היא נשארה רווקה כל חייה.	312585	She remained single all her life.
337787	אני אוהב מוזיקת ג'אז.	253907	I like jazz music.
337789	הכל מתקדם היטב.	2622194	Everything is going well.
337791	הוא אכל כל כך הרבה, שקיצר את חייו.	288200	He ate himself into the grave.
337792	אני רוצה לנסוע לחו"ל.	21938	I want to go abroad.
337793	אני הולך ברגל לבית הספר בכל יום.	261836	I walk to school every day.
337794	אנו היפנים הופכים לבוגרים בגיל 20.	22610	We Japanese come of age at twenty.
337973	באופן כללי, ניתן לומר שהוא גאון מוסיקלי.	27363	In general, it may be said that he is a genius in music.
337974	האהבה היא, מטבעה, עיוורת.	326276	Love is by nature blind.
337976	הכרטיס הזה תקף לחודש.	58178	This ticket holds good for a month.
337977	הם היו ברובם צעירים.	305253	They were for the most part young people.
337978	ראיתי אותם נכנסים לבנק.	260819	I saw them enter the bank.
337979	הוא חזר הביתה מאוחר בערב.	304493	He came home late in the evening.
337980	בעבר היתה כאן כנסיה.	28341	There used to be a church here.
338007	חבל שלא יכולת לבוא.	18027	It was too bad you couldn't come.
338009	מה סיבת הפיצוץ?	44484	What was the cause of the explosion?
338010	פגשתי את טום בדרך.	259634	I met Tom on the way.
338011	מר סמית' הוא מורה טוב.	51532	Mr Smith is a good teacher.
338012	אנו אוכלים את ארוחת הבוקר בשעה שבע.	23294	We have breakfast at seven.
338014	הכובע הזה קטן מדי בשבילי.	57120	This hat is too small for me.
367939	אני צמחוני.	367935	I am a vegetarian.
367955	אני טבעוני.	367945	I am vegan.
373348	שלום.	373330	Hello!
373348	שלום.	516745	Goodbye!
373348	שלום.	538123	Hi.
382152	"תּוֹדָה" "בְּבַקָּשָׁה"	2077	"Thank you." "You're welcome."
382154	כל בני האדם נולדו בני חורין ושווים בערכם ובזכויותיהם. כולם חוננו בתבונה ובמצפון, לפיכך חובה עליהם לנהוג איש ברעהו ברוח של אחווה.	338182	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
467489	מי יודע?	276369	Who knows?
467662	ברוכים הבאים!	138919	Welcome.
467772	העליתי שני קילוגרמים הקיץ.	2621000	I have gained two kilograms this summer.
469619	הוא אוהב לבשל בשביל המשפחה.	502456	He likes cooking for his family.
469620	מרי תולעת ספרים.	31875	Mary is a bookworm.
477075	אם תירשם לפייסבוק, פרטיך יישלחו לסוכנויות מודיעין.	477067	If you sign up to Facebook, your information will be sent to intelligence agencies.
500780	הוא לא ציין מתי ישוב.	289238	He didn't specify when he would return.
500783	אהרון הרג את אליזבת.	502461	Aron killed Elizabeth.
500784	יש לי הרבה שיעורי בית לעשות היום.	249902	I have a lot of homework to do today.
500789	הכתב שלך מאוד מסודר.	2571521	Your handwriting is very good.
500791	איזה מפרק פרקת?	329697	Which joint did you dislocate?
502158	למה באת ליפן?	36361	Why did you come to Japan?
