331008	Quelles belles fleurs !	331009	Such pretty flowers!
331707	Je rajoute une phrase d'exemple.	331708	I am adding an example sentence.
331789	Merci d'être venue !	331790	Thank you for coming!
332178	Je ne veux pas travailler.	332179	I don't want to work.
128163	Mon oreille me gratte.	332213	My ear is itching.
332174	Les chutes de jambon de Carrefour ne sont pas chères du tout, mais sont néanmoins délicieuses.	334465	Carrefour's Ham offcuts are not expensive at all, but are nonetheless delicious.
335135	Je suis Chinois.	335137	I am Chinese.
333591	Qui est ton professeur de chinois ?	335140	Who is your Chinese teacher?
7188	Je ne peux pas m'empêcher de penser ainsi.	337189	Establish regular prayers.
7203	Comme j'ai marché toute la journée, je suis très fatigué.	337204	Resurrection is at hand.
7345	J'ai perdu tout mon argent.	337346	Coffee and cigarettes.
337415	Je n'arrive pas à m'endormir.	337416	I can't fall asleep.
337866	Je suis impatient de voir la nouvelle version de Tatoeba.	337867	I'm very impatient to see the new version of Tatoeba.
337868	J'ai vu un article sur le blog de Tatoeba qui parlait d'une nouvelle version pour bientôt, l'avez-vous lu ?	337869	I've seen an article on the Tatoeba blog about a new version coming soon. Have you read it?
337963	J'ai besoin de neuf heures de sommeil.	337964	I need nine hours of sleep.
8004	Notre pensée est exprimée par le biais du langage.	338005	Today I'm going to take my beloved car to the car wash.
338178	Tous les êtres humains naissent libres et égaux en dignité et en droits. Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.	338181	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.
338381	Il pleut des cordes ce soir.	338382	It's raining cats and dogs tonight.
340459	J'ai cassé une corde de ma guitare.	340461	I broke a string on my guitar.
340465	Ce concert était génial.	340466	This concert was awesome.
342809	Vous ne pouvez pas vous tuer en retenant votre souffle.	342813	You cannot kill yourself by holding your breath.
342823	En 1912, le tailleur autrichien Franz Reichelt est mort en sautant du premier étage de la tour Eiffel alors qu'il voulait tester son invention, le manteau-parachute, qui n'a pas fonctionné...	342824	In 1912, the Austrian tailor Franz Reichelt died jumping off the first floor of the Eiffel Tower while trying out his new invention, the parachute coat, which did not work...
330016	Comment appelez-vous cet animal en japonais ?	348056	What is this animal called in Japanese?
6996	Je ne vais nulle part.	348391	I am not going anywhere.
348619	C'est le bordel dans ma chambre.	348620	My room is a mess.
339275	Je mange des pâtes.	349837	I eat noodles.
13660	Sans la ceinture de sécurité, je ne serais pas vivant aujourd'hui.	349878	If it hadn't been for the seatbelt, I wouldn't be alive today.
350089	Baignade interdite.	350091	No swimming.
331850	Le chien regarda son maître avec anxiété.	350178	The dog looked at his master with anxiety.
331882	L'imprimante dans le bureau de Peter est cassée et n'imprime plus.	350857	The printer in Peter's office is broken and doesn't print anymore.
130801	Il nous amuse avec ses drôles d'histoires.	354460	He amused us with funny stories.
338097	De quel quai part le train pour Higashikakogawa ?	354849	From which track does the train to Higashi-Kakogawa leave?
354533	Bats les blancs en neige.	355039	Beat the egg whites until stiff.
133191	Il n'a pas compris sa blague.	355604	He did not understand her joke.
355788	Je suis entrepreneur.	355790	I am an entrepreneur.
355797	Je suis apporteur d'affaires.	355803	I am an intermediary who introduces business.
355807	Je suis un créateur d'entreprise.	355818	I am a business creator.
356203	Le syllogisme est un raisonnement logique à deux propositions conduisant à une conclusion.	356204	Syllogism is a logical argument in which two propositions determine one conclusion.
12708	À plus tard !	360557	See you later!
133656	Il s'écarta afin de la laisser passer.	367992	He moved aside to let it pass.
343186	Leurs noms m'avaient échappé.	367994	Their names have escaped me.
354190	Les exportateurs se trouvent en grande détresse.	367997	Exporters are in dire straights.
339721	Tu ne me dépasseras jamais, tu entends, jamais !	367998	You will never beat me, you hear me? Never!
339155	Je salue son travail acharné.	367999	I salute your dedicated work.
12435	Je n'avais jamais entendu parlé de lui avant.	373226	I had never heard anyone speak of him before.
132813	Il ne connaît pas la différence entre la droite et la gauche.	373227	He does not know the difference between right and left.
373723	Sawako veut aller en France.	373773	Sawako wants to go to France.
373725	J’ai fait un rêve horrible.	373776	I had a terrible dream.
337157	Le travail doit être fini pour demain.	374489	The work must be completed by tomorrow.
139223	Je suis français.	374540	I'm French.
180606	La radio est cassée.	374596	The radio is broken.
5947	Nous n'aimons pas la pluie.	377100	We don't like the rain.
331855	Son but est de devenir enseignante.	378116	His objective is to become a teacher.
378892	Sur les dictionnaires il n'y a que de la poussière, en tout cas sur les miens.	378894	On the dictionaries there's nothing but dust, at least on mine.
373597	Le latin est une langue morte.	379237	Latin is a dead language.
366837	Ils avaient faim.	379695	They were hungry.
337065	J'étais habitué à la chaleur.	379773	I was accustomed to heat.
129262	Personne ne sait son nom.	380142	No one knows her name.
7109	J'ai trouvé la boîte vide.	380150	I found the empty box.
354198	Tu es un idiot !	380205	You are an idiot!
10463	Cette robe lui va vraiment bien.	380252	That dress really becomes him.
13124	C'était son souhait d'aller à Paris.	380711	It was his wish to go to Paris.
4098	Ça semble intéressant. Qu'est-ce que tu lui as dit ?	380791	That sounds interesting. What did you tell him?
4358	Son jardin est une œuvre d'art.	380793	His garden is a work of art.
6188	Ses yeux brillaient de joie.	380795	His eyes were shining with joy.
3641	Tu ne lui as rien dit ?	380798	You didn't tell her anything?
6308	Je lui ai donné le peu d'argent que j'avais sur moi.	380805	I gave her what little money I had with me.
6388	J'ai décidé de lui dire que je l'aimais.	380806	I decided on telling him of my love.
6388	J'ai décidé de lui dire que je l'aimais.	380811	I decided to tell her that I love him.
6388	J'ai décidé de lui dire que je l'aimais.	380812	I decided to tell him that I love her.
381790	Il raffole de toi.	381792	He's crazy about you.
381819	Aujourd'hui Nicolas m'a dédié un script.	381823	Nicolas dedicated a script to me today.
383324	Peux-tu m'apprendre à voler ?	383329	Can you teach me how to steal?
383324	Peux-tu m'apprendre à voler ?	383330	Can you teach me how to fly?
365986	Tu exagères vraiment de rentrer à cette heure.	383379	You really exaggerate returning at this time.
371766	Nous avions trois avions.	387010	We have three airplanes.
6070	Est-ce que tu savais que les hommes qui prennent régulièrement la pilule ne tombent pas enceints ?	388608	Did you know that men who regularly take the birth control pill don't get pregnant?
6115	Ferme les volets et tire les rideaux. Il faut qu'il y ait le moins de lumière possible.	388609	Close the shutters and draw the curtains. There must be as little light as possible.
389047	Pékin est la capitale de la Chine.	389048	Beijing is the capital of China.
379612	Il est intelligent.	389494	He is intelligent.
389645	Un café et un croissant s'il vous plaît.	389646	I'll have a coffee and a croissant.
389627	J'ai entendu dire qu'il était multimillionnaire.	389651	I heard that he was very rich.
389680	J'ai un mal de tête terrible, je viens de prendre deux calmants, espérons que cela va passer.	389730	I have a terrible headache. I just took two painkillers. Let's hope it goes away.
389842	L'amitié d'un grand homme est un bienfait des dieux.	389844	The friendship of a great man is a gift from the gods.
