948516	È così.	948527	Štai ir viskas.
2034539	Chi saranno i giudici?	2034546	Kas yra teisėjas?
1516094	Tom chiese a Mary quale fosse il suo cognome.	2158017	Tomas paklausė Marijos, kokia buvo jos pavardė.
975769	Vieni o no?	2158020	Tu eini ar ne?
1544453	Kyoto è la precedente capitale del Giappone.	2158047	Kiotas- senoji Japonijos sostinė.
1363490	È sempre stato così e lo sarà sempre.	2158064	Visada taip buvo ir visada taip bus.
2018918	Non volevo ferire i suoi sentimenti.	2158070	Nenorėjau užgauti tavo jausmų.
1246515	Nella vita ci sono delle priorità!	2158073	Gyvenime yra prioritetai.
894764	C'è un cagnolino marrone sotto quel tavolo.	2158077	Po to stalų yra mažas rudas šuniukas.
1541096	Non sapeva che Shakespeare avesse scritto Romeo e Giulietta.	2158084	Jis nežinojo, kad "Romeo ir Džuljetą" parašė Šekspyras.
410889	Parli troppo.	2158202	Tu per daug kalbi.
410220	Lui, in questa città, è più ricco di chiunque altro.	2158204	Jis turtingesnis už bet ką kitą šiame mieste.
2018491	Si comporta misteriosamente.	2158215	Ji elgiasi paslaptingai.
617078	Riesco a farla da solo.	2158247	Aš galiu tai padaryti pats.
617078	Riesco a farla da solo.	2158248	Aš galiu tai padaryti pati.
798069	Ha scelto di non presentarsi alle elezioni presidenziali.	2158260	Jis nusprendė nedalyvauti prezidento rinkimuose.
409815	Io ho un buon dizionario.	2158279	Aš turiu gerą žodyną.
713927	Riesci a far girare una palla da basket sulla punta del dito?	2158293	Ar tu moki sukti krepšinio kamuolį ant piršto?
1880501	Crede di sapere tutto.	2158297	Jis mano, kad žino viską.
1547347	Da quanto tempo siete in Cecoslovacchia, signor Reindl?	2158307	Kiek ilgai Jūs esate Čekoslovakijoje, pone Reindl?
1535125	Nuota come un pesce.	2158310	Plaukioja kaip žuvis.
1295422	Il caffè è amaro.	2158315	Kava yra karti.
1171548	Chi è il tuo batterista preferito?	2158323	Kas tavo mėgstamiausias būgnininkas?
2090763	Non riesco a discuterne con te.	2158331	Negaliu diskutuoti su tavimi apie tai.
2019963	Lui vive a Cardiff.	2158335	Jis gyvena Kardife.
2052992	Tom sa chi sono?	2158339	Ar Tomas žino, kas aš esu?
1943801	C'è stato un grande raccolto di pesche l'anno scorso.	2158343	Praeitais metais buvo didelis persikų derlius.
1310313	Vai dal barbiere.	2158346	Nueik į kirpyklą.
1416118	È sicuro di quel rapporto?	2158353	Ar tu pasitiki šiuo pranešimu?
967887	Mio padre mi lasciò una grande eredità.	2158358	Mano tėvas paliko man didelį palikimą.
997844	Dobbiamo spedire questi maiali al macello.	2158363	Turime pasiųsti šias kiaules į skerdyklą.
2022852	Io non riesco a disegnare un uccello.	2158364	Aš negaliu nupiešti paukščio.
614038	Starò qui per poco.	2158367	Aš kurį laiką pabusiu čia.
1184618	Noi mangiamo molti tipi di cibo.	2158369	Mes valgome daug maisto rūšių.
340690	Mi dispiace, non capisco bene l'inglese.	2158374	Deja, aš ne labai gerai suprantu angliškai.
2001531	Io non posso essere sicura.	2158394	Negaliu būti tikras.
2001531	Io non posso essere sicura.	2158396	Negaliu būti tikra.
612197	Sarò lì alle cinque.	2158401	Aš busiu ten penktą.
2122243	Avete pagato il libro?	2158405	Ar sumokėjai už knygą?
448302	L'ho aiutata a mettersi un vestito.	2158420	Padėjau jai užsidėti suknelę.
1131742	Vinse il terzo premio.	2158427	Jis laimėjo trečią prizą.
836262	La vita è una rovina senza di te.	2158435	Gyvenimas žlugęs be tavęs.
1285081	Questo libro è troppo grande per entrare nella mia tasca.	2158443	Ši knyga per didelė, kad tilptų mano kišenėje.
524822	Ha presto conosciuto altri studenti Erasmus.	2158475	Netrukus jis susipažino su kitais Erasmus studentais.
620143	Importunano i loro genitori per soldi.	2159067	Jie kaulyja pinigus iš tėvų.
620143	Importunano i loro genitori per soldi.	2159069	Jie kaulyja iš tėvų pinigų.
947466	Perse il suo lavoro.	2159076	Jis neteko darbo.
1534906	Non essere timida.	2159077	Nesidrovėk.
1797889	Perché l'hai fatto?	2159083	Kodėl tu tai padarei?
701234	L'ho sentito scendere le scale.	2159095	Išgirdau jį lipantį laiptais žemyn.
940171	Il telefono ora è fuori servizio.	2159100	Telefonas šiuo metu neveikia.
