413730	One, two, three, four, five, six, seven, eight, nine, ten.	382292	Unu, doi, trei, patru, cinci, șase, șapte, opt, nouă, zece.
338181	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.	382293	Toate ființele umane se nasc libere și egale în demnitate și în drepturi. Ele sunt înzestrate cu rațiune și conștiință și trebuie să se comporte unele față de altele în spiritul fraternității.
8008632	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and must behave one another in the spirit of brotherhood.	382293	Toate ființele umane se nasc libere și egale în demnitate și în drepturi. Ele sunt înzestrate cu rațiune și conștiință și trebuie să se comporte unele față de altele în spiritul fraternității.
138918	Welcome.	399272	Bine ați venit!
138918	Welcome.	399273	Bine ai venit!
2076	"Thank you." "You're welcome."	399593	„Mulțumesc.” — „Cu plăcere.”
1050523	"Thanks." "You're welcome."	399593	„Mulțumesc.” — „Cu plăcere.”
403067	You're welcome.	399594	Cu plăcere.
1589	Do you speak Italian?	399596	Vorbiți italiană?
1589	Do you speak Italian?	399597	Vorbești italiană?
69057	Do you speak Japanese?	399598	Vorbiți japoneză?
69057	Do you speak Japanese?	399599	Vorbești japoneză?
26169	Can you speak English?	399603	Vorbiți engleză?
378269	Do you speak English?	399603	Vorbiți engleză?
26169	Can you speak English?	399604	Vorbești engleză?
378269	Do you speak English?	399604	Vorbești engleză?
374826	Thank you!	399605	Mulțumesc!
448644	Thanks!	399605	Mulțumesc!
1876040	Thank you.	399605	Mulțumesc!
2057649	Thanks.	399605	Mulțumesc!
2369	Enjoy your meal!	399606	Poftă bună!
4430564	Enjoy your food.	399606	Poftă bună!
22121	Good morning, everybody.	399608	Bună dimineața la toată lumea.
22126	Good morning, everyone.	399608	Bună dimineața la toată lumea.
329712	Good morning!	399609	Bună dimineața.
2258233	Good morning.	399609	Bună dimineața.
2751742	Morning!	399609	Bună dimineața.
333155	Good evening.	399610	Bună seara.
64832	Good night, Mom.	399614	Noapte bună, mamă.
869216	Goodnight, Mother.	399614	Noapte bună, mamă.
1563	Thank you very much!	399618	Mulțumesc foarte mult!
413819	Good evening, how are you?	399621	Bună seara, ce faci?
413819	Good evening, how are you?	399622	Bună seara, ce mai faceți?
138867	Hello, how are you?	399623	Bună, ce faci?
766779	Hi. How are you doing?	399623	Bună, ce faci?
138918	Welcome.	402115	Bun venit!
405823	Mr. Spencer works in a shop.	405822	Domnul Spencer lucrează la magazin.
405826	The snow covered the whole city overnight.	405825	Zăpada a acoperit tot orașul peste noapte.
405829	Mr. Popescu's office is on the tenth floor.	405828	Biroul domnului Popescu este la etajul zece.
405832	Black clouds were passing above the city.	405831	Nori negri treceau deasupra orașului.
405835	Please say hello to Mrs. Andreescu!	405834	Transmite-i, te rog, salutări doamnei Andreescu!
405838	On Saturday we went to the movies, then to the restaurant.	405837	Sâmbătă am fost la film, apoi la restaurant.
405841	I dropped by the bookstore and bought an interesting book.	405840	Am trecut pe la librărie și mi-am cumpărat o carte interesantă.
405844	I saw John at the library.	405843	L-am văzut pe Ion la bibliotecă.
405974	Come here, little girl, sit down!	405973	Vino aici, fetițo, stai jos!
405977	Please, madam, help yourself!	405976	Poftiți, doamnă, serviți-vă!
405982	Mrs. Ionescu, I'd like to ask you something.	405981	Doamnă Ionescu, aș vrea să vă întreb ceva.
405985	Sir, please fill out this form.	405984	Domnule, vă rog completați acest formular.
405988	My youngest sister is a teacher, my oldest one, a medical doctor.	405987	Sora mea mai mică este profesoară, cea mai mare, doctoriță.
405991	The U.N. building is very impressive.	405990	Clădirea ONU este foarte impunătoare.
9773023	The UN building is very imposing.	405990	Clădirea ONU este foarte impunătoare.
405996	My father offered his services to a well-known trade company.	405994	Tatăl meu și-a oferit serviciile unei companii de comerț bine cunoscută.
405999	There was a lot of talk lately about the architecture of the new school.	405998	În ultima vreme s-a discutat mult despre arhitectura noii școli.
406003	Today the weather is nice.	406001	Astăzi vremea e frumoasă.
773223	It's lovely weather today.	406001	Astăzi vremea e frumoasă.
406014	The trees were very scarce.	406012	Copacii erau foarte rari.
406017	A cold rain fell over the city.	406016	O ploaie rece a căzut peste oraș.
406020	It's nice today.	406019	Este frumos astăzi.
406023	The Romanians from Transylvania speak very slowly.	406021	Românii din Transilvania vorbesc foarte lent.
406028	Mr. Anton spoke to them coldly.	406027	Domnul Anton le-a vorbit rece.
406031	I like baclava.	406030	Îmi place baclavaua.
406033	I like to walk.	406032	Îmi face plăcere să merg pe jos.
406035	Did you enjoy going to exhibits in Romania?	406034	Îți plăcea să mergi la expoziții în România?
406042	At the beginning you had disliked the idea, but now you seem to be content.	406041	La început vă displăcuse ideea, dar acum păreți mulțumiți.
406044	Daniela called me at home.	406043	Daniela mi-a telefonat acasă.
406046	I would offer you a coffee if you had the time.	406045	Ți-aș oferi o cafea dacă ai timp.
406049	We were told that, due to the snow, we may go home.	406048	Ni s-a spus că, din cauza zăpezii, putem pleca acasă.
406051	I meet Mihaela every morning at the subway.	406050	O întâlnesc pe Mihaela în fiecare dimineață, la metrou.
406053	I met Mihaela at the subway station.	406052	Am întâlnit-o pe Mihaela la stația de metrou.
406055	When I had met her in Bucharest, Anca was a student.	406054	Când o întâlnisem în București, Anca era studentă.
406057	If I saw Anca, I would probably not recognize her.	406056	Dacă aș vedea-o pe Anca, probabil că nu aș recunoaște-o.
25163	What's up?	406278	Cum ești?
373319	How are you?	406278	Cum ești?
70622	What is your name?	406808	Cum te numești?
408292	What's your name?	406808	Cum te numești?
2566189	What's your name, please?	406808	Cum te numești?
70622	What is your name?	406814	Cum vă numiți?
408292	What's your name?	406814	Cum vă numiți?
407920	As for myself, I like spring very much. I never liked summer.	407919	Mie îmi place foarte mult primăvara, nu mi-a plăcut niciodată vara.
407922	If you bring us some books, the time will seem shorter to us.	407921	Dacă ne aduceți câteva cărți, timpul ni se va părea mai scurt.
407928	It would be good to call us on Saturday.	407926	Ar fi bine să ne telefonați sâmbătă.
407931	I told you to come whenever it's convenient to you.	407929	Ți-am spus să vii oricând îți convine.
407933	I sent you a letter last week and I'll send you one more today.	407932	V-am trimis o scrisoare săptămână trecută și vă trimit încă una azi.
407936	If this is the way you were told, it is probably correct.	407935	Dacă așa vi s-a spus, probabil că e corect.
407939	I bought a tie for Dan and I'll buy a scarf for Elena.	407937	Lui Dan i-am cumpărat o cravată, Elenei îi cumpăr un fular.
407942	When you see the Popescus, please say hello from us.	407941	Când îi vedeți pe Popești, transmiteți-le, vă rog, salutări de la noi.
407945	If you meet the Orleanu sisters, invite them to Ruxandra's birthday. And don't forget their brother.	407943	Dacă le întâlniți pe surorile Orleanu, invitați-le la ziua Ruxandrei. Să nu-l uitați nici pe fratele lor.
407948	The first time I saw the Romanian soccer players was in Madrid.	407947	Prima dată i-am văzut pe fotbaliștii români la Madrid.
407952	As soon as you contact your friends, tell them that an avalanche is coming.	407951	Imediat ce îi contactați pe prietenii dumneavoastră, spuneți-le că se apropie o avalanșă.
407954	My car is a Ford, just like yours.	407953	Mașina mea e Ford, ca și a dumneavoastră.
407957	My name is Romanian; his is American.	407956	Numele meu este românesc, al lui e american.
407959	Our children are at school; where are yours?	407958	Copiii noștri sunt la școală, unde sunt ai dumneavoastră?
407961	My books are in Romanian; hers are in English.	407960	Cărțile mele sunt în limba română, ale ei sunt în engleză.
407964	Which is more complete, the first edition or the second?	407962	Care este mai completă, prima ediție sau a doua?
407974	The professor that took the floor is from the University of Bucharest.	407973	Profesoara care a luat cuvântul este de la Universitatea București.
