36452	Tell me why you want to go there.	330977	Dime por qué quieres ir allá.
36455	What did you do that for?	330979	¿Para qué hiciste eso?
36457	Why are you in such a hurry?	330981	¿Por qué tienes tanta prisa?
53977	To make matters worse, it began to rain.	331024	Para peor, comenzó a llover.
53978	To make matters worse, there were signs of a fearful storm.	331025	Para empeorar las cosas, se avecinaba una tremenda tormenta.
53980	To make matters worse, it began to snow.	331026	Para empeorar las cosas, comenzó a nevar.
53981	To make matters worse, he fell ill.	331027	Para empeorar las cosas, se enfermó.
53982	To make matters worse, he began to drink sake.	331028	Para empeorar las cosas, comenzó a beber sake.
53983	To make matters worse, his wife fell ill.	331029	Para empeorar las cosas, su esposa se enfermó.
285523	I want you to meet him in order to hear his opinion.	331065	Me gustaría que te reunieras con él para que escuches su opinión.
285524	Don't go against his wishes.	331066	No vayas contra sus deseos.
285525	We should confirm his intentions once more.	331067	Deberíamos corroborar sus intenciones una vez más.
285526	He won the day by virtue of his strength of will.	331068	Él ganó gracias a su fuerza de voluntad.
285527	His will was transmitted to his younger brother.	331069	Su voluntad se traspasó a su hermano menor.
285528	His nasty comments fueled the argument.	331070	Sus comentarios mal intencionados enardecieron la discusión.
285529	His clothes are worn out.	331071	Su ropa está gastada.
285532	His doctor told him not to drink alcohol.	331072	Su médico le dijo que no bebiera alcohol.
285533	His doctor advised him to give up smoking.	331073	Su médico le aconsejó que dejara de fumar.
285534	His family moved into a new house in the suburbs.	331074	Su familia se mudó a una casa nueva en las afueras de la ciudad.
285536	All his hopes evaporated when he lost his only son in the war.	331075	Todas sus esperanzas se desvanecieron cuando perdió a su único hijo en la guerra.
285537	His life was full of ups and downs.	331076	Su vida estuvo llena de altos y bajos.
71159	I am looking forward to seeing you in this town.	331260	Espero reunirme contigo en esta ciudad.
71160	You are the last person I would have expected to see here.	331263	Eres la última persona que habría pensado encontrar aquí.
71161	I am glad to run into you here.	331270	Me alegro de que me haya topado contigo aquí.
71162	I have something good to tell you.	331271	Tengo algo bueno que contarte.
71164	I would like to tell you something.	331274	Me gustaría contarte algo.
71166	It was a pleasure meeting you, Mr Tamori.	331276	Fue un placer conocerlo, señor Tamori.
71167	I'm happy to see you.	331277	Estoy contento de verte.
71168	I think he will be glad to see you.	331278	Creo que él se alegrará al verte.
270696	The air-conditioning in the library is too strong.	331336	El aire acondicionado en la biblioteca está demasiado fuerte.
270697	The library is on the second floor.	331337	La biblioteca está en el segundo piso.
270699	Where is the library?	331338	¿Dónde está la biblioteca?
270700	Excuse me, can you tell me the way to the library?	331339	Disculpe ¿Me puede decir dónde está la biblioteca?
270701	The library is open from 9 a.m. to 8 p.m.	331340	La biblioteca atiende desde las 9:00 a.m. hasta las 8:00 p.m.
270702	The library is in the middle of the city.	331341	La biblioteca está al medio de la ciudad.
270703	The library has many new acquisitions.	331342	La biblioteca tiene varias adquisiciones nuevas.
270704	It is a five-minute walk to the library.	331343	La biblioteca está a cinco minutos a pie.
270705	I got lost trying to find the library.	331344	Me perdí tratando de llegar a la biblioteca.
270706	Don't talk in the reading room.	331345	No hables en la sala de lectura.
270708	That's it.	331346	Eso es.
42260	That's 3000 yen altogether.	331440	Son 3.000 yenes en total.
42261	I don't like it at all.	331441	No me gusta para nada.
42262	That's quite absurd.	331442	Eso es completamente absurdo.
42263	That makes no sense at all.	331443	Eso no tiene sentido en lo absoluto.
42267	That's altogether wrong.	331446	Eso está todo malo.
42268	That's a completely unfounded rumor.	331447	Ese es un rumor totalmente infundado.
42269	That's an unusual thing, undoubtedly.	331448	Eso es algo inusual, sin duda alguna.
42270	That's quite to my taste.	331449	Eso es de todo mi agrado.
42272	It is a sheer waste of time.	331450	Es una total pérdida de tiempo.
42273	That is not altogether false.	331451	Eso no es completamente falso.
42274	You can't buy it under 1,000 yen.	331452	No lo puedes comprar por menos de 1.000 yenes.
42275	Leave that job to the experts!	331453	Deja ese trabajo a los expertos.
42276	That's not absolutely certain.	331454	Eso no es completamente seguro.
268217	I'll never forget the sound the crash made.	331577	Nunca olvidaré el sonido del choque.
268218	As soon as he heard the crash, he rushed out of the house.	331578	Tan pronto como oyó el choque, salió corriendo de su casa.
268220	There's no evidence.	331579	No hay evidencia.
268221	You can't accuse him of stealing unless you have proof.	331580	No lo puedes acusar de haber robado a menos que tengas pruebas.
268222	The evidence convinced us of his innocence.	331581	La evidencia nos convenció de su inocencia.
268223	The evidence was against me.	331582	La evidencia estaba en mi contra.
268225	The evidence is clear.	331583	La evidencia es clara.
268227	When he was faced with the evidence, he had to admit that he was guilty.	331584	Cuando estuvo frente a la evidencia, tuvo que admitir que él era el culpable.
268228	In the absence of firm evidence the prisoner was set free.	331585	Debido a la falta de evidencias claras, el prisionero fue dejado en libertad.
55638	This is the theater where we see foreign movies.	331586	Este es el cine donde vemos películas extranjeras.
55639	Here is a present for you in token of our appreciation.	331587	Este es un presente como muestra de nuestro agradecimiento.
55640	I am not alone in this opinion.	331588	No soy el único que tiene esta opinión.
55641	This is what I wanted.	331589	Esto es lo que quería.
55642	This is the same camera that I lost.	331590	Esta es la misma cámara que perdí.
55643	This is the dictionary I use every day.	331591	Este es el diccionario que uso todos los días.
55644	This is a picture of my own painting.	331592	Esta es una foto de mi pintura.
55645	This is the picture I took in his house.	331593	Esta es la fotografía que tomé en su casa.
55647	This is what I found in the cave.	331594	Esto es lo que encontré en la cueva.
55648	This is what I've long wanted.	331595	Esto es lo que tanto he esperado.
55650	This is the book I've been looking for.	331597	Este es el libro que he estado buscando.
55651	This is the same pencil that I lost the other day.	331598	Este es el mismo lápiz que perdí el otro día.
55652	This is the dress I made last week.	331599	Este es el vestido que confeccioné la semana pasada.
56255	I like this. I'll take it.	331672	Me gusta este, me lo llevo.
56256	Here's my return ticket.	331673	Aquí está mi boleto de regreso.
56257	This is the passage to the sea.	331674	Esta es la entrada al mar.
56258	Is this a river?	331675	¿Es esto un río?
56259	This is the shortest way to the station.	331676	Este es el camino más corto a la estación.
56260	I am uncertain whether this is a thing of value.	331677	No estoy seguro si este objeto es de valor.
56261	This is the temple which we used to visit.	331678	Este es el templo que solíamos visitar.
56263	This is how I learned English.	331679	Así es como aprendí inglés.
56265	Here's my receipt.	331680	Aquí está mi recibo.
56267	No one can tell what'll happen in the future.	331681	Nadie puede decir lo que pasará en el futuro.
56268	I don't know what to do from now on.	331682	No sé qué hacer a partir de ahora.
56269	There'll be quite a lot of scenes like this in the next few programs.	331683	Habrá muchas escenas como esta en los próximos programas.
56270	We hope you will enjoy the show.	331684	Esperamos que le guste el show.
56271	Please write down what I am going to say.	331685	Por favor, escriba lo que voy a decir.
56272	Answer me this.	331686	Respóndeme esto.
246658	He will look after the cats for me while I'm abroad.	331710	Él cuidará los gatos mientras estoy en el extranjero.
246660	He came when I was out.	331711	Él vino cuando yo había salido.
246661	Will you look after my dog while I'm out?	331712	¿Cuidarás a mi perro mientras estoy fuera de casa?
246664	It was because of the accident that I was late for school.	331713	Fue por culpa del accidente que llegué atrasado a la escuela.
246665	The bell had already rung when I got to school.	331714	Ya había sonado la campana cuando llegué al colegio.
246670	Unless I am mistaken, I've seen that man before.	331715	He visto a ese hombre antes, a menos que me equivoque.
314659	She altered her old clothes to make them look more fashionable.	331731	Ella arregló sus ropas viejas para que se vean más a la moda.
314660	She explained her idea by means of pictures.	331732	Ella explicó su idea utilizando dibujos.
314661	She felt no shame at having said what she did.	331733	Ella no se avergonzó al decir lo que dijo.
314662	She took full responsibility for her actions.	331734	Ella asumió toda la responsabilidad de sus actos.
314663	She was asked to account for her conduct.	331735	Se le pidió que rindiera cuentas de su conducta.
314665	She prides herself on her talent.	331736	Está orgullosa de su talento.
314667	She is unconscious of her sin.	331737	Ella no está consciente de su pecado.
314668	She put a red ribbon on her umbrella as a mark.	331738	Ella amarró una cinta roja en su sombrilla como distintivo.
314669	She shows no zeal for her work.	331739	Ella no muestra entusiasmo por su trabajo.
314671	She cares a lot about her personal appearance.	331740	Ella se preocupa mucho de su presentación personal.
293617	He is not a doctor but a teacher.	331754	Él no es médico, es profesor.
293618	He is a doctor and also a novelist.	331755	Él es médico y también escritor de novelas.
293619	He has much practical experience as a doctor.	331756	Él tiene mucha experiencia como médico.
293620	He became known as a doctor.	331757	Él es un reconocido médico.
293623	He is proud of not having consulted a doctor.	331758	Él está orgulloso de no haber ido nunca al médico.
293626	He made up his mind to be a doctor.	331759	Él se decidió a ser médico.
316103	She achieved the goal of winning the prize.	331764	Ella cumplió el objetivo de ganar el premio.
316108	She is expecting a child.	331766	Ella está esperando un bebé.
316109	She had an abortion.	331767	Ella se hizo un aborto.
316110	As she feels deep sorrow at her cat's death, let her be.	331768	Déjala tranquila ya que está muy triste por la muerte de su gato.
316111	She scared the cat away.	331769	Ella asustó al gato.
316113	She has a cat. The cat is white.	331770	Ella tiene un gato. El gato es blanco.
316114	She has two cats. One is black, and the other is white.	331771	Ella tiene dos gatos. Uno es negro y el otro es blanco.
316116	She is in bed with a fever.	331772	Ella está en cama con fiebre.
316117	She was burning with fever.	331773	Ella estaba ardiendo de fiebre.
316118	She played the piano with enthusiasm.	331774	Ella tocaba el piano con entusiasmo.
39174	I'll do my homework after I watch television.	331776	Haré mi tarea después de ver televisión.
39175	When you watch television or listen to the radio, the music which you hear is often African in origin.	331777	Cuando ves televisión o escuchas la radio, la música que oyes es frecuentemente de origen africano.
39176	Will you turn on the TV?	331778	¿Puedes prender el televisor?
39183	You must make room for the television.	331780	Debes hacer espacio para el televisor.
39184	Students don't read many books because of TV and comics.	331781	Los estudiantes no leen muchos libros debido a la televisión y los comics.
