2027510	Vi troede at det var en flyvende tallerken.	337412	Vi trodde att det var ett flygande tefat.
5002579	Dette er deres hus.	353818	Detta är deras hus.
2344078	Hun bad mig om at se efter hendes baby mens hun var borte.	353822	Hon bad mig att se efter hennes bebis medans hon var borta.
2009163	Solen skinner.	372415	Solen skiner.
2147274	Læg ikke pungen oven på varmeapparatet.	372426	Lägg inte plånboken på elementet.
2347471	Jeg taler ikke tysk.	372472	Jag pratar inte tyska.
474977	Jeg forstår ikke tysk.	372473	Jag förstår inte tyska.
6174975	Jeg kan ikke tale tysk.	372474	Jag kan inte prata tyska.
584601	Taler du japansk?	372477	Pratar du japanska?
476066	Dette er en japansk dukke.	372479	Det här är en japansk docka.
10202069	Min hund er hvid.	372484	Min hund är vit.
618737	Det er koldt.	372619	Det är kallt.
497937	Det regner.	372620	Det regnar.
464628	Det er lige meget.	372621	Det är inte viktigt.
6307453	Kan du huske det?	372623	Minns du det?
613996	Det er varmt i dag.	372627	Det är varmt idag.
586077	Husker du mig?	372628	Kommer du ihåg mig?
3559714	Nu er jeg i lufthavnen.	372629	Nu är jag på flygplatsen.
628283	Jeg har tabt min tegnebog.	372634	Jag har tappat min plånbok.
7588703	Hvorfor?	375873	Varför?
476016	Hvad laver du?	376073	Vad gör du?
618958	Hvad gør du?	376073	Vad gör du?
1089654	Hvad lavede du?	376077	Vad gjorde du?
615573	Tak!	397490	Tack!
1739531	Løvet ændrer farve om efteråret.	401225	Löven ändrar färg på hösten.
3121031	Den næste koncert vil finde sted i juni.	401315	Nästa konsert kommer att hållas i juni.
8815774	Vi er bange.	401325	Vi är rädda.
623379	Hvad betyder det?	401346	Vad betyder det?
1777081	Lån mig din cykel.	401393	Låna mig din cykel.
12580922	Jeg forsøgte at skrive med venstre hånd.	401441	Jag försökte skriva med vänster hand.
12580925	Jeg prøvede at skrive med venstre hånd.	401441	Jag försökte skriva med vänster hand.
9265508	Jeg stod og ventede på en bus.	401458	Jag stod och väntade på en buss.
12954981	Nu er der ingen vej tilbage.	401481	Nu finns det ingen återvändo.
10353884	Da jeg besøgte deres lejlighed, var parret midt i et skænderi.	401524	När jag besökte deras lägenhet, var paret mitt i ett gräl.
1807685	Man har fundet olie under Nordsøen.	402098	Man har funnit olja under Nordsjön.
9712338	Prøv den trøje.	402101	Prova den tröjan.
10001158	Kom når I vil.	402134	Kom när ni vill.
3740790	'Den gamle mand og havet' er en meget spændende bog.	402151	Den gamle mannen och havet är en väldigt spännande bok.
12409305	Jeg vil aldrig glemme din venlighed så længe jeg lever.	403452	Jag kommer inte att glömma bort din vänlighet så länge jag lever.
2305863	Jeg behøver ikke din hjælp.	403490	Jag behöver inte din hjälp.
654741	Jeg er sulten.	409598	Jag är hungrig.
615131	Jeg er bedst.	409661	Jag är bäst.
2513848	Han stjal tegnebogen fra mig.	409670	Han stal plånboken av mig.
880698	Tak for din forklaring.	409672	Tack för din förklaring.
4675537	Hvad?	409673	Vad?
707874	Jeg taler ikke japansk.	409674	Jag pratar inte japanska.
606658	Jeg forstår ikke.	409677	Jag förstår inte.
618717	Hvad består aspirin af?	409683	Vad består aspirin av?
618714	Hold op med at spørge mig om en drink! Gå hen og hent en selv.	409684	Sluta fråga mig om en drink! Gå och hämta en själv.
618755	John og Mary har kendt hinanden siden 1976.	409689	John och Mary har känt varandra sedan 1976.
615243	En, tre og fem er ulige tal.	409698	Ett, tre och fem är udda tal.
615568	Min kone hader katte.	409705	Min fru hatar katter.
615429	Dette gamle bord er stadig i brug.	409706	Det här gamla bordet används fortfarande.
574167	Alle heste er dyr, men ikke alle dyr er heste.	409710	Alla hästar är djur, men inte alla djur är hästar.
8929937	Nederlandene er et lille land.	409714	Nederländerna är ett litet land.
1945325	Man skal elske sin mor.	409721	Man skall älska sin mor.
619049	Jeg er meget glad for at se dig igen.	409723	Jag är väldigt glad att se dig igen.
767080	Det der er ikke en kniv. Det HER er en kniv.	409736	Det där är inte en kniv. Det HÄR är en kniv!
615831	Vi skal mødes på stationen klokken ni.	409742	Vi ska mötas på stationen klockan nio.
618967	Tag det ikke personligt.	409744	Ta det inte personligt.
10698620	Jeg ved ikke om han besøger os næste søndag.	409748	Jag vet inte om han kommer att besöka oss nästa söndag.
615806	Der er to elever fraværende i dag.	409751	Det är två elever borta idag.
615514	Jeg bliver ofte forvekslet med min bror.	409752	Jag blir ofta förväxlad med min bror.
615863	Klimaet er behageligt.	409753	Klimatet är behagligt.
486689	Hun kunne ikke komme, fordi hun var syg.	410144	Hon kunde inte komma för hon var sjuk.
474916	Jeg har en kat og en hund. Katten er sort og hunden er hvid.	410161	Jag har en katt och en hund. Katten är svart och hunden är vit.
615127	Kan du lide golf?	410163	Gillar du golf?
615207	Folk siger ofte at japansk er et vanskeligt sprog.	410171	Folk säger ofta att japanska är ett svårt språk.
618908	Folk siger at han aldrig dør.	410172	Folk säger att han aldrig dör.
763046	På gensyn!	415525	Vi ses!
763047	Vi ses!	415525	Vi ses!
1764301	Hvornår stod du op i morges?	415615	När gick du upp i morse?
599579	Jeg har ingen penge.	415619	Jag har inga pengar.
8972138	Han sov ovre hos sin moster.	415799	Han sov över hos sin moster.
12408898	Han er god til at efterligne hendes irske accent.	415890	Han är bra på att imitera hennes irländska accent.
12408905	Han er god til at imitere hendes irske accent.	415890	Han är bra på att imitera hennes irländska accent.
2478611	Hvor gammel er han?	415895	Hur gammal är han?
12409301	Kom tilbage igen om to uger fra og med i dag, så er du sød!	416206	Kom tillbaka om två veckor från och med i dag, är du snäll.
8743424	Vi kørte for hurtigt til at kunne nyde det smukke landskab.	424808	Vi körde för snabbt för att kunna njuta av det vackra landskapet.
516142	Vær ikke dum.	424819	Var inte dum.
529125	Alle mennesker er født frie og lige i værdighed og rettigheder. De er udstyret med fornuft og samvittighed, og de bør handle mod hverandre i en broderskabets ånd.	474083	Alla människor äro födda fria och lika i värde och rättigheter. De äro utrustade med förnuft och samvete och böra handla gentemot varandra i en anda av broderskap.
618723	Alle mennesker er født frie og med samme menneskeværd og menneskerettigheder. De er udstyret med fornuft og samvittighed og bør handle mod hverandre i broderskabets ånd.	474083	Alla människor äro födda fria och lika i värde och rättigheter. De äro utrustade med förnuft och samvete och böra handla gentemot varandra i en anda av broderskap.
694453	Ja.	478747	Ja.
629621	I går købte hun grøntsager.	483684	I går köpte hon grönsaker.
629622	I går købte hun grønsager.	483684	I går köpte hon grönsaker.
629616	Er han en læge?	483686	Är han läkare?
618978	Jeg ved ikke.	487167	Jag vet inte.
629599	Er du optaget?	487277	Är du upptagen?
8165879	Har du travlt?	487277	Är du upptagen?
477010	Mange tak!	489189	Tack så mycket!
629590	Han har skrevet en bog om Kina.	489475	Han har skrivit en bok om Kina.
477002	Vi har brug for en ambulance.	489488	Vi behöver en ambulans.
629579	Hatten er din.	489514	Hatten är din.
594258	Huset brænder.	490904	Huset brinner.
629540	Du ser bleg ud.	490949	Du ser blek ut.
