621767	Julen nærmer sig.	337516	Наближається Різдво.
7098256	Frankrig grænser op til Spanien.	337642	Франція межує з Іспанією.
539142	Har du et kondom?	379413	Ти маєш презерватив?
615573	Tak!	379450	Дякую!
3589852	Tak.	379450	Дякую!
474885	Der hænger et ur på væggen.	379637	На стіні висить годинник.
12289534	Fisk lever i vand.	379658	Риба живе в воді.
513182	Januar er årets første måned.	387833	Січень — перший місяць року.
615935	Nej tak.	395417	Ні, дякую.
979641	Hellere en fugl i hånden end ti på taget.	422292	Краще синиця в жмені, ніж журавель в небі.
1878779	Hun gør en myg til en elefant.	422300	Вона робить з мухи слона.
13118042	Hæder til Ukraine!	467459	Слава Україні!
562254	Hun misunder mig min succes.	468672	Вона заздрить моєму успіху.
4812353	Der vil komme en tid hvor du vil fortryde det.	472409	Прийде час, коли ти про це пошкодуєш.
3924467	Næsten alle japanere har mørkt hår.	472544	Майже у всіх японців темне волосся.
692643	Hvis jeg var dig så ville jeg straks gå hjem.	472669	На твоєму місці я би відразу пішов додому.
551646	Hvilket sprog taler man i Brasilien?	473977	Якою мовою говорять у Бразилії?
694453	Ja.	478966	Так.
539145	Jeg har ikke mange penge.	480398	У мене небагато грошей.
2313839	Han spiser et æble.	480554	Він їсть яблуко.
6140487	Der er en metro i Kasan.	481075	У Казані є метро.
5007176	Han røg hele tiden.	481091	Він постійно палив.
611189	Telefonen virker ikke.	489931	Телефон не працює.
4562544	Er der liv på Mars?	490204	Чи є життя на Марсі?
476045	Er der nogen mulighed for at han kommer?	490462	Чи є імовірність того, що він прийде?
470292	Det vil tage en evighed at forklare det hele.	490747	Мені знадобиться вічність, щоб все пояснити.
475157	Jeg ville have brug for en evighed for at forklare alt.	490747	Мені знадобиться вічність, щоб все пояснити.
6140422	Det er interessant.	490763	Це цікаво.
12244484	Madrid er Spaniens hovedstad.	491066	Мадрид - столиця Іспанії.
476059	Så hvad om jeg er bøsse? Er det en forbrydelse?	491342	Ну й що, що я ґей? Це що, злочин?
476059	Så hvad om jeg er bøsse? Er det en forbrydelse?	491343	Ну то й що, що я голубий? Це що, злочин?
475169	Jeg ønsker, at hun ville holde op med at ryge.	491344	Я хочу, щоб вона кинула курити.
430102	Vent venligst et øjeblik.	491357	Почекай хвилинку.
475005	Chokolade smager sødt.	491358	Шоколад солодкий на смак.
476036	Jeg tvivler på om han kommer.	491359	Я сумніваюся, що він прийде.
