448644	Thanks!	448647	Ačiū!
338181	All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.	473712	Visi žmonės gimsta laisvi ir lygūs savo orumu ir teisėmis. Jiems suteiktas protas ir sąžinė ir jie turi elgtis vienas kito atžvilgiu kaip broliai.
20287	I'm not feeling well.	527803	Blogai jaučiuosi.
1276	I have to go to sleep.	527807	Turiu eiti miegoti.
378523	Good question!	527811	Geras klausimas.
378291	I have a question.	527814	Aš turiu klausimą.
307451	They have treated her well.	527816	Jie gerai su ja elgėsi.
282051	Is the cat on the chair or under the chair?	529965	Katė ant kėdės ar po kėde?
311092	She took care of the poor little bird.	529966	Ji rūpinosi vargšu paukšteliu.
321438	It's no use asking me for money.	529967	Nėra prasmės prašyti manęs pinigų.
375911	This verb is normally used only in the third person.	529969	Šis veiksmažodis įprastai naudojamas tik trečiam asmeny.
53620	But she liked children and she enjoyed her work.	540822	Bet jai patiko vaikai ir ji mėgo savo darbą.
281510	Japan imports various raw materials from abroad.	553389	Japonija importuoja įvairias žaliavas iš užsienio.
297121	He told the children about his adventures in Africa.	553406	Jis papasakojo vaikams apie savo nuotykius Afrikoje.
249861	I have several good friends.	553418	Aš turiu keletą gerų draugų.
305374	They like Tsuneoki Ikeda.	553433	Jiems patinka Tsuneoki Ikeda.
434819	It's half past eight.	553448	Pusė devynių.
253705	I got this vacuum cleaner for nothing.	557303	Aš gavau šį siurblį už dyką.
505868	Please bring me a glass of water.	557308	Prašyčiau atnešti man stiklinę vandens.
254779	I could reply to all of them.	557309	Aš galėčiau atsakyti jiems visiems.
36404	Why are you crying?	557310	Kodėl verki?
266049	You don't have to help me.	557311	Tu neprivalai man padėti.
266049	You don't have to help me.	557312	Jūs neprivalote man padėti.
497950	You will go to school.	557313	Tu eisi į mokyklą.
323824	The end does not necessarily justify the means.	557314	Tikslas nebūtinai pateisina priemones.
297636	He offered to help me.	557315	Jis pasisiūlė padėti man.
241619	I have just read this book.	557316	Aš tik ką perskaičiau šią knygą.
261167	I'll give her some flowers.	557317	Aš padovanosiu jai gėlių.
18489	He will do anything to make money.	557318	Jis padarys bet ką, kad uždirbtų pinigų.
253331	I have been to Canada.	557319	Aš esu buvęs Kanadoje.
240286	A breakdown in the negotiations will mean war.	557320	Derybų žlugimas reikš karą.
504715	Here is the house where he lived.	557321	Štai namas, kuriame jis gyveno.
265793	Keep in mind that youth is not eternal.	557322	Turėk omeny, kad jaunystė neamžina.
452087	That tie suits you very well.	557325	Tas kaklaraištis tau labai tinka.
421990	I can't understand this at all.	557326	Aš šito visiškai nesuprantu.
323286	It will be hot tomorrow.	563409	Rytoj bus karšta.
314286	She sat next to me.	563411	Ji sedėjo šalia manęs.
293626	He made up his mind to be a doctor.	563413	Jis nusprendė tapti gydytoju.
