4074368	Среќна Нова година!	352752	Szczęśliwego Nowego Roku!
4345526	Никој не може да ми помогне.	352915	Nikt nie może mi pomóc.
563583	Умирам од глад.	552531	Umieram z głodu.
2155082	Книгата е мала.	625414	Książka jest mała.
4106823	Зошто си купил цвеќе?	1065844	Czemu kupiłeś kwiaty?
4105767	Кафе и цигари.	2979809	Kawa i papierosy.
4394058	Том има само една нога.	3479386	Tom ma tylko jedną nogę.
4312523	Зошто не си во Бостон?	3499969	Czemu nie jesteś w Bostonie?
4119706	Здраво на сите.	3568191	Cześć wszystkim.
4139229	Ќе се вратам пред седум часот, ти ветувам.	3990234	Wrócę przed siódmą, obiecuję.
4352596	Денес е среда.	4449150	Dziś jest środa.
4060254	Јас сум детектив.	4735389	Jestem detektywem.
4092745	Љубљана е главен град на Словенија.	4869915	Lublana jest stolicą Słowenii.
4919874	Тој е таксист.	4938220	On jest taksówkarzem.
6964483	Желките немаат заби.	5374422	Żółwie nie mają zębów.
4297591	Никаде не можев да ја најдам.	6141391	Nie mogłem jej nigdzie znaleźć.
4388992	Таа продава зеленчук.	6320905	Sprzedaje warzywa.
4102225	Ги имаш ли научено сите букви од азбуката?	8116228	Czy nauczyłeś się wszystkich liter alfabetu?
4389116	Знам дека си виновен.	8309652	Wiem, że jesteś winny.
4352337	Ги немаше таму.	8511825	Ich tam nie było.
8724309	Новиот коронавирус е високо заразен.	8718151	Nowy koronawirus jest bardzo zakaźny.
4280517	Том не е тука единствениот што не знае француски.	10091357	Tom nie jest tutaj jedyną osobą, która nie umie mówić po francusku.
4338629	Се предозирала со хероин.	10091376	Ona przedawkowała heroinę.
4400390	Веќе не е момче.	12454530	On już nie jest chłopcem.
