380994	Меня часто путают с моим братом.	386436	Ich werde oft von meinem großen Bruder missverstanden.
394450	Германия — парламентская республика.	394458	Deutschland ist eine parlamentarische Republik.
379452	Ничего особенного.	407805	Nichts Besonderes.
390450	Пошёл на хуй!	408393	Fick dich!
408100	Немного студентов, которые читают на латыни.	409232	Wenige Studenten, die Latein lesen können.
383547	Он немного тяжёлый на подъём.	413572	Es dauert etwas, bis man sich entspannt hat.
401377	Похоже, что дождь собирается.	417208	Ich meine, es wird regnen.
418502	Он обещал мне, что придёт в четыре.	418616	Er versprach mir, um vier Uhr zu kommen.
411345	Благими намерениями вымощена дорога в ад.	421789	Der Weg zur Hölle ist mit guten Vorsätzen gepflastert.
423269	Новая метла чисто метёт.	423274	Neue Besen kehren gut.
380994	Меня часто путают с моим братом.	450679	Ich werde oft mit meinem Bruder verwechselt.
381373	С глаз долой — из сердца вон.	464892	Was das Auge nicht sieht, bekümmert das Herz nicht.
467759	Где ты видел этих женщин?	479942	Wo hast du diese Frauen gesehen?
480079	Он, одним словом, поэт.	480095	Er ist, kurz gesagt, ein Poet.
482102	У нас урок физкультуры.	486888	Wir haben Sportunterricht.
506084	Как твоё интервью?	506097	Wie war dein Interview?
507034	А если котёнка положить между китов, ему будет тепло.	508101	Wenn man ein Kätzchen zwischen Wale steckt, wird es warm.
510601	Лазарь Заменгоф — поляк.	510613	Lazarus Zamenhof ist Pole.
397050	В этом классе 40 учеников.	531880	In dieser Klasse sind vierzig Schüler.
470594	Я чувствую себя, как будто очнулся от ночного кошмара.	535952	Ich fühle mich, als ob ich aus einem Albtraum erwacht wäre.
467654	Обещать - не значит жениться.	538113	Versprechen heisst nicht heiraten.
472158	В этом классе больше девочек, чем мальчиков.	545333	In dieser Klasse sind mehr Mädchen als Jungen.
515198	Кот не человек.	547832	Eine Katze ist kein Mensch.
423060	Это её компакт-диск.	548365	Das ist ihre CD.
565928	Поцелуй меня.	565931	Küss mich.
567308	Дай мне посмотреть твою видеокамеру.	567314	Zeig mir mal deine Videokamera.
574000	Клиент всегда прав.	574268	Der Kunde ist König.
379991	Твои родители сейчас дома?	596915	Sind deine Eltern jetzt zuhause?
469806	Ты меня помнишь?	602951	Erinnerst du dich noch an mich?
446095	Она ходит в кино раз в неделю.	602959	Einmal pro Woche geht sie ins Kino.
