428690	Li ĉiam estis afabla kun mi.	429036	Er war immer freundlich zu mir.
428804	Ĉu vi volas esti riĉa?	429039	Willst du reich sein?
382563	Mi estas ĉi tie, do ne zorgu.	429041	Ich bin hier, also sorge dich nicht!
428983	Mi ne vidas lin.	429048	Ich sehe ihn nicht.
425800	Mi kredas, ke li estas feliĉa.	429053	Ich glaube, dass er glücklich ist.
394150	Kiel nomiĝas ĉi tiu strato?	429057	Wie heißt diese Straße?
428629	Kiom da libroj li havas?	429060	Wie viele Bücher hat er?
428123	Ĉiu faras erarojn.	429064	Jeder macht Fehler.
428514	Ĉu vi havas du komputilojn?	429069	Hast du zwei Computer?
429011	Mi ne havas tre bonan vortaron.	429074	Ich habe kein sehr gutes Wörterbuch.
428559	Ŝi ĉiam kapablis respondi ĉiujn demandojn.	430003	Sie konnte immer alle Fragen beantworten.
425986	Mi amas kaj katojn kaj hundojn.	430006	Ich liebe Katzen und Hunde.
386394	Jam malfruas.	430009	Schon so spät?
382673	Japanio estas belega lando.	430013	Japan ist ein wunderschönes Land.
411662	La telefono estis inventita de Bell en 1876.	430014	Das Telefon wurde 1876 von Bell erfunden.
428276	La knabino eniris la ĉambron.	430125	Das Mädchen betrat das Zimmer.
429557	Mi vidis knabon nomitan Tonio Evans.	430491	Ich sah ein Kind das Tonio Evans heißt.
429553	Mi nomiĝas Hisaŝio.	430497	Ich heiße Hasaschi.
425763	Li transloĝiĝis al Tokio.	430499	Er zog nach Tokio.
428692	Li iras al la lernejo per buso.	430500	Er fährt mit dem Bus zur Schule.
425914	Mi estas amerikano.	430501	Ich bin Amerikaner.
429644	Mi elspezis la tutan monon.	430506	Ich gebe das ganze Geld aus.
429505	Telefonu al mi hodiaŭ vespere.	430517	Ruf mich heute Abend an.
430843	Mi havas kelkajn poŝtmarkojn en mia teko.	430861	Ich habe einige Briefmarken in meiner Aktentasche.
430736	Post la manĝo ŝi studis la japanan.	430868	Nach dem Essen lernte sie Japanisch.
429922	Mi ŝatus vidi lin morgaŭ posttagmeze.	430873	Ich würde mir ihn gerne morgen Nachmittag ansehen.
429663	Mi ĉion diris.	430876	Ich sag alles.
429961	Ĉu vi povas kanti tiun kanton?	430878	Kannst du das Lied singen?
411691	Li bone ludas pianon.	430912	Er spielt gut Piano.
429278	Kio estas la malsamo inter A kaj B?	430937	Was ist der Unterschied zwischen A und B?
386440	La kato dormas sur seĝo.	430943	Die Katze schläft auf dem Tisch.
