297489	He commanded me to leave the room immediately.	337424	Він наказав мені негайно вийти з кімнати.
246743	It was not until I called that he came.	337426	Поки я не подзвонив, він не прийшов.
27042	There are many galaxies in the universe.	337427	У всесвіті багато галактик.
28745	The naughty boy got lost and looked around.	337431	Неслухняний хлопчик заблукав й оглядався по сторонах.
293207	She slowly disappeared into the foggy forest.	337432	Вона повільно зникала в туманному лісі.
28870	Our plane was flying above the clouds.	337433	Наш літак летів понад хмарами.
32958	Mike has a few friends in Florida.	337435	У Майка є декілька друзів у Флориді.
277883	The city was bombed by enemy planes.	337437	Місто бомбардували ворожі літаки.
281855	I'll come and see you at 3:00 p.m. on Sunday.	337439	Я зустрінуся з тобою в неділю о третій.
273290	Bonds were issued to finance a war.	337440	Для фінансування війни було видано облігації.
64812	What are the origins of the Olympics?	337441	Звідки беруть початок Олімпійські ігри?
73863	I said to myself, "That's a good idea."	337442	Я сказав собі: «Це гарна ідея».
247813	We intended to stay there about two weeks.	337443	Ми збиралися пробути там біля двох тижнів.
249569	As for me, I have nothing to say at present.	337444	Як на мене, то наразі помовчу.
2370	There's no love without jealousy.	337449	Немає кохання без ревнощів.
1310	You should sleep.	337456	Тобі краще поспати.
241002	Think about it.	337458	Обдумай це.
326010	For example, do you like English?	337459	Наприклад, тобі подобається англійська?
62595	The dew fell this morning.	337474	Цього ранку випала роса.
59362	A mysterious legend has been handed down about this lake.	337475	Про це озеро існує таємнича легенда.
254732	I have read that story in some book.	337476	Я прочитав це оповідання в якійсь книзі.
37047	Tom is a fluent speaker of Japanese.	337478	Том вільно розмовляє японською.
321497	Do you know where my watch is?	337479	Ти не знаєш, де мій годинник?
247315	There is another question too that we must discuss.	337481	Є ще одне питання, яке нам так само треба обміркувати.
322435	Read the newspaper every day, or you will fall behind the times.	337482	Читайте газети кожен день, бо інакше Ви не будете в курсі останніх новин.
282120	Have you ever ridden in a hot air balloon?	337483	Ви колись літали на повітряній кулі?
67929	Do they sell notebooks at that store?	337485	Чи продають в цій крамниці зошити?
61747	Not everyone who lives here is rich.	337493	Не всі, хто тут живе, багаті.
43568	The medicine hastened the process of growth.	337494	Ліки прискорили процес росту.
283974	I saw him running.	337495	Я бачив, як він біг.
252750	I want you to sing a song.	337512	Я хочу, щоб ти заспівав пісню.
