1399800	Parang malagnaw na sopas ang huntahan nila.	1399822	Ilia konversacio ŝajnas esti kiel diluita supo.
1405368	Naghintay ako nang matagal.	1405385	Mi atendis dum longa tempo.
743790	Mahilig magbasa ang lolo ko.	1591233	Mia avo ĝuis legi.
1599936	Ang mga rasista ay hindi edukado.	1599937	Rasistoj ne estas edukitaj.
1647550	Ang ating tunay na pag-asa ay may buhay sa mga ibang mundo.	1647560	Nia vera espero estas, ke ekzistas vivo en aliaj mondoj.
1824130	Nakakatuwa ang pagsasalita ng Ingles.	1910934	Paroli la anglan ĝojigas.
2007208	Natatandaan ko ang 1976.	2008509	Mi memoras pri la jaro 1976.
2207627	Maraming klaseng puto ang nakahanda sa mesa.	2207636	Multaj specoj da rizkukoj prezentiĝas sur la tablo.
1696958	Tingnan mo ako, at gayahin mo.	2471882	Rigardu min, kaj faru same.
1696971	Sinulat iyon ni Taro Akagawa.	2471887	Tio estis verkita de Taro Akagawa.
1798684	Gusto ko pang magsulat sa Esperanto.	2529579	Mi ankoraŭ ŝatas skribi en Esperanto.
2833573	Heto ang aking blog, na magpapakilala sa akin at maghahayag ukol sa aking pang-araw-araw na buhay.	2833574	Jen mia blogo, kiu prezentos min al vi kaj rakontos pri mia ĉiutaga vivo.
4002874	May pabrika ako ng artipisyal na bulaklak.	4005331	Mi havas manufakturon por artefaritaj floroj.
4890302	Kita natin ang mga malalaking oso ng gubat.	4919709	Ni vidas la grandajn ursojn de la arbaro.
4890279	Kita ko ang osong malaki ng gubat.	4919710	Mi vidas la urson grandan de la arbaro.
4749350	Maraming loro ang lumilipad sa halamang bakod ng kastilyo.	4919747	Estas multaj papagoj flugantaj ĉe la heĝo de la kastelo.
4749347	Maraming loro ang lumilipad sa bakuran ng kastilyo.	4919749	Estas multaj papagoj flugantaj ĉe la muro de la kastelo.
4749345	Maraming loro ang lumilipad sa tarangkahan ng kastilyo.	4919750	Estas multaj papagoj flugantaj ĉe la pordego de la kastelo.
1856430	Naiintindihan ko ang iyong sinasabi.	7433125	Mi komprenas kion vi diras.
8890313	Simula ng Pista ng mga Bituwin ang ika-7 ng Hulyo bawat taon.	8890318	Ĉiujare la 7an de julio komenciĝas la Stelfestivalo.
8980930	May asul na likido sa bote.	8980932	Estas blua likvo en la botelo.
8980936	May asul na likido sa malaking bote.	8980938	Estas blua likvo en la granda botelo.
8980940	May kulay-ubeng likido sa malaking bote.	8980942	Estas purpura likvo en la granda botelo.
8980943	May kulay-rosas na likido sa malaking bote.	8980944	Estas rozkolora likvo en la granda botelo.
8980945	May pulang likido sa malaking bote.	8980946	Estas ruĝa likvo en la granda botelo.
8980948	May dilaw na likido sa malaking bote.	8980950	Estas flava likvo en la granda botelo.
8980951	May puting likido sa malaking bote.	8980955	Estas blanka likvo en la granda botelo.
8980957	May berdeng likido sa malaking bote.	8980960	Estas verda likvo en la granda botelo.
9015794	Naging hayop na sila.	9015798	Ili fariĝis bestoj.
9028761	Tatlong klaseng gatas ang iniinom ko: gatas ng almendras, gatas ng abena, at gatas ng niyog; gusto ko sa umaga, sa tanghali, at sa hapon, at pinasingawan man o may yelo.	9028763	Mi trinkas tri laktospecojn: migdallakton, avenlakton, kaj kokoslakton; mi ŝatas matene, tagmeze, kaj posttagmeze, kaj eĉ vaporigite aŭ kunglacie.
9634741	Bumili ng tsokolateng ayskrim si Miguel sa mag-aayskrim.	9635412	Miĥaelo aĉetis ĉokoladan glaciaĵon el vendisto de glaciaĵo.
10044959	Ngayon, lahat ng itlog ay nasa isang buslo. Lahat ng tao ay nasa Tiyera.	10044961	Nuntempe ĉiuj ovoj estas en unu korbo. Ĉiuj homoj estas sur Tero.
10329750	Matanda na si Brenna. Ang kagalitan at kainggitan ay mga emosyon niya.	10329784	Brenna estas maljuna. Kolero kaj ĵaluzo estas ŝiaj emocioj.
10332783	May mga iniisip si Rose, yaong Pilipinang tindera sa pizzeria sa Isla Lulu. Hindi siya pa desidido kung mag-aaral pa siyang maging asistente sa titser. Mga limang buwan ang planong edukasyon, pero kailangan niyang iwanan ang pizzeria dahil full-time. Lalaki ang panganay niya, at babae ang bunso. Sa gabi nagtratrabaho ang asawa niyang nadating nang mga alas-sais ng umaga sa condo nila. Sinundo ni Rose ang nanay niyang nakatira sa Cagayan sa Pilipinas (at patay nang matagal ang tatay niya). Nagmahigit nang isang taon ang nanay niya sa Isla Lulu, pero nalungkot siya at bumalik na sa Cagayan.	10332795	Roza, la filipina vendistino en la picejo sur Lulu-insulo, havas kelkajn pensojn. Ŝi ankoraŭ ne decidis, ĉu ŝi studos por iĝi instruista asistantino. La edukplano estus ĉirkaŭ kvin monatoj, sed ŝi devus forlasi la picejon, ĉar ĝi estus plentempa. Ŝia plej aĝa ido estas knabo, kaj ŝia plej juna estas knabino. Nokte, ŝia edzo laboras kaj alvenas al ilia posedapartamento ĉirkaŭ la sesa matene. Roza prenis sian patrinon, kiu loĝas en Kagajano en Filipinoj (kaj ŝia patro mortis delonge). Ŝia patrino estis sur Lulu-insulo pli ol unu jaron, sed ŝi malĝojis kaj revenis al Kagajano.
10317650	Natagpo ko noong ika-23 ng Setyembre ng 2021 si Bob na kapatid ni George, yaong Tsipreng Griyegong kapitbahay ko sa Isla Lulu. (Haponesa ang asawa ni George, si Chika.) Bumibisita si Bob sa pamilya dahil sa kamatayan ni Thasso, ang ama nila at asawa ni Nikki, dahil sa coronavirus. Sabi ko kay Bob, natatandaan ko noong maliit na bata pa silang nagbibisikleta ni George sa pook namin. Binanggit kong masarap ang "fish and chips" sa London. Nakatira raw siya sa isang nayong malapit sa York sa norteng Inglatera. Sabi ko'y maganda sa Lumang Mundo at matagal ko nang nais tumira sa Lumang Mundo. Manedyer pangkompyuter daw si Bob sa Inglatera. Tungkol daw sa programasyon ng mga "obheto."	10336938	Mi renkontis je la 23-a de septembro de 2021 Bob-on, la fraton de Georgo, tiu mia grek-cipra najbaro sur Lulu-insulo. (La edzino de Georgo, Ĉika, estas japanino.) Bob vizitas la familion pro la kronvirusa morto de Thasso, ilia patro kaj la edzo de Nikki. Mi diris al Bob, ke mi memoras, kiam Georgo kaj li estis malgrandaj infanoj biciklantaj en nia najbarejo. Mi menciis la bongustajn fiŝaĵon kaj terpomfritaĵojn en Londono. Li laŭdire loĝas en vilaĝo apud Jorko en norda Anglujo. Mi diris, ke la Malnova Mondo estas bela kaj mi longe volis loĝi en la Malnova Mondo. Bob estas komputika administranto en Anglujo. Li diras, ke temas pri programado de "objektoj".
10337051	May iniisip si Kuya Gary. Ang ingklinasyon niya ngayon tungkol sa karamihan ng mga tao ay para silang bombilya. Isip yata niyang kung pundido na ang bombilya, talagang absolutong katapusan na. Sabi ko sa kanya'y para akong Vorlon, ang alusyon ko sa mga tagaibang-daigdig sa siyensiyang piksiyong prangkisang Babylon 5.	10337068	Frato Gary pensas pri io. Lia emo nun pri plej multaj homoj estas, ke ili estas kiel ampoloj. Li ŝajne pensas, ke se la bulbo ĉesus ŝalti, tio estus absoluta fino. Mi diris al li, ke mi similas al vorlono, mia aludo al la eksterteranoj en la sciencfikcia franĉizo Babylon 5.
10345138	Natagpo ko si Michael na Tsino noong ika-5 ng Oktobro ng 2021 sa kapihang Istarbaks sa Isla Lulu. Malimit siyang mag-Venti Americano, at ako naman ay Mayelong Tsaang Berdeng Grande. Pinag-usapan namin ang Taylandiya. Masarap ang pagkain doon. May nabanggit siyang islang Ko Pha-ngan sa Taylandiya. May mga nudista raw doon. Masarap daw sa Pilipinas, dahil sa prutas araw-araw. Sabi ko'y natikman ko ang "prutas ng ahas" o "salak" sa Indonesia. Mahilig kaming pareho sa durian at mangga.	10345139	Mi renkontis Miĥaelon la ĉino la 5-an de oktobro de 2021 en la kafejo Starbukso sur Lulu-insulo. Li ofte trinkas je Venti Americano, kaj mi ŝatas mezgrandan glacian verdan teon. Ni parolis pri Tajlando. La manĝaĵo tie estas bongusta. Li menciis la insulon Ko Pha-ngan en Tajlando. Estas nudistoj tie laŭdire. Li diris, ke estas bonege en Filipinoj, pro la fruktoj ĉiutage. Mi diris, ke mi gustumis "serpentan frukton" aŭ "salak"-on en Indonezio. Ambaŭ ni amas durianon kaj mangon.
