64031	I'm starved.	563583	Умирам од глад.
1839540	I'm starving.	563583	Умирам од глад.
965540	Nothing new on the Western Front.	1185001	На Запад ништо ново.
1001624	I'm reading this book.	1473413	Јас ја читам оваа книга.
1399478	Burj Khalifa is currently the tallest skyscraper in the world.	1505867	Бурџ Калифа е сега највисокиот облакодер во светот.
1533148	Christ is risen!	1533134	Христос воскресна!
528235	There is no god but God, and Muhammad is the messenger of God.	1800990	Нема друго божество достојно за обожување освен Алах, и Мухамед е Божјиот пратеник.
2826651	There is no God but Allah, and Mohammed is his prophet.	1800990	Нема друго божество достојно за обожување освен Алах, и Мухамед е Божјиот пратеник.
264822	Do good to those who hate you.	1824361	Правете им добро на оние што ве мразат.
1919529	I'm fine, thanks!	1919528	Добро сум, благодарам!
660497	The book is small.	2155082	Книгата е мала.
2412738	I have two cats.	2412743	Јас имам две мачки.
2412747	The bread is fresh.	2412754	Лебот е свеж.
879580	The map is on the wall.	2412759	Мапата е на ѕидот.
2412760	Where is the blanket?	2412762	Каде е ќебето?
7855034	Where's the blanket?	2412762	Каде е ќебето?
2412763	I work in a factory.	2412764	Јас работам во фабрика.
2412766	My night was amazing.	2412767	Мојата ноќ беше неверојатна.
2412770	The woman is in the room.	2412772	Жената е во собата.
2412862	The chairs are under the tree.	2412864	Столовете се под дрвото.
1866934	The bread is not fresh.	2412868	Лебот не е свеж.
2412871	The apple is on the table.	2412873	Јаболкото е на масата.
4165731	This one is a book about stars.	2412875	Оваа е книга за ѕвезди.
2412890	The house is small.	2412891	Куќата е мала.
2281803	We don't live in Boston.	2412911	Не живееме во Бостон.
4165838	We do not live in Boston.	2412911	Не живееме во Бостон.
52666	John lives in New York.	2412913	Џон живее во Њујорк.
2400209	Tom is not my son.	2412920	Том не е мојот син.
2399175	I had a cat.	2412924	Јас имав мачка.
1959968	He lives in an apartment.	2412928	Тој живее во стан.
2107534	Tom's here.	2412931	Том е тука.
2202939	Tom is here.	2412931	Том е тука.
2202939	Tom is here.	2412932	Том е овде.
1282	The password is "Muiriel".	2412942	Лозинката е „Muiriel“.
1325	Are you sure?	2412946	Сигурен ли си?
1796683	Nobody works in my country.	2412950	Никој не работи во мојата земја.
436342	I am from Egypt.	2412955	Јас сум од Египет.
2042315	The tree is green.	2412997	Дрвото е зелено.
477368	The sun is red.	2413111	Сонцето е црвено.
15869	Are you a Japanese student?	2413116	Дали сте јапонски ученик?
1866	Justice is expensive.	2413118	Правдата е скапа.
267910	Give me some milk.	2413124	Дај ми малку млеко.
1481	I don't speak Japanese.	2413127	Јас не зборувам јапонски.
1743205	Son of a bitch!	2413129	Кучкин син!
2066955	She is American.	2413140	Таа е Американка.
2413737	Tom is a teacher of Chinese literature.	2413942	Том е професор по кинеска литература.
4165830	Where is the nearest pharmacy?	2413943	Каде се наоѓа најблизката аптека?
429955	He was in France.	2416677	Тој беше во Франција.
1349962	I'm feeling better.	2416683	Се чувствувам подобро.
2245738	I feel better.	2416683	Се чувствувам подобро.
464525	What color is your hair?	2420311	Која боја е твојата коса?
4151045	We are indeed sorry for his mistake.	2429636	Ни е жал за неговата грешка.
2446539	Better dead than red.	2446547	Подобро мртов отколку црвен.
454513	I think, therefore I am.	2577843	Мислам, значи постојам.
4165823	She is a young university student.	2618924	Таа е млада студентка.
2604250	Some people believe that the number 13 brings bad luck.	2618942	Некои луѓе веруваат дека бројот тринаесет носи лоша среќа.
2601339	The neighbor's lawn is greener.	2618955	Тревникот на соседот е позелен.
4165824	I have a home in the mountains.	2618965	Јас имам куќа во планините.
2547231	I'm at the restaurant.	2618968	Јас сум во ресторанот.
2601380	Smoking is prohibited in every section of the restaurant.	2618972	Пушењето е забрането во секој дел на ресторанот.
1887888	I want to dream.	2618990	Сакам да сонувам.
26169	Can you speak English?	2635149	Зборувате ли англиски?
2635202	Can you teach me Portuguese?	2635199	Можете да ме научите португалски?
2635205	My name is Ricardo.	2635212	Моето име е Рикардо.
2036349	I'm Brazilian.	2635215	Jас сум Бразилец.
2635221	Could you teach me Macedonian?	2635222	Можете да ме научите македонски?
2667575	Elaine is in hospital.	2667620	Елејн е во болницата.
1911882	Put your hands up in the air!	2748631	Горе рацете!
2764679	My house is smaller.	2764680	Мојата куќа е помала.
1054374	This tea is good.	2764687	Овој чај е добар.
2764578	Young people must not study.	2764697	Младите луѓе не треба да студираат.
708119	Have you got a car?	2764700	Имате ли кола?
2764551	The cat is on the roof.	2764710	Мачката е на покривот.
1194033	I'm not a doctor.	2766080	Јас не сум лекар.
2974717	Tehran is in Iran.	2975022	Техеран е во Иран.
4165826	He likes the music.	2975026	Му се допаѓа музиката.
262851	We are all eager to see the movie.	3040317	Сите ние сме желни да се види филмот.
3153416	It is a chair.	3154120	Тоа е стол.
3153414	It is a bird.	3154121	Тоа е птица.
3153412	Is it a chair?	3154124	Дали е тоа стол?
3153409	Is it a bird?	3154125	Дали е тоа птица?
3100435	The man is young.	3154126	Човекот е млад.
3155279	Pua sang at church.	3155567	Пуа пееше во црквата.
3144638	His book is red.	3155570	Неговата книга е црвена.
3155277	Pua sings at church.	3155573	Пуа пее во црквата.
3155019	The girls work.	3155576	Девојките работат.
2250930	That surprises me.	3155578	Тоа ме изненадува.
3154995	It surprises me.	3155578	Тоа ме изненадува.
3154472	You're not a man.	3155579	Ти не си човек.
3154473	You're not a woman.	3155581	Ти не си жена.
2931528	My baby wants to talk.	3178064	Моето бебе сака да зборува.
413730	One, two, three, four, five, six, seven, eight, nine, ten.	3189487	Еден, два, три, четири, пет, шест, седум, осум, девет, десет.
3188594	I want to live in Brazil.	3200275	Сакам да живеам во Бразил.
3188573	The blue bicycle is new.	3206786	Синиот велосипед е нов.
882726	The dogs are in the garden.	3268883	Кучињата се во градината.
33342	Almost all of the dogs are alive.	3268886	Речиси сите кучиња се живи.
3303231	He is a dentist.	3303122	Тој е заболекар.
3303231	He is a dentist.	3303123	Тој е стоматолог.
4165813	Esperanto, official language of the EU, now!	3307646	Есперанто, службен јазик на Европската унија, сега!
3663248	There are islands in the sea.	3715552	Во морето има острови.
4165880	Tom is not young.	3774942	Том не е млад.
2739963	I have a friend.	3775926	Имам пријател.
2739963	I have a friend.	3775928	Јас имам пријател.
495218	I'm going.	3775931	Јас одам.
495218	I'm going.	3775932	Одам.
2314945	I didn't know Tom was a doctor.	3775935	Јас не знаев дека Том е лекар.
452274	I want to cry.	3775937	Сакам да плачам.
452274	I want to cry.	3775938	Јас сакам да плачам.
321869	I want to sleep.	3775940	Сакам да спијам.
321869	I want to sleep.	3775941	Јас сакам да спијам.
949139	Do you speak Macedonian?	3836743	Зборувате ли македонски?
281605	Japan is a rich country.	3858357	Јапонија е богата земја.
2011270	I want them.	3858362	Ги сакам.
2747575	I like them.	3858362	Ги сакам.
3339235	I love them.	3858362	Ги сакам.
1955996	I don't like the look of him.	3858364	Изгледот му не ми се допаѓа.
3992795	Dan decided to leave town.	3993614	Дан реши да го напушти градот.
3992792	Dan stuck to his story.	3993617	Дан се држеше до својата приказна.
3992790	Dan shot Matt in self-defence.	3993621	Дан го застрела Мет во самоодбрана.
3992563	Good night, Dan.	3993625	Лека ноќ, Дан.
3992567	Sweet dreams, Dan.	3993628	Слатки сништа, Дан.
3992598	Something in Dan has changed.	3993631	Нешто е сменето кај Дан.
1655721	Do you have a lover?	3993632	Имаш ли љубовник?
3991876	Do fish have vocal cords?	3993639	Имаат ли рибите гласни жици?
3991872	Miracles do exist and we believe in them.	3993642	Постојат чуда и ние веруваме во нив.
3991730	The kids are driving me crazy.	3993645	Децата ме излудуваат.
3991706	Why? Because I said so.	3993646	Зошто? Зашто така реков.
3991532	Why is Dan so violent?	3993648	Зошто е Дан толку насилен?
3991531	What are you suing Dan for?	3993650	За што го тужиш Дан?
3991525	There were traces of blood inside Dan's car.	3993652	Имаше траги од крв во колата на Дан.
3991523	There was a photograph of Dan hanging above the bed.	3993657	Слика од Дан висеше над креветот.
3991522	There had never been a conflict between Dan and Linda.	3993658	Никогаш немало конфликт помеѓу Дан и Линда.
3991492	Linda was pregnant at that time.	3993664	Во тоа време Линда беше бремена.
3991484	Just call me when you're done.	3993669	Јави ми се кога ќе завршиш.
3991483	It's impossible to deny the obvious.	3993672	Невозможно е да се порекнува очигледното.
3992786	Dan met Linda at the church.	3993702	Дан ја сретна Линда кај црквата.
3991895	I have stopped drinking carbonated drinks.	3993715	Престанав да пијам газирани пијалоци.
3991891	We don't always know what makes us happy.	3993718	Не знаеме секогаш што не прави среќни.
3991890	I can't believe this is really happening to me.	3993723	Не можам да поверувам дека ова навистина ми се случува.
3991883	The caterpillars ate the cabbage.	3993725	Гасениците ја изедоа зелката.
3991882	How could that fish have a lizard in its stomach?	3993729	Како може таа риба да има гуштер во желудникот?
3991880	Humans can't perform miracles.	3993732	Луѓето не можат да творат чуда.
3991634	Who is Dan talking to?	3993734	Кому зборува Дан?
3991632	Dan was on TV.	3993736	Дан го имаше на телевизија.
3991481	It's hard to get along with Dan.	3993741	Тешко е да се слагаш со Дан.
3991480	Is Dan aware of what he did?	3993743	Свесен ли е Дан што направил?
3991470	How many people are in the house?	3993744	Колку души има во куќата?
3991468	Dan would do anything for Linda.	3993747	Дан би направил сѐ за Линда.
3991466	Dan woke up the children.	3993748	Дан ги разбуди децата.
3991463	Dan will give Linda the keys Monday.	3993749	Дан ќе и ги даде клучевите на Линда во понеделник.
3991459	Dan went outside to see what Linda was doing.	3993753	Дан излезе надвор да види што прави Линда.
3991444	Dan was to sign the contract in July.	3993754	Дан требаше да го потпише договорот во јули.
3991441	Dan was talking trash.	3993755	Дан тресеше глупости.
3991436	Dan was screaming and yelling.	3993757	Дан се дереше и викаше.
3991435	Dan wasn't so convinced that Linda was innocent.	3993758	Дан не беше сосем уверен дека Линда е невина.
3991433	Dan wasn't reacting normally.	3993761	Дан не реагираше нормално.
3991430	Dan was in a state of shock.	3993763	Дан беше во состојба на шок.
3991417	Dan was a very caring father.	3993764	Дан беше мошне грижлив татко.
3991416	Dan was assaulted by two people.	3993766	Дан го нападнаа двајца.
3991408	Dan was a good husband and a good father.	3993768	Дан беше добар сопруг и добар татко.
3991390	Dan wants Linda back.	3993770	Дан сака да му се врати Линда.
3991388	Dan wanted a lot of kids.	3993772	Дан сакаше да има многу деца.
3991386	Dan waited for an opportunity.	3993773	Дан чекаше прилика.
3991385	Dan visited the restaurant last summer.	3993776	Дан го посети ресторанот минатото лето.
3991384	Dan understood this well.	3993777	Дан ова добро го разбра.
3991372	Dan threatened to kill Linda.	3993780	Дан се закануваше дека ќе ја убие Линда.
3991373	Dan threw his phone into the swimming pool.	3993782	Дан си го фрли мобилниот во базенот.
3991365	Dan still had a girlfriend.	3993783	Дан се уште имаше девојка.
3991364	Dan stated that he was a cop.	3993784	Дан изјави дека е полицаец.
3991363	Dan started drinking at age 13.	3993787	Дан почна да пие на 13 години.
3991356	Dan's knife was covered with blood.	3993789	Ножот на Дан беше прелиен со крв.
3991351	Dan's gun was missing.	3993790	На Дан му го немаше пиштолот.
3991350	Dan sent the children into the house.	3993791	Дан ги испрати децата во куќата.
3991349	Dan sent Linda back home.	3993793	Дан ја испрати Линда дома.
3991348	Dan's children were asleep upstairs.	3993794	Децата на Дан спиеја горе.
3991334	Dan often went to take a walk in that wood.	3993797	Дан често правеше прошетки во таа шума.
3991332	Dan noticed Linda was still breathing.	3993799	Дан забележа дека Линда се уште дише.
3991331	Dan never intended to leave Linda and her children alone.	3993801	Дан никогаш немаше намера да ги остави Линда и децата сами.
3991330	Dan must have been scared.	3993802	Дан бездруго се исплашил.
3991327	Dan must have been confused.	3993803	Дан бездруго се збунил.
3991326	Dan moved in on Sunday.	3993806	Дан се всели во недела.
3991303	Dan knew what Linda liked.	3993807	Дан знаеше што ѝ се допаѓа на Линда.
3991299	Dan kept changing his story.	3993808	Дан постојано ја менуваше својата приказна.
3991297	Dan is moving out on the first.	3993809	Дан ќе се исели на први.
3991286	Dan headed toward London.	3993810	Дан се упати кон Лондон.
3991289	Dan insisted he was innocent.	3993812	Дан настојуваше дека е невин.
3991288	Dan heard Linda yell at the waitress.	3993813	Дан чу како Линда вика по келнерката.
3991280	Dan had to decide whom to believe.	3993814	Дан мораше да одлучи кому да верува.
3991278	Dan had numerous girlfriends.	3993815	Дан имаше безброј девојки.
3991254	Dan found a bruise on his son's thigh.	3993818	Дан најде модрица на бедрото на својот син.
3991251	Dan forgot to wear gloves.	3993819	Дан заборави да облече ракавици.
3991247	Dan examined the abandoned car.	3993820	Дан ја испита запуштената кола.
3991246	Dan entered the courtroom.	3993821	Дан влезе во судницата.
3991242	Dan doesn't want to look heartless.	3993823	Дан не сака да изгледа бездушно.
3991241	Dan doesn't know what to do about it.	3993824	Дан не знае што да преземе во врска со тоа.
3991239	Dan didn't want to believe that Linda did that.	3993826	Дан не сакаше да поверува дека Линда го направила тоа.
3991236	Dan didn't show up for work that day.	3993828	Дан не се појави на работа тој ден.
3991224	Dan came inside and started shouting.	3993829	Дан влезе и почна да се дере.
3991209	Dan always carried a gun.	3993833	Дан секогаш носеше пиштол на себе.
3990489	Please bring me a cup of tea.	3993838	Те молам донеси ми шолја чај.
3990521	If you never felt depressed, then you wouldn't be human.	3993840	Да не паѓаше никогаш во депресија, немаше да бидеш човек.
3990487	Our daughter burnt a finger with a match.	3993841	Ќерка ни си го изгоре прстот со кибрит.
3990482	Tom said he will help me get what I need.	3993843	Том рече дека ќе ми помогне да го набавам тоа што ми треба.
3822632	Tom didn't help me.	3993844	Том не ми помогна.
3990471	My sister doesn't know the difference between a goose and a duck.	3993845	Сестра ми не знае што е разликата меѓу гуска и патка.
3990343	They come from Beijing.	3993846	Тие потекнуваат од Пекинг.
3990344	You come from Beijing, right?	3993847	Ти си од Пекинг, нели?
3990109	Green light... Red light!	3993848	Зелено светло... црвено светло!
3989703	Dan didn't even ask for my permission.	3993851	Дан не ми ни побара дозвола.
3989699	Dan didn't even wear a suit.	3993854	Дан не ни облече одело.
3989697	Dan didn't even speak.	3993856	Дан не ни прозборе.
3989607	Dan didn't even do drugs.	3993860	Дан не се ни дрогираше.
3989619	Dan didn't even intend to call Linda.	3993863	Дан не ни имаше намера да и се јави на Линда.
3989599	Dan didn't even plan to marry Linda.	3993866	Дан не ни планираше да се ожени за Линда.
3989593	Dan didn't even clean the kitchen.	3993869	Дан не ни ја исчисти кујната.
3989592	Dan didn't even throw the ball.	3993872	Дан не ни ја фрли топката.
3970715	That's just cruel.	3993881	Тоа е просто сурово.
3970710	Tom wants to get married, but not to Mary.	3993882	Том сака да се ожени, но не за Мери.
3970703	Is everybody having a great time?	3993885	Сите ли се забавуваат?
3970689	There needs to be a full stop at the end of a sentence.	3993886	Треба да има точка на крај на реченица.
3970628	I thought it would be better to remain silent.	3993888	Мислев дека би било подобро само да молчам.
3970627	How do you play poker?	3993889	Како се игра покер?
3970626	Her father never let her go into the city with her friends.	3993892	Татко и никогаш не и дозволуваше да излегува во град со пријатели.
3970622	Rudolf has built a large house.	3993895	Рудолф изградил голема куќа.
716144	I know that.	3993896	Го знам тоа.
3970619	He refused to shake my hand.	3993897	Не сакаше да се ракува со мене.
3970608	Correct the mistakes.	3993899	Исправи ги грешките.
3970488	Let's get to the point!	3993903	Да прејдеме на главната поента!
3970474	She always says the same thing.	3993906	Таа секогаш го вели истото.
3970460	The dog ate the bone, which I gave him.	3993909	Кучето ја изеде коската, којашто му ја дадов јас.
3970248	Don't forget your ticket.	3993910	Не си го заборавај билетот.
3970191	You can feel safe here in the house.	3993913	Можеш да се чувствуваш безбедно тука во куќава.
3969407	This book belongs here.	3993916	Оваа книга припаѓа тука.
3969368	I don't hate school.	3993919	Не го мразам школото.
3969236	Are you tired now?	3993920	Уморен ли си сега?
3969228	You have nice legs.	3993921	Имаш убави нозе.
3969014	Can you imagine yourself alone on a boat in the middle of the ocean?	3993925	Можеш ли да се замислиш сам на чун среде океан?
3968696	Ah, I have been here before!	3993928	Ах, сум бил тука и претходно!
2007319	Let's not get ahead of ourselves.	3993931	Да не се занесуваме.
2007464	Let's not get carried away.	3993931	Да не се занесуваме.
2007740	Let's not get crazy.	3993931	Да не се занесуваме.
3968284	How long will you be staying with us?	3993932	Колку долгу ќе престојуваш кај нас?
3968281	I don't really understand you.	3993934	Баш и не те разбирам.
3968278	I have difficulty learning languages.	3993936	Тешко ми е да учам јазици.
3968277	I almost died a year and a half ago.	3993939	Замалку ќе умрев пред година и пол.
3968258	Do you think Tom lied to us?	3993940	Мислиш ли дека Том нѐ излажал?
3968257	I just want to find out what happened.	3993941	Само сакам да дознаам што се случило.
3968256	Do you think that he lied to me?	3993944	Мислиш ли дека тој ме излажал?
3967857	Even though he's poor, he's happy.	3993946	Иако е сирамов, среќен е.
3967610	I am not musical, but I like to sing in the shower.	3993950	Не сум музикален, ама си пеам под туш.
3967587	We have very little time, so please hurry.	3993951	Ни преостанува многу малку време, затоа побрзај.
3966989	Tom tells it like it is.	3993960	Том го кажува како што е.
3966225	I'm hanging the calendar on the wall.	3993961	Го закачувам календарот на ѕид.
3966233	Tom has two brothers who live in Boston.	3993962	Том има два браќа коишто живеат во Бостон.
3966211	What were we afraid of?	3993964	Од што се плашиме?
3966078	Do you think you can fool me?	3993966	Мислиш дека можеш да ме измамиш?
3966070	I want to spend the whole day with you.	3993968	Сакам да го поминам целиов ден со тебе.
3966065	I'm selfish. I admit it.	3993970	Себичен сум. Признавам.
3966061	She obviously loves you.	3993971	Таа очигледно те сака.
3966060	He obviously loves you.	3993972	Тој очигледно те сака.
3966058	"Does that mean that you forgive me?" "I suppose so."	3993975	„Тоа значи дека ми простуваш?“ „Претпоставувам“
3966054	I don't love him enough to marry him.	3993977	Не го сакам доволно за да се омажам со него.
3966055	I don't love Mary enough to marry her.	3993978	Не ја сакам Мери доволно за да се оженам за неа.
3966049	"I'll wash the dishes." "OK, I'll dry then."	3993980	„Ќе ги измијам садовите.“ „Добро, јас ќе ги бришам.“
3966045	Do you love me? Do you really love me?	3993981	Ме сакаш ли? Дали ме сакаш навистина?
