1153171	Sunt medic.	1744067	Είμαι γιατρός.
1089726	Îmi place matematica.	3457399	Μου αρέσουν τα μαθηματικά.
1153774	La ce oră se deschide magazinul?	3458878	Τι ώρα ανοίγει το κατάστημα;
1090184	E fratele meu.	3458879	Αυτός είναι αδερφός μου.
1168717	Bei cafea?	3458880	Καφέ πίνεις;
862766	Unde este familia lui?	3458881	Που είναι η οικογένειά του;
1982049	El are un câine.	3458882	Αυτός έχει ένα σκύλο.
3319911	Noapte bună. Vise dulci.	3458886	Καληνύχτα. Όνειρα γλυκά.
706146	A trecut frontiera.	3473007	Αυτός πέρασε τα σύνορα.
2705279	Există zbor direct din Tokio spre Londra.	3473009	Υπάρχει απευθείας πτήση από το Τόκιο για το Λονδίνο.
3678498	Acest trandafir este foarte frumos.	11593145	Αυτό το τριαντάφυλλο είναι πολύ όμορφο.
3747559	Ai fost mereu în mintea mea.	11593167	Ήσουν πάντα στο μυαλό μου.
11997040	Sunteți de încredere?	11998600	Είστε αξιόπιστοι;
7633950	A tăcut un moment.	12546388	Έμεινε σιωπηλός για μια στιγμή.
4694518	Ziua bună, de dimineață se cunoaște.	12546405	Η καλή μέρα το πρωί είναι γνωστή.
12890343	Îl socotesc un prieten adevărat.	12890533	Τον θεωρώ αληθινό φίλο.
