Почнувам да разбирам.	Încep să înțeleg.	да	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	се	0	0
Мери ми е внука.	Mary este nepoata mea.	е	0	0
Том е алергичен на мувла.	Tom este alergic la mucegai.	на	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	и	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	ќе	0	0
Том повеќе сака црвено вино од бело.	Tom preferă vinul roșu vinului alb.	од	0	0
Мери ми е внука.	Mary este nepoata mea.	ми	0	0
Бубалица си.	Ești un tocilar.	си	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	како	0	0
Јас имам пивски стомак.	Eu am burtă de bere.	јас	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	те	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	кога	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	зошто	0	0
Јас имам пивски стомак.	Eu am burtă de bere.	имам	0	0
Том повеќе сака црвено вино од бело.	Tom preferă vinul roșu vinului alb.	повеќе	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	никогаш	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	им	0	0
Том повеќе сака црвено вино од бело.	Tom preferă vinul roșu vinului alb.	сака	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	секогаш	0	0
Почнувам да разбирам.	Încep să înțeleg.	разбирам	0	0
Том е алергичен на мувла.	Tom este alergic la mucegai.	том	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	поим	0	0
Мери ми е внука.	Mary este nepoata mea.	мери	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	видат	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	немаат	0	0
Том повеќе сака црвено вино од бело.	Tom preferă vinul roșu vinului alb.	вино	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	кучиња	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	мажите	0	0
Том повеќе сака црвено вино од бело.	Tom preferă vinul roșu vinului alb.	црвено	0	0
Почнувам да разбирам.	Încep să înțeleg.	почнувам	0	0
Том повеќе сака црвено вино од бело.	Tom preferă vinul roșu vinului alb.	бело	0	0
Јас имам пивски стомак.	Eu am burtă de bere.	стомак	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	лутиш	0	0
Мери ми е внука.	Mary este nepoata mea.	внука	0	0
Том е алергичен на мувла.	Tom este alergic la mucegai.	алергичен	0	0
Бубалица си.	Ești un tocilar.	бубалица	0	0
Том е алергичен на мувла.	Tom este alergic la mucegai.	мувла	0	0
Мажите се како кучиња. Секогаш се радуваат кога ќе те видат и никогаш немаат поим зошто им се лутиш.	Bărbații sunt precum câinii. Sunt întotdeauna bucuroși să te vadă și habar nu au de ce ești supărată pe ei.	радуваат	0	0
