506133	Polak, Węgier - dwa bratanki, i do szabli, i do szklanki.	506134	Lengyel, magyar – két jó barát, együtt harcol, s issza borát.
535876	Polowali na lisy.	535893	Rókára mentek.
535883	Mieszkałem w Sasayama przez trzy lata.	535897	Három évig éltem Sasayamában.
451099	Nie wiem dokładnie, kiedy będę z powrotem.	536934	Nem is tudom, mikor megyek vissza.
547871	Nie bądź rozczarowany.	559300	Ne csüggedj.
349987	Nie mówię po angielsku, a tym bardziej po niemiecku.	574973	Nem beszélek angolul, németül még úgyse.
349995	Jest tam kto?	574974	Van ott valaki?
349996	Myjcie ręce przed jedzeniem.	574975	Evés előtt mossatok kezet.
578060	Czy zostawiłeś napiwek?	578233	Adtál borravalót?
578065	Obiecała nie wychodzić sama na zewnątrz.	578243	Megígérte, hogy nem megy el egyedül szórakozni.
363049	Wyglądał na uszczęśliwionego.	598894	Nagyon boldognak látszott.
460969	Ona nie lubiła pisać pędzelkiem.	601580	Nem szeretett ecsettel írni.
460979	Newton zobaczył, jak jabłko spada z drzewa.	601599	Newton figyelte, hogyan esik le az alma a fáról.
521306	Nie znam żadnej z tych sióstr.	607265	Egyiket sem ismerem a két nővér közül.
521309	W sierpniu pojechaliśmy na obóz.	607270	Augusztusban kempingeztünk.
525501	Usiadł na ławce i założył nogę na nogę.	620615	Leült a padra és keresztbe tette a lábait.
650536	Pociąg spóźnił się ze względu na burzę śnieżną.	650956	Hóvihar miatt a vonat késett.
650538	On wołał o pomoc.	650962	Segítséget hívott.
650539	Całe miasto było pozbawione prądu.	650966	Az egész város áram nélkül maradt.
650541	Życzę jej dobrej nocy.	651028	Jó éjszakát kívánok neki.
531224	Ta historia jest za bardzo niewiarygodna żeby była prawdziwa.	656992	Ez a történet túl hihetetlen ahhoz, hogy igaz legyen.
360496	O mnie mówisz?	674056	Rólam beszélsz?
675705	On jest wysoki i silny.	719529	Ő magas és erős.
668697	Proszę pokazać paszport.	745311	Az útlevelét, legyen szíves!
571998	Czy często podróżujesz?	768529	Sokat utazol?
368483	Zostawiłem okno otwarte na całą noc.	775829	Egész éjszakára nyitva hagytam az ablakot.
703986	Dlaczego mnie kochasz?	777850	Miért szeretsz?
674648	On urodził się w Nagasaki.	804401	Nagasakiban született.
352154	Dlaczego nie mogłeś w nocy spać?	806343	Miért nem tudtál aludni az éjjel?
348669	Dobranoc, Timmy.	808090	Jó éjszakát, Timmy!
897973	Nie możesz się zgubić w wielkim mieście, tam wszędzie są plany!	898857	Egy nagyvárosban nem lehet eltévedni, mert ott mindenütt található térkép.
897975	Co się stało? Woda jest w całym mieszkaniu.	898861	Mi történt? Víz van az egész lakásban.
552494	To nie moja wina.	904813	Ez nem az én hibám.
948327	On ma mniej chleba.	1056352	Kevesebb kenyere van.
943162	Gdzie jest moje biuro?	1056353	Hol van az irodám?
923308	On próbował powiększyć swoją strefę wpływów.	1330354	Megpróbálta kitágítani a befolyási tartományát.
713526	Ta praca daje przyzwoite dochody, ale muszę pracować 12 godzin dziennie.	1556663	Az állás jól fizet, de a rossz oldala az, hogy 12 órát kell dolgoznom naponta.
1813184	To jest więcej niż śmieszne.	1813192	Ez több mint nevetséges.
1660278	Chcesz białego czy czerwonego wina?	1813205	Fehér- vagy vörösbort kérsz?
1660281	Mój ojciec zabrał mnie wczoraj wieczorem do kina.	1813208	Tegnap este apám elvitt moziba.
1660284	Nie ma ani żony, ani dzieci, ani przyjaciół.	1813214	Nincs se felesége, se gyereke, se barátja.
1660287	Na spotkaniu było tylko sześć osób.	1813215	A találkozón csak hat ember volt.
1660296	Dla językowo odizolowanej literatury węgierskiej tłumaczenia z innych języków zawsze były bardzo ważne.	1813223	A nyelvileg izolált magyar irodalom számára a más nyelvekről való fordítás mindig nagyon fontos volt.
1660297	Gdybyś usłyszał go mówiącego po francusku, wziąłbyś go za Francuza.	1813226	Ha hallanád, hogy hogy beszél franciául, franciának hinnéd.
1660299	Czy jest ktoś, kto mógłby mi pomóc?	1813228	Van valaki, aki tudna nekem segíteni?
1660311	Nocą zamykamy nasze drzwi.	1813235	Éjjel bezárjuk az ajtónkat.
1660312	W 1979 Matka Teresa otrzymała pokojową nagrodę Nobla.	1813240	1979-ben Teréz Anya Nobel-békedíjat kapott.
1660318	Bardzo lubię tę piosenkę; ma dobry rytm i można do niej tańczyć.	1813243	Nagyon szeretem ezt a számot; jó a ritmusa és lehet rá táncolni.
1660690	Jestem tego pewien.	1813246	Ebben biztos vagyok.
1663324	Jego zachowanie było teatralne.	1813247	A viselkedése színpadias volt.
1663338	Przypadkowo znalazł kamerę, którą zgubił.	1813255	Véletlenül megtalálta a kamerát, amit elvesztett.
1663344	Dziękuję za twoją wyrozumiałość.	1813256	Köszönöm a megértésed.
1663346	Dziękuję za waszą wyrozumiałość.	1813257	Köszönöm a megértéseteket.
1663348	Była tam rano.	1813258	Reggel volt ott.
1663349	Tom nie wie, czego Mary szuka.	1813259	Tom nem tudja, hogy mit keres Mary.
1663354	Ona zawsze mi wierzy.	1813260	Mindig hisz nekem.
1663379	Nie zapomnij zgasić światła.	1813262	Ne felejtsd el lekapcsolni a villanyt.
1663390	Dobrze jest uczyć się na błędach innych.	1813266	Jó mások hibából tanulni.
1663394	Żałuję, że zaniedbałem swoje zdrowie.	1813268	Sajnálom, hogy nem törődtem az egészségemmel.
1663403	Poczęstuj się, proszę, ciastkami.	1813269	Tessék, vegyél süteményt.
651773	Ależ ty szybko biegasz!	1817487	De gyorsan futsz!
651774	Mówi tu ktoś po angielsku?	1817491	Beszél itt valaki angolul?
651775	To już przesada.	1817492	Ez már túlzás.
651787	Od jak dawna pan tu jest?	1817499	Mióta van már itt?
651789	Jaki ma pan wzrost?	1817518	Milyen magas?
651790	Ile Tony codziennie biega?	1817519	Mennyit fut Tony naponta?
651791	Umiem przepłynąć rzekę.	1817521	Át tudom úszni a folyót.
651793	Miał taką minę, jakby zobaczył ducha.	1817524	Olyan arcot vágott, mintha szellemet látott volna.
651794	Byłem pewien, że ona przyjdzie na nasz ślub.	1817526	Biztos voltam benne, hogy eljön az esküvőnkre.
651795	Nie mogłem spuścić oczu z tego widoku.	1817530	Nem tudtam levenni a szemem erről a látványról.
651798	Obcinam włosy co miesiąc.	1817533	Havonta levágatom a hajam.
651810	On jest bardzo zainteresowany literaturą japońską.	1817541	Nagyon érdekli a japán irodalom.
651812	Nauczyciel zapytał mnie, czym różni się Księżyc od Ziemi.	1817546	A tanár megkérdezte tőlem, hogy miben különbözik a Hold a Földtől.
651817	Jemy po to, by żyć, nie żyjemy po to, by jeść.	1817548	Azért eszünk, hogy éljünk és nem azért élünk, hogy együnk.
651819	Nie jestem pewien, czy George'owi spodoba się ten pomysł.	1817561	Nem vagyok biztos benne, hogy George-nak tetszeni fog ez az ötlet.
652215	Prędkość światła jest o wiele większa niż prędkość dźwięku.	1817564	A fény sebessége sokkal nagyobb, mint a hang sebessége.
652254	Co to było?	1817570	Mi volt ez?
652256	Powinieneś wyłączyć swoją komórkę.	1817578	Nem kellene kikapcsolnod a mobilod.
652398	No, będę się zbierać.	1817618	Na, most már megyek.
652412	Jakie były główne wydarzenia mijającego roku?	1817624	Mi volt az elmúlt év legjelentősebb eseménye?
652414	Co masz w torbie?	1817626	Mi van a táskádban?
356399	On jest złodziejem.	1817641	Ő egy tolvaj.
508868	Wczoraj wieczorem przysnąłem przed telewizorem.	1817644	Tegnap este elaludtam a TV előtt.
718973	Jestem przyzwyczajony do chłodu.	1817647	Hozzászoktam a hideghez.
977272	Oczywiście, że jest znakomitym pianistą.	1817651	Nyilvánvaló, hogy kiváló zongorista.
526061	Komentarz został usunięty przez moderatora.	1817653	A hozzászólás a moderátor által törölve.
1353467	Bierze kąpiel każdego ranka.	1817658	Minden reggel fürdik.
366771	Nie mam odwagi prosić szefa o pożyczenie samochodu.	1837852	Nincs merszem megkérni a főnökömet, hogy adja kölcsön az autóját.
980580	Z nadejściem zimy dni stają się coraz krótsze.	1837854	A tél közeledtével a napok egyre rövidebbek.
