Não se esqueçam de que temos de fazer a nossa lição de casa.	Don't forget we have to do our homework.	que	0	0
A tela estava pendurada de ponta-cabeça.	The picture was hung upside down.	a	0	0
A ação do petróleo e do gás natural criou sulfureto de hidrogénio no calcário. O sulfureto de hidrogénio reagiu com o oxigénio na água da chuva que atravessava a rocha. Formou-se ácido sulfúrico. O ácido criou as grutas ao dissolver o calcário no seu caminho.	The action of oil and natural gas created hydrogen sulfide in the limestone. The hydrogen sulfide reacted with oxygen in rainwater moving through the rock. Sulfuric acid developed. The acid created the caves by dissolving the limestone in its path.	o	0	0
Tenho alguma esperança de que não chova.	I kind of hope it doesn't rain.	não	0	0
Me dá uma cabeça de repolho.	Give me a head of cabbage.	de	0	0
A sabedoria é a compreensão de questões celestiais às quais o Espírito é levado pelo Amor.	Wisdom is the understanding of celestial things to which the Spirit is brought by Love.	é	0	0
Depois de experimentar o meu novo tear, eu fiz a cama e reparei o moedor de café.	After I tried out my new loom, I made my bed and repaired the coffee grinder.	e	0	0
Tom foi para um colégio católico.	Tom went to a Catholic high school.	um	0	0
Eu adoraria saber por que Tom não fez o que ele estava combinado para ele fazer.	I'd like to know why Tom didn't do what he was supposed to do.	para	0	0
Tom disse que eu parecia triste.	Tom said I looked sad.	eu	0	0
Atualmente, os enxadristas dispõem de avançados programas de computador, como Alpha Zero, Deep Mind e Stockfish, para analisar qualquer posição de uma partida de xadrez.	Currently, chess players have advanced computer programs, such as Alpha Zero, Deep Mind, and Stockfish, to analyze any position in a chess game.	uma	0	0
Minha amada garota está longe de mim.	My beloved girl is far away from me.	está	0	0
Você conseguiu falar com o Tom ontem?	Were you able to talk to Tom yesterday?	com	0	0
Falem para ele se apressar.	Tell him to hurry.	se	0	0
A Religião, filha da Esperança e do Medo, tenta explicar à Ignorância a natureza do Incognoscível.	Religion is a daughter of Hope and Fear, explaining to Ignorance the nature of the Unknowable.	do	0	0
Por si só, sem os medicamentos contra o VIH, o 099 não tem qualquer efeito antiviral e os investigadores estão a explorar o motivo; mas em combinação, este medicamento poderá levar ao desenvolvimento de uma terapia duradoura contra o VIH, cujos efeitos poderão durar seis ou mesmo doze meses.	By itself, without the HIV drugs, 099 has no antiviral effect and researchers are exploring the reason; but in combination, it could lead to the development of long-lasting HIV therapy whose effects could last for six or even 12 months.	por	0	0
Os cartazes apelativos retratam alguns dos fenómenos astronómicos mais misteriosos do universo, com um toque artístico.	The eye-catching posters depict some of the universe's most mysterious astronomical phenomena with artistic flair.	os	0	0
Ele escreveu um livro sobre a China.	He wrote a book about China.	ele	0	0
Sozinho estou, mas não desisto de falar.	I'm alone, but I don't give up talking.	mas	0	0
Tom dividiu a torta em três pedaços iguais.	Tom divided the pie into three equal parts.	em	0	0
Você bem sabe que o mundo não gira em torno de você.	You know very well the world doesn't revolve around you.	bem	0	0
Isso seria muito lamentável.	That would be very unfortunate.	isso	0	0
Eu roubei este livro da biblioteca.	I stole this book from the library.	da	0	0
Olha como o avião vai planando em direção à pista!	Look how the plane is gliding toward the field!	como	0	0
"Tudo bem com você?" "Hum... Sim, não é nada."	"You OK?" "Wha-... Yes, it's nothing."	sim	0	0
Vocês bem sabem que não é assim que as coisas funcionam.	You know perfectly well that things don't work that way.	as	0	0
Finalmente o Tomás foi a Boston no verão passado.	Tom finally went to Boston last summer.	no	0	0
Tom não podia estar mais feliz.	Tom couldn't be happier.	mais	0	0
Você encontrou isso na Internet?	Did you find that on the internet?	na	0	0
Meu pai faleceu há dois anos.	My father passed away two years ago.	meu	0	0
Não posso ficar aqui para sempre.	I can't stay here forever.	aqui	0	0
Minha mãe ainda me chama de Tom.	My mom still calls me Tom.	me	0	0
Os dinossauros são animais que desapareceram há muito tempo.	Dinosaurs are animals that disappeared long ago.	muito	0	0
Quando foi a última vez que você desmaiou?	When was the last time you fainted?	foi	0	0
Ela não faz ideia do que está fazendo.	She has no idea what she's doing.	ela	0	0
Isto não prova nada.	This doesn't prove anything.	isto	0	0
Estou feliz em esperar.	I'm happy to wait.	estou	0	0
O Tom tentou evitar fazer isso.	Tom tried to avoid doing that.	fazer	0	0
Vamos conversar em outro lugar.	Let's go somewhere else and talk.	vamos	0	0
O destino do Tom já está decidido.	Tom's fate is already decided.	já	0	0
Para criar a amostra, é necessário separar primeiro os glóbulos vermelhos do paciente. Isso é feito utilizando uma centrifugadora, que é um dispositivo concebido para separar fluidos. A centrifugadora é operada manualmente e tem de ser posta a girar rapidamente para separar as substâncias.	To create the sample, the patient’s red blood cells need to first be separated. This is done by using a centrifuge which is a device created to separate fluids. The centrifuge is operated by hand and needs to be spun quickly to separate the substances.	ser	0	0
Você vai sobreviver.	You'll survive.	vai	0	0
Não precisei adicionar sal à minha sopa.	I didn't need to add salt to my soup.	à	0	0
A minha cabeça esteve cheia nos últimos dias.	I've had a lot on my mind these past few days.	minha	0	0
Só por curiosidade, o que você espera que aconteça?	Just out of curiosity, what do you expect to happen?	só	0	0
A Mary pediu ao patrão um aumento de salário.	Mary asked her boss for a pay raise.	ao	0	0
Tom tem vizinhos intrometidos.	Tom has some nosy neighbors.	tem	0	0
É tudo grátis.	Everything's free.	tudo	0	0
Eu te amo de todo coração.	I love you with all my heart.	te	0	0
Tom morreu no incêndio porque ele voltou à casa em chamas para recuperar seu console de videogame.	Tom died in the fire because he went back into the burning house to get his game console.	porque	0	0
Há uma maçã sobre a escrivaninha.	There is an apple on the desk.	há	0	0
Tenho duas sobrinhas.	I have two nieces.	tenho	0	0
Eu não vou deixar o Tom ir.	I'm not going to let Tom go.	vou	0	0
Tu não sabes quem eu sou?	Do you not know who I am?	tu	0	0
Eu sei que não é tão fácil quanto parece.	I know it's not as easy as it looks.	sei	0	0
