341618	Karin è austriaca.	341622	Karin est Autrichienne.
341630	Ho molti amici.	341632	J'ai beaucoup d'amis.
341640	Tu cerchi la tua chiave.	341642	Tu cherches ta clé.
341655	Non devi mangiare troppi gelati e troppi spaghetti.	341657	Tu ne dois pas manger trop de glace ni trop de spaghetti.
350978	La polizia lo tenne in custodia.	354632	La police l'a détenu.
373415	Non ho soldi.	373416	Je n'ai pas d'argent.
350763	Voglio una chitarra.	373508	Je veux une guitare.
335155	Penso di aver capito.	374465	Je pense avoir compris.
350467	Questa radio non funziona.	374598	Cette radio ne marche pas.
376628	Abbiamo trovato una tartaruga in giardino.	376630	Nous avons trouvé une tortue dans le jardin.
377216	Ha un cane.	377223	Il a un chien.
335151	Sono d'accordo.	378277	Je suis d'accord.
338708	Fa caldo oggi.	378279	Il fait chaud aujourd'hui.
338746	Ti ricordi di me?	378281	Tu te souviens de moi ?
340650	È molto romantico!	378282	C'est très romantique !
340684	Pulisci la camera.	378284	Nettoie la pièce.
340689	Il Canada ha un clima freddo.	378285	Le Canada a un climat froid.
342132	Mi chiamo Andrea.	378287	Je m'appelle Andrea.
341637	A Venezia ci sono sempre tanti turisti.	378289	À Venise il y a toujours beaucoup de touristes.
350276	Sembrava molto stanco.	378292	Il semblait très fatigué.
364141	Quando tornerà?	378494	Quand rentrera-t-il ?
340680	Non conoscevo quella canzone.	378499	Je ne connaissais pas cette chanson.
373409	Sally ha due anni in più di Ken.	378508	Sally a deux ans de plus que Ken.
4680	Il verme si contorce.	378520	Le ver se tord.
340253	Lo Shitennouji è il più antico tempio del Giappone.	378525	Le Shitennouji est le temple le plus ancien du Japon.
335148	Sto per andare.	378540	Je vais y aller.
350390	Mary disse il segreto a John.	378567	Mary dit le secret à John.
350389	Questo libro sembra interessante.	378569	Ce livre semble intéressant.
350386	Il suo sorriso la tranquillizzò.	378573	Son sourire la tranquillisa.
350388	Cosa hai fatto ieri?	378574	Qu'est-ce que tu as fait hier ?
350377	Il calcio è più popolare del baseball.	378580	Le football est plus populaire que le baseball.
350362	Sono andato in chiesa questa mattina.	378583	Je suis allé à l'église ce matin.
350360	Mostrami i giornali di oggi.	378584	Montre-moi les journaux d'aujourd'hui.
350355	Cominciamo?	378585	On commence ?
350352	Tom vuole fare il pilota.	378587	Tom veut faire le pilote.
350353	Non prendere in giro gli stranieri.	378589	Ne te moque pas des étrangers.
350346	Lascerai un messaggio?	378599	Tu laisseras un message ?
350344	Non le piacciono i serpenti e la matematica.	378607	Elle n'aime pas les serpents et les mathématiques.
350341	Cosa hai mangiato per colazione?	378608	Qu'est-ce que tu as mangé comme petit-déjeuner ?
350336	Sono così felice per te.	378609	Je suis si heureux pour toi.
350336	Sono così felice per te.	378610	Je suis si heureuse pour toi.
350331	Meglio.	378611	C'est mieux.
350322	Il dottore salvò le quattro persone ferite nell'incidente.	378612	Le docteur sauva les quatre personnes blessées dans l'accident.
350317	Sì, devi.	378613	Oui, tu dois.
342178	Che noia.	378667	Quel ennui.
348909	La prossima estate voglio andare alle Hawaii.	378669	L'été prochain je veux aller aux îles Hawaii.
348916	Ti consiglio l'isola di Maui.	378670	Je te conseille l'île de Maui.
350268	È un amico d'infanzia.	378671	C'est un ami d'enfance.
350274	L'insegnante fece notare gli errori grammaticali commessi dagli studenti.	378675	L'enseignant fit remarquer les fautes grammaticales commises par les étudiants.
350280	Dovresti informare la polizia immediatamente.	378676	Tu devrais informer la police immédiatement.
350305	È stato in Francia tre volte.	378678	Il a été en France trois fois.
350310	Puoi spedire questa lettera per me?	378679	Peux-tu envoyer cette lettre pour moi ?
341643	Stasera andiamo a ballare.	378810	Ce soir nous allons danser.
342130	Quando ero piccolo guardavo spesso Doraemon. Ma non sapevo che era così grande!	378811	Quand j'étais petit je regardais souvent Doraemon. Mais je ne savais pas qu'il était si grand !
342136	A Nara ci sono molti cervi!	378812	À Nara il y a beaucoup de cerfs !
342144	Questo cosa significa?	378813	Ça, qu'est-ce que ça signifie ?
341635	Sono le sei e venti.	379086	Il est six heures vingt.
379096	Sto mangiando uno yogurt per bambini.	379097	Je suis en train de manger un yaourt pour enfants.
335154	Ho dormito troppo.	380227	J'ai trop dormi.
340687	Siamo in buona salute.	380228	Nous sommes en bonne santé.
350263	Vai subito, altrimenti farai tardi.	380229	Vas-y toute de suite, autrement tu seras en retard.
350278	La tua scuola è lontana da qua?	380230	Ton école est loin d'ici ?
342128	A Vicenza ha cominciato a nevicare proprio adesso.	380231	À Vicence il a commencé à neiger juste maintenant.
380374	C'è un McDonald's qui vicino?	380383	Est-ce qu'il y a un McDonald près d'ici ?
351025	Il tempo cambia con le stagioni.	380466	Le temps change avec les saisons.
380664	Lei ha due gatti. Uno è nero e l'altro è bianco.	380665	Elle a deux chats. Un est noir et l'autre est blanc.
351113	Ho perso l'orologio.	380859	J'ai perdu la montre.
374040	Abbiamo festeggiato il suo compleanno.	380863	Nous avons célébré son anniversaire.
380928	Oggi nevica.	380930	Aujourd'hui, il neige.
381937	Questo non è cinese mandarino, ma è dialetto shanghainese.	381946	Ça ce n'est pas du chinois mandarin, mais du dialecte shangaïen.
381941	Vorrei una camomilla.	381948	Je voudrais une camomille.
381945	Una bambina sta suonando l'arpa.	381952	Une enfant est en train de jouer de la harpe.
381950	Nessuno è perfetto.	381954	Personne n'est parfait.
381947	Indossava degli enormi stivali gialli.	381956	Elle portait des énormes bottes jaunes.
382267	Non ho soldi per comprare il dizionario.	382269	Je n'ai pas d'argent pour acheter le dictionnaire.
374418	Sono un attore famoso.	382429	Je suis un acteur célèbre.
383005	Non lo conosciamo.	383014	Nous ne le connaissons pas.
383179	Ha sposato un uomo ricco.	383180	Elle a épousé un homme riche.
373506	Sai suonare la chitarra?	383774	Sais-tu jouer de la guitare ?
387540	La casa sta bruciando.	387542	La maison est en train de brûler.
389728	Ho guardato una partita di tennis in TV.	389731	J'ai regardé une partie de tennis à la télévision.
390658	"Metroid Prime 3: Corruption" è un videogioco della Nintendo venduto esclusivamente per Wii.	390688	Metroid Prime 3 : Corruption est un jeu vidéo de Nintendo vendu exclusivement pour la Wii.
375245	Le cattive notizie viaggiano velocemente.	390715	Les mauvaises nouvelles voyagent rapidement.
392515	Telefonami se piove.	392526	Téléphone-moi s'il pleut.
4556	Il fiume ha invaso tutta la regione.	395558	Le fleuve a envahi toute la région.
395565	Mostrami il passaporto, per favore.	395566	Montre-moi ton passeport, s'il te plaît.
359424	Cammina lentamente.	395575	Il marche lentement.
340690	Mi dispiace, non capisco bene l'inglese.	395579	Je suis désolé mais je ne comprends pas bien l'anglais.
342142	Ci sei mai stato?	395580	Es-tu jamais allé là-bas ?
350285	Non è per niente sorpresa.	395583	Elle n'est pas du tout surprise.
350298	Tutti ascoltavano attentamente.	395584	Tout le monde écoutait attentivement.
350300	Non entrare.	395585	N'entre pas.
350334	Il sale è una sostanza utile.	395586	Le sel est une substance utile.
350339	D'accordo.	395587	D'accord.
350367	Studiare ti farà bene.	395588	Étudier te fera du bien.
350447	Ho trovato il libro molto interessante.	395597	J'ai trouvé le livre très intéressant.
348278	Kibune si trova a Kyoto.	395710	Kibune se trouve à Kyoto.
397487	Di nulla.	397489	De rien.
350368	L'effetto della medicina fu impressionante.	398149	L'effet du médicament fut impressionnant.
389965	La bambina seduta al piano è mia figlia.	398758	L'enfant assise au piano est ma fille.
379742	Socrate è stato accusato di ateismo perché non credeva in Zeus.	399266	Socrate a été accusé d'athéisme parce qu'il ne croyait pas en Zeus.
399328	Come si vive in un paese dove non c'è libertà di stampa?	399329	Comment on vit dans un pays où il n'y a pas la liberté de la presse ?
399350	Sei da solo?	399352	Tu es seul ?
399677	Non rinunciò al progetto.	399678	Il ne renonça pas au projet.
399852	Devo scrivere una lettera. Hai della carta?	399858	Je dois écrire une lettre. Est-ce que tu as du papier ?
401638	Devi smettere di fumare.	401640	Tu dois arrêter de fumer.
401663	Dammi una ragione per fare una tal cosa.	401664	Donne-moi une raison de faire une chose pareille.
401719	Che tipo di lavoro fai?	401721	Quel type de travail fais-tu ?
401915	Stasera ci siamo divertiti a disegnare insieme il nostro albero genealogico.	401916	Ce soir nous nous sommes amusés à dessiner ensemble notre arbre généalogique.
404809	A caval donato non si guarda in bocca.	404818	À cheval donné on ne regarde pas la bride.
409471	Mio padre è morto nel periodo in cui i ciliegi erano in piena fioritura.	409493	Mon père est mort dans la période pendant laquelle les cerisiers étaient en pleine floraison.
409506	Ha chiamato giusto ora.	409507	Elle a appelé juste maintenant.
409521	Kate sa come fare una torta.	409522	Kate sait comment faire un gâteau.
409516	Ho bisogno di pane e latte.	409523	J'ai besoin de pain et de lait.
409374	Il tennis è molto popolare tra gli studenti.	409525	Le tennis est très populaire parmi les étudiants.
409375	Potresti aprire la porta?	409526	Pourrais-tu ouvrir la porte ?
409539	Nel mio quartiere c'è un grande supermercato.	409541	Il y a un grand supermarché dans mon quartier.
409595	Si dice che il sette è un numero fortunato.	409624	On dit que le sept est un numéro chanceux.
409622	Hai qualche altra guida sulla Thailandia?	409634	As-tu d'autres guides sur la Thaïlande ?
374049	Oggi è il compleanno di mia sorella.	409855	Aujourd'hui, c'est l'anniversaire de ma sœur.
409345	Penso che quello che dici sia vero.	409868	Je pense que ce que tu dis est vrai.
409344	Voglio imparare l'inglese standard.	409870	Je veux apprendre l'anglais standard.
409347	Ci vediamo alle 7.	409871	On se voit à sept heures.
409349	Questo pomeriggio potrebbe nevicare.	409872	Cet après-midi il pourrait neiger.
409352	Lei è stata cresciuta da suo nonno.	409873	Elle a été élevée par son grand-père.
409585	Lui ha finito la scuola a marzo.	409904	Il a terminé l'école en mars.
410143	Quell'edificio con il tetto marrone è una chiesa.	410226	Ce bâtiment avec le toit marron est une église.
410194	Lei è bella.	410244	Elle est belle.
410260	Si dice che il golf in Giappone sia veramente popolare.	410261	On dit que le golf est vraiment populaire au Japon.
367955	Sono vegetariano.	414184	Je suis un végétarien.
417500	Sciare è molto divertente.	417502	Skier est très amusant.
417974	Ho la febbre.	417976	J'ai de la fièvre.
418388	La legge e la politica sono due cose differenti.	418389	La loi et la politique sont deux choses différentes.
418576	Lei ha detto "grazie per il pasto" al cuoco.	418586	Elle a dit « Merci pour le repas. » au cuisinier.
418742	Il parco era pieno di gente.	418743	Le parc était plein de gens.
418596	La Lituania è un membro dell'Unione Europea.	423454	La Lituanie est membre de l'Union Européenne.
425560	Abbiamo giocato secondo le nuove regole.	425561	Nous avons joué selon les nouvelles règles.
350444	Unisciti a noi.	427201	Joins-toi à nous.
427196	Il grande eroe romano Giulio Cesare fu assassinato.	427222	Le grand héros romain, Jules César, fut assassiné.
375014	Tutti i paesi hanno la loro bandiera nazionale.	428802	Tous les pays ont leur drapeau national.
380389	Quali preferisci, le mele o le banane?	430385	Qu'est-ce-que tu préfères, les pommes ou les bananes ?
375619	Portami con te.	430791	Emmène-moi avec toi.
411441	Cosa stai cucinando?	433212	Qu'est-ce que vous cuisinez ?
375428	Non sapevamo quale bus prendere.	433248	Nous ne savions pas quel bus prendre.
377555	Ogni studente ha espresso la sua opinione.	437613	Chaque étudiant a exprimé son opinion.
340887	Molto romantico!	438659	Très romantique !
439883	Ora ricordo.	439884	Maintenant je me souviens.
439925	Lavoriamo per correggere questo bug.	439934	Nous travaillons pour corriger ce bug.
375266	Voleva andare al mare.	442387	Il voulait aller à la mer.
465477	Lui è svizzero.	465479	Il est Suisse.
409392	Scrivi qui il tuo indirizzo di casa per favore.	465754	Écrivez-moi votre adresse personnelle s'il vous plaît.
381447	Mi sei mancato molto.	470431	Tu m'as beaucoup manqué.
475661	Mi sono sbagliato.	475662	Je me suis trompé.
479803	Il thailandese è la lingua ufficiale della Thailandia.	479809	Le thaïlandais est la langue officielle de la Thaïlande.
479905	Lisa Lillien è sposata con Dan Schneider.	479907	Lisa Lillien est mariée avec Dan Schneider.
484782	È un grande onore poterla conoscere.	484784	C'est un grand honneur de pouvoir la connaître.
433535	La promozione dalla scuola elementare alla scuola media è vista da alcuni come il primo passo verso la maturità.	484971	Le passage de l'école élémentaire au cours moyen est considéré par certains comme le premier pas vers l'âge adulte.
475729	Ieri ho incontrato uno degli attori più famosi al mondo.	486140	Hier j'ai rencontré l'un des acteurs les plus célèbres du monde.
486179	È un uomo di poche parole.	486180	C'est un homme taciturne.
486179	È un uomo di poche parole.	486184	C'est un homme taiseux.
493615	Mi ha insegnato a nuotare.	493616	Il m'a appris à nager.
493606	Arrivò troppo tardi a causa di un ingorgo.	493623	Il arriva trop tard à cause d'un embouteillage.
493635	Mi chiese dove andare.	493637	Il me demanda où aller.
378713	Prendi la medicina ogni ora.	498585	Prends le médicament toutes les heures.
377636	L'oceano era calmo.	498590	L'océan était calme.
418638	Abito qui dal 1990.	498596	J'habite ici depuis 1990.
409593	Nessuna delle automobili è la mia.	498601	Aucune des voitures n'est la mienne.
410277	A causa della forte nevicata, loro hanno rinviato la partenza.	498612	À cause des fortes chutes de neige, ils ont retardé leur départ.
376537	Mio zio abita vicino alla scuola.	498616	Mon oncle habite à côté de l'école.
399666	Tre gelati, per favore.	498620	Trois glaces, s'il vous plaît.
376696	La vita di campagna è più sana della vita di città.	498637	La vie à la campagne est plus saine que la vie en ville.
