1435215	Hur har du det?	400930	Hvordan har du det?
2042054	Hur mår du?	400930	Hvordan har du det?
2445080	Hur är det med dig?	400930	Hvordan har du det?
9987529	Trots all sin rikedom och berömmelse är han olycklig.	430093	På trods af al sin rigdom og berømmelse, er han ulykkelig.
2286038	Jag tycker inte om ägg.	430096	Jeg kan ikke lide æg.
2286039	Jag gillar inte ägg.	430096	Jeg kan ikke lide æg.
1433474	Hon är inte doktor.	464028	Hun er ikke læge.
8778439	Hon är inte läkare.	464028	Hun er ikke læge.
1138604	Han är skyldig till stöld.	464031	Han er skyldig i tyveri.
1138558	Jag kommer att ringa för att få det bekräftat.	464051	Jeg vil ringe for at få det bekræftet.
704650	Jag arbetar 3 timmar varje söndagsmorgon.	464055	Jeg arbejder 3 timer hver søndag morgen.
2107830	Femtiotvå procent av brittiska kvinnor föredrar choklad framför sex.	464081	Tooghalvtreds procent af britiske kvinder foretrækker chokolade frem for sex.
1433368	Det var 1912 som Titanic sjönk under sin första resa.	464620	Det var i 1912 at Titanic sank under sin første rejse.
372621	Det är inte viktigt.	464628	Det er lige meget.
5893950	Det spelar ingen roll.	464628	Det er lige meget.
10686360	Hur många bilar har du?	464974	Hvor mange biler har du?
1435214	Går din klocka rätt?	474877	Går dit ur rigtigt?
7864005	Hon gav katten mjölk.	474890	Hun gav katten mælk.
9210762	Katten sover på stolen.	474893	Katten sover på stolen.
1435165	Är katten på stolen eller under den?	474912	Er katten på stolen eller under stolen?
3721058	När katten är borta dansar råttorna på bordet.	474915	Når katten er ude, danser musene på bordet.
410161	Jag har en katt och en hund. Katten är svart och hunden är vit.	474916	Jeg har en kat og en hund. Katten er sort og hunden er hvid.
9230320	Min katt är faktiskt skygg.	474921	Min kat er faktisk sky.
1138534	Hans gamla katt lever fortfarande.	474923	Hans gamle kat lever endnu.
1433524	Island hörde till Danmark.	474929	Island hørte til Danmark.
9689208	Jag kan tala esperanto som en infödd.	474935	Jeg kan tale esperanto som en indfødt.
