3303357	A mi tanítónk mindig pontosan jön az órára.	348633	Nasz nauczyciel zawsze przychodzi punktualnie na zajęcia.
7788329	Ma kellemes az idő.	348667	Ładna dziś pogoda.
808090	Jó éjszakát, Timmy!	348669	Dobranoc, Timmy.
433839	Nem értem.	348671	Nie rozumiem.
414544	Nem tudom.	348672	Nie wiem.
1058155	A hegyekben voltam.	348787	Byłem w górach.
4044993	Visszajöttem! Ó? Vendégünk van?	348808	Wróciłem! O! Mamy gości?
4744765	Már mondtam neked, hogy nincs itt.	348811	Mówiłem ci już, że go już tu nie ma.
3435958	Farkaséhes vagyok.	348947	Jestem głodny jak wilk.
10565952	Olyan éhes vagyok, mint a farkas.	348947	Jestem głodny jak wilk.
1059263	Mit jelent ez a szó?	348948	Co znaczy to słowo?
522343	Aludni kell mennem.	348963	Muszę iść spać.
10542457	Sajnos ez az igazság.	348965	Niestety to prawda.
601880	100 eurót keresek naponta.	348968	Zarabiam 100 euro dziennie.
8763259	Száz ercsiért dolgozom naponta.	348968	Zarabiam 100 euro dziennie.
3425167	Menned kell.	348972	Musisz iść.
3178937	Ez soha nem fejeződik be.	348977	To się nigdy nie skończy.
10259391	Igaz, hogy bocsánatot kért, de én még mindig dühös vagyok.	348980	Chociaż przeprosił, ja wciąż jestem wściekły.
4170650	El kell mennem vásárolni, egy óra múlva érek vissza.	348988	Muszę iść po zakupy, będę za godzinę.
414573	Biztos vagy benne?	348993	Jesteś pewien?
11035366	Biztosan?	348993	Jesteś pewien?
5833033	Hol a szemüvegem?	348996	Gdzie są moje okulary?
414527	Mit csinálsz?	349020	Co robisz?
673551	A Hilton szállóhoz, legyen szíves!	349030	Poproszę do hotelu Hilton.
434061	Esik az eső.	349033	Deszcz pada.
597568	Esik.	349033	Deszcz pada.
6763708	Már nem akarom.	349037	Już nie chcę.
9970577	Már nem kérem.	349037	Już nie chcę.
2736762	Nem vagyok egy nagy utazó.	349059	Nie jestem wielkim podróżnikiem.
1057925	Harminc euró lesz.	349084	To będzie kosztować 30 euro.
827416	A falnak is füle van.	349100	Ściany mają uszy.
585343	Egyetértek.	349104	Zgadzam się.
2782694	Szerelem nélkül az életnek semmi értelme.	349122	Życie bez miłości nie ma żadnego sensu.
2746189	Te vagy az életem nagy szerelme.	349130	Jesteś wielką miłością mego życia.
2188549	Kalapot tettél föl, hogy védd a fejedet.	349148	W celu ochrony głowy należy nosić kask.
826811	Gratulálok!	349168	Moje gratulacje!
10276189	Megyek az autóért.	349171	Idę po samochód.
595511	Igazad van.	349176	Masz rację.
3318430	Nekem férjem van és két gyerekem.	349198	Mam męża i dwoje dzieci.
5232571	Hogy hívják?	349236	Jak się pan nazywa?
2446640	Ez az amire vártam.	349313	Właśnie na to czekałem.
942415	Nincs mit.	349368	Nie ma za co.
3594809	Nem tesz semmit.	349368	Nie ma za co.
3670483	Kérem.	349368	Nie ma za co.
1057925	Harminc euró lesz.	349416	To będzie 30 euro.
4296699	Lehet, hogy havazni fog.	349426	Może padać śnieg.
526529	Miért kérdezed?	349446	Dlaczego pytasz?
433847	Fáj a fejem.	349453	Boli mnie głowa.
10658633	Művészet a művészetért.	349458	Sztuka dla sztuki.
535885	Nem akarok olyan soká várni.	349498	Nie chcę tak długo czekać.
4274249	Miért én?	349619	Dlaczego ja?
2312734	Én magam sem ismertem.	349632	Ja również go nie znałem.
574973	Nem beszélek angolul, németül még úgyse.	349987	Nie mówię po angielsku, a tym bardziej po niemiecku.
574971	Nincs pénzem.	349988	Nie mam pieniędzy.
400936	Hogy vagy?	349991	Jak się masz?
574974	Van ott valaki?	349995	Jest tam kto?
574975	Evés előtt mossatok kezet.	349996	Myjcie ręce przed jedzeniem.
574030	Az élet szép.	350043	Życie jest piękne.
9522371	Szép az élet.	350043	Życie jest piękne.
3513036	Elmentem a barátokkal meginni egy sört.	350060	Poszedłem na piwo z przyjaciółmi.
3674353	Elmentem egy sörre a barátokkal.	350060	Poszedłem na piwo z przyjaciółmi.
414553	Nem tudom, hogy tudok-e időt szakítani rá.	350103	Nie wiem, czy będę miał czas.
2039461	Nem tudom, hogy lesz-e időm.	350103	Nie wiem, czy będę miał czas.
4087567	Meddig marad?	350120	Jak długo pan zostanie?
3268817	Gyorsabban!	350138	Szybciej!
3931849	Fogalmam sincs.	350146	Nie mam pojęcia.
4223883	Mire készülsz?	350748	Co zamierzasz?
636642	Levelet írsz?	350778	Piszesz list?
4416210	Ha nem eszel, meg fogsz halni.	350785	Jeśli nie jesz, umierasz.
10915812	A malária egy szúnyogok által terjesztett betegség.	350794	Malaria to choroba przenoszona przez komary.
4174099	Azt válaszolta, hogy jól tud úszni.	350807	Odpowiedział, że umie świetnie pływać.
3268723	Felnézett az égre.	350830	Spojrzała na niebo.
10547744	Ehetek már?	350890	Mogę już jeść?
1850519	Megvoltak a maga hibái, de így is szerette őt.	351354	Miała swoje wady, ale i tak ją kochali.
1850524	Szabadidejében babákat készít.	351355	W wolnych chwilach robi lalki.
1850527	Mary társasági ember.	351356	Mary jest osobą towarzyską.
1850530	Hóvihar miatt a vonat tíz percet késett.	351358	Pociąg miał opóźnienie 10 minut z powodu śnieżycy.
12969980	Nem, a kínai konyha a legjobb.	351388	Nie, kuchnia chińska jest najlepsza.
574051	Bob a barátom.	351454	Bob to mój przyjaciel.
3339741	Sok barátom van.	351553	Mam wielu przyjaciół.
537440	Nem akartam, hogy ez történjen.	351561	Nie chciałem, by to się stało.
1837865	Billnek sok barátja van.	351562	Bill ma wielu przyjaciół.
5433106	Komolyan beszélek.	351876	Mówię poważnie.
3946260	Ebben a helyiségben tilos a dohányzás.	351888	W tym pomieszczeniu nie wolno palić.
1805396	Tíz, tizenegy, tizenkettő, tizenhárom, tizennégy, tizenöt, tizenhat, tizenhét, tizennyolc, tizenkilenc, húsz.	351898	Dziesięć, jedenaście, dwanaście, trzynaście, czternaście, piętnaście, szesnaście, siedemnaście, osiemnaście, dziewiętnaście, dwadzieścia.
3299024	Jó éjszakát, anya!	351927	Dobranoc, mamo.
4761969	A macska tejet iszik.	351942	Kot pije mleko.
719488	Otthon vagyok.	351997	Jestem w domu.
8656410	Itthon vagyok.	351997	Jestem w domu.
9967246	Bent vagyok a házban.	351997	Jestem w domu.
10763905	Hány éves a papád?	352124	Ile lat ma twój dziadek?
806343	Miért nem tudtál aludni az éjjel?	352154	Dlaczego nie mogłeś w nocy spać?
10910547	Ez a dal annyira megindító, hogy könnyes lett a szemem.	352256	Ta piosenka jest tak wzruszająca, że mam łzy w oczach.
3517140	Én vagyok.	352265	To ja.
2733477	Rendszeres a mensid?	352433	Czy masz regularną miesiączkę?
11152659	Nagykorú, ezért szavazhat.	352629	Jest pełnoletni, więc może głosować.
10259915	Még mindig mérges.	352686	Wciąż jest wściekły.
3401623	Milyen messze van innen a múzeum?	352702	Jak daleko stąd do muzeum?
3401625	Milyen messze van ide a múzeum?	352702	Jak daleko stąd do muzeum?
5554631	Ő jól ismeri a várost.	352758	On zna dobrze miasto.
1845291	Hánykor szoktál kelni?	352877	O której zwykle wstajesz?
1845293	Ah, és mikor találkoznak újra?	352878	Ach, kiedy znów się spotkają?
1845296	Menj, amikor akarsz.	352881	Idź, kiedy chcesz.
1845298	Sajnálom, hogy nem tartottam be az ígéretemet.	352883	Przykro mi, że nie dotrzymałem obietnicy.
1845301	Nem sok diák tudta a nevét.	352885	Niewielu studentów znało jego nazwisko.
1845303	Többé kevésbé korombeli volt.	352886	Ona jest mniej więcej w moim wieku.
1845304	Szeretnék még egy kicsit szunyókálni.	352887	Chciałbym jeszcze pospać.
1845305	Bob is tud autót vezetni.	352888	Bob też umie prowadzić samochód.
1845307	Csak kevés utas élte túl a katasztrófát.	352889	Nieliczni pasażerowie przeżyli katastrofę.
1845311	Nem sok pénz volt Annánál.	352892	Anna ma przy sobie niewiele pieniędzy.
1845312	Kevesen gyógyulnak ki ebből a betegségből.	352893	Mało kto wychodzi z tej choroby.
1845316	Itt egy kis víz.	352894	Oto trochę wody.
1845318	Kevés pénz van nálam.	352895	Mam mało pieniędzy przy sobie.
1845319	Kicsit tudok spanyolul.	352896	Znam trochę hiszpański.
3324739	Egy kicsit fáradt vagyok.	352898	Jestem trochę zmęczony.
10693539	Már nem bír menni.	352910	On już nie może iść.
10227213	Vár az ebéd.	352916	Obiad czeka.
4316394	Szeretek aludni.	352919	Lubię spać.
2683991	Szeretem a kutyákat.	352921	Lubię psy.
13254485	Én szeretem őt s ő szeret engem.	352922	Kocham ją i ona mnie kocha.
701273	Diák vagy?	352927	Jesteś studentem?
1849743	Ennek a hídnak a teherbírása csak tíz tonna.	352955	Nośność tego mostu to tylko 10 ton.
10154636	Velem minden rendben.	352979	U mnie wszystko w porządku.
2797066	Kérsz valamit inni?	352980	Chcesz coś do picia?
3744193	Akarsz valamit inni?	352980	Chcesz coś do picia?
10525778	Itt valaha templom állt.	353126	Tu był kiedyś kościół.
11703090	Van számodra valamim.	353175	Mam coś dla ciebie.
3186604	Íme a te kutyád. Hol van az enyém?	353184	To twój pies. Gdzie jest mój?
4510897	Ez nem a te késed.	353193	To nie jest twój nóż.
1059081	Hol laksz?	353201	Gdzie mieszkasz?
2068532	Ő nem orvos.	353888	On nie jest lekarzem.
10679115	Idegen nyelvet tanulni nehéz.	353954	Nauka obcego języka jest trudna.
10525702	A második nyelv szabadon választható.	353967	Drugi język można swodobnie wybierać.
5341350	Ez a kedvenc dalom.	353975	To moja ulubiona piosenka.
10910525	Ez a kedvenc dalod?	353976	Czy to twoja ulubiona piosenka?
3339746	Esni fog holnap?	354000	Czy jutro będzie padać?
10279352	Az előrejelzés alapján holnap hó lesz.	354014	Według prognozy, jutro będzie śnieg.
3116196	Tegnap vasárnap volt.	354018	Wczoraj była niedziela.
2363309	Tegnap hideg volt.	354021	Wczoraj było zimno.
4281637	Dolgoztál tegnap?	354022	Pracowałeś wczoraj?
10533934	Csak ennyit tudok.	354040	Wiem tylko to.
4167666	Két nap múlva tért vissza.	354056	Wrócił dwa dni później.
4167670	Két nappal később jött vissza.	354056	Wrócił dwa dni później.
4420153	A születésnapom novemberben van.	354066	Moje urodziny są w listopadzie.
1065498	Szörnyű volt a fájdalom!	354671	Ból był straszny.
756137	Az én hobbim régi játékok gyűjtése.	355254	Moje hobby to zbieranie starych zabawek.
3326831	A kutya fehér.	355264	Pies jest biały.
2254376	Siettünk, hogy ne késsük le a buszt.	355303	Spieszyliśmy się, żeby się nie spóźnić na autobus.
3950311	A szobámban nincs sok bútor.	355382	W moim pokoju nie ma wielu mebli.
2736691	Szeretnék angolul tanulni.	355403	Chciałbym uczyć się angielskiego.
3517991	Amikor veled vagyok, boldog vagyok.	355483	Kiedy jestem z tobą, jestem szczęśliwy.
2312744	Ez a szabály rád is érvényes.	355486	Ta zasada ciebie również dotyczy.
1837882	Ez nehéz lehet neked.	355488	To musi być dla ciebie trudne.
2730275	Szükségem van rád.	355501	Potrzebuję cię.
5596373	Kellesz nekem.	355501	Potrzebuję cię.
1651638	A történelem a múlttal foglalkozik.	355523	Historia zajmuje się przeszłością.
4917904	A fiú beteg, bár nem úgy néz ki.	355831	Chłopak jest chory, choć nie wygląda.
1589655	Megkaptad a levelem?	355858	Dostałeś mój list?
583932	Messze van innen?	355859	Czy to daleko stąd?
5602854	Sam két évvel fiatalabb, mint Tom.	355971	Sam jest dwa lata młodszy od Toma.
5602856	Sam két évvel fiatalabb Tomnál.	355971	Sam jest dwa lata młodszy od Toma.
3587914	Ez egy televízió.	356391	To jest telewizor.
3245917	Ez asztal.	356393	To jest stół.
639013	Ez az igazság.	356398	To prawda.
818451	Ez igaz.	356398	To prawda.
1817641	Ő egy tolvaj.	356399	On jest złodziejem.
3111294	Mit olvasol?	356412	Co czytasz?
711732	Mit vettél?	356413	Co kupiłeś?
1301743	Mit főzöl?	356414	Co gotujesz?
4262094	Nem tudok tovább várni.	356435	Nie mogę dłużej czekać.
3282772	Már nem szeretem őt.	356437	Już jej nie kocham.
6763785	Már nem szeretem.	356437	Już jej nie kocham.
3282772	Már nem szeretem őt.	356438	Już go nie kocham.
6763785	Már nem szeretem.	356438	Już go nie kocham.
3885807	Elég idős ahhoz, hogy ihasson.	356459	Ma dość lat, by pić.
6967000	Ez már csak így van.	356491	Tak to już jest.
3109680	Éhes vagyok!	356517	Jestem głodny.
409199	Fel a fejjel!	356524	Głowa do góry!
601880	100 eurót keresek naponta.	356525	Zarabiam 100€ dziennie.
3088396	Van néhány csónak a tavon.	356855	Na jeziorze jest kilka łódek.
10279392	Szemtől szemben álltak.	356888	Stali twarzą w twarz.
10871362	Most nem tanulok.	356890	Teraz się nie uczę.
10721210	Fáj a hátad? - Nem, nem különösebben. - Na öröm az ürömben, nem igaz?	356895	„Bolą cię plecy?” „Nie, niespecjalnie.” „No, to szczęście w nieszczęściu, co?”
10524909	Van kávé és kávé.	356919	Jest kawa i kawa.
4326932	Ha jól emlékszem, unokatestvérek.	356927	Jeśli dobrze pamiętam, są kuzynami.
1851350	Veszélyben van az élete.	356953	Jego życie jest w niebezpieczeństwie.
433802	Mit akarsz?	356963	Czego chcesz?
7766983	Nem kell mindjárt elmenned.	357023	Nie musisz zaraz wychodzić.
10542238	Túl alacsony nekem ez a szék.	357033	To krzesło jest dla mnie za niskie.
4639274	Ha szükséged van egy szótárra, kölcsönadom neked az én régimet.	357034	Jeśli potrzebujesz słownika, pożyczę ci mój stary.
741924	Az apám dohányzik.	357331	Mój ojciec pali.
4686647	Van egy barátom, aki pilóta.	357356	Mam przyjaciela, który jest pilotem.
10533210	Borús az ég.	357364	Niebo jest zachmurzone.
1585824	Van egy angol szótárad?	357408	Masz słownik angielski?
3743766	Édesapám most kórházban van.	357573	Mój ojciec jest teraz w szpitalu.
904186	Gondolkodom, tehát vagyok.	357574	Myślę, więc jestem.
4598076	Mit akarsz ezzel mondani?	357634	Co chcesz przez to powiedzieć?
744305	Nem értem, amit mondasz.	357731	Nie rozumiem, co mówisz.
718463	Nem szeretek tanulni.	357823	Nie lubię się uczyć.
2732359	Az expressz hatkor indul és kilenckor ér Tokióba.	357863	Ekspres wyjeżdża o szóstej i przyjeżdża do Tokio o dziewiątej.
3719427	Dr. Hideo Noguchi 1928-ban halt meg Afrikában.	357969	Dr Hideo Noguchi zmarł w Afryce w roku 1928.
3085882	Nagyon aggódik az ő egészsége miatt.	358024	Ona bardzo się martwi o jego zdrowie.
3707062	Kigyűjtötték a lehetséges vevőket egy listára.	358686	Sporządziliśmy listę potencjalnych klientów.
2306150	Hova megyünk?	358698	Dokąd idziemy?
2893788	Nyugodt vagyok.	358760	Jestem zadowolony.
2635595	Mit jelent ez pontosan?	358826	Co to dokładnie znaczy?
2457294	Több egymást követő napon át esett a hó.	358845	Śnieg padał przez wiele dni z rzędu.
573297	Vágyik a hírnévre.	358879	Jest żądny sławy.
2074296	Szomjazik a hírnévre.	358879	Jest żądny sławy.
612286	Megmutattam neki a szobámat.	358890	Pokazałem jej mój pokój.
2736791	Mindenki ismeri őt a városban.	358905	Wszyscy w mieście go znają.
4476318	Mindenre fel kell készülnünk.	358915	Musimy być gotowi na wszystko.
4478877	A fiam már el tud számolni százig.	358929	Mój syn umie już liczyć do stu.
10533230	Van egy park a házam mellett.	358945	Koło mojego domu jest park.
