307200	They ambushed the enemy.	348582	Ze voerden een verrassingsaanval uit op de vijand.
367944	I am vegan.	367951	Ik ben veganist.
367957	Does this food contain any meat?	367958	Zit er vlees in dit eten?
138918	Welcome.	375831	Welkom!
2040	Take the other chair!	375836	Neem de andere stoel!
28184	It is under the chair.	375838	Het ligt onder de stoel.
51275	This chair is ugly.	375839	Deze stoel is lelijk.
282051	Is the cat on the chair or under the chair?	375845	Zit de kat op of onder de stoel?
28187	You may sit down in the chair.	375846	U mag op de stoel gaan zitten.
35821	A cat was sitting on the chair.	375847	Er zat een kat op de stoel.
36558	What's this chair doing here?	375848	Wat heeft deze stoel hier te zoeken?
46375	The boy sat on a chair.	375849	De jongen zat op een stoel.
289003	He stood behind the chair.	375850	Hij stond achter de stoel.
49646	The chair is not near the window.	375851	De stoel is niet dicht bij het raam.
37959	Which boy is Masao?	375852	Welke jongen is Masao?
46300	The boy ran away.	375853	De jongen liep weg.
321438	It's no use asking me for money.	375854	Het heeft geen zin om me om geld te vragen.
20390	Don't worry about it!	375856	Maak je er geen zorgen over!
23627	Don't worry about the past.	375857	Maak je geen zorgen over het verleden.
25527	Don't worry about me.	375858	Maak je geen zorgen over mij.
262592	Don't worry about us.	375859	Maak je geen zorgen over ons.
2390	We wonder why.	375860	We vragen ons af waarom.
24656	Why didn't you come?	375861	Waarom kwam je niet?
24957	Why me?	375862	Waarom ik?
30544	Why not?	375863	Waarom niet?
36343	Why is he here?	375864	Waarom is hij hier?
36362	Why were you late?	375867	Waarom was je laat?
36404	Why are you crying?	375868	Waarom ben je aan het huilen?
36418	Why?	375869	Waarom?
36475	Why do you study?	375874	Waarom studeer je?
239430	Good luck.	375875	Veel geluk.
26174	Don't be afraid to make mistakes when speaking English.	375884	Wees niet bang om fouten te maken wanneer je Engels spreekt.
33805	Please write with a pen.	375885	Schrijf alstublieft met een pen.
66083	I write articles regularly.	375886	Ik schrijf regelmatig artikels.
24982	Eat whatever you like.	375887	Eet wat je wilt.
54936	Can I eat this?	375888	Kan ik dit eten?
25107	May I say something?	375890	Mag ik iets zeggen?
26376	Say it in English.	375891	Zeg het in het Engels.
28005	What did he say?	375893	Wat heeft hij gezegd?
73991	Say 'ahhh'.	375895	Zeg 'aaa'.
41571	Don't say that.	375898	Zeg dat niet.
29998	How dare you say that!	375899	Hoe durf je dat te zeggen.
36441	Why do you say that?	375900	Waarom zeg je dat?
41791	Say it in another way.	375901	Zeg het op een andere manier.
244039	At first, I didn't know what to do.	375906	In het begin wist ik niet wat te doen.
38543	Please translate this sentence into Japanese.	375907	Vertaal deze zin in het Japans alstublieft.
264327	Translate the following sentences into Japanese.	375908	Vertaal de volgende zinnen in het Japans.
1616	It took me more than two hours to translate a few pages of English.	375909	Het kostte me meer dan twee uur om een paar pagina's in het Engels te vertalen.
263394	It is difficult to translate a poem into another language.	375910	Het is moeilijk om een gedicht in een andere taal te vertalen.
