1286074	Βοήθεια!	8635204	Tulong!
10320262	Μπορώ να δω τη θάλασσα από το σπίτι.	10320263	Kita ko ang dagat mula sa bahay.
10320266	Προτιμώ να κολυμπάω στη θάλασσα.	10320269	Mas gusto kong lumangoy sa dagat.
10320273	Προτιμά να κολυμπά στη θάλασσα.	10320274	Mas gusto niyang lumangoy sa dagat.
10320276	Υπάρχει ένα μεγάλο πλοίο στη θάλασσα.	10320277	Mayroong isang malaking barko sa dagat.
10320295	Μου αρέσει το τυρί για πρωινό.	10320299	Gusto ko ng keso para sa agahan.
10320302	Θα ήθελα τυρί για μεσημεριανό γεύμα.	10320303	Gusto ko ng keso para sa tanghalian.
10324540	Η θάλασσα στην Ελλάδα είναι πανέμορφη.	10324541	Maganda ang dagat sa Gresya.
10324546	Οι ναοί στην Ελλάδα είναι πανέμορφοι.	10324547	Maganda ang mga templo sa Gresya.
10325915	Υπάρχει ένα σπίτι δίπλα στη θάλασσα.	10325916	May bahay sa tabi ng dagat.
10327499	Δεν γεννήθηκα στη Γη.	10327486	Hindi ako pinanganak sa Tiyera.
10327582	Η αγαπημένη μου γλώσσα δεν είναι απλώς ένα όνειρο.	10327508	Hindi lamang pangarap ang paborito kong lengguwahe.
