392054	안녕하세요.	402120	Здраво.
1054232	네.	478739	Да.
12213649	예.	478739	Да.
13192341	도쿄는 일본의 수도입니다.	665173	Tokio je glavni grad Japana.
1518724	프랑스는 서유럽에 있습니다.	1518764	Француска је у Западној Европи.
1518724	프랑스는 서유럽에 있습니다.	3314351	Francuska je u Zapadnoj Evropi.
12213846	예 혹은 아니오?	3334519	Da ili ne?
4046104	안타까워요.	4305881	To je škoda.
12213846	예 혹은 아니오?	6937622	Да или не?
12212428	물 주세요.	8839066	Воде, молим.
1054232	네.	12213723	Da.
12213649	예.	12213723	Da.
12216918	메리입니다.	12217472	Ја сам Марија.
12216924	메리예요.	12217472	Ја сам Марија.
