Nakalimutan ni Sami ang pangalan ni Layla.	Sami forgesis la nomon de Layla.	ang	0	0
Sa Estados Unidos, malimit na akala ay Intsik ako.	En Usono oni ofte konfuzas min kiel ĉino.	sa	0	0
Tama na ang kinain ko, salamat.	Mi manĝis sufiĉe, dankon.	na	0	0
Para siyang loro na nangongopya ng lahat ng sinasabi ko.	Ŝi egalas al papago, kopias ĉiun mian diron.	ng	0	0
Nakita mo ba ang kulay-rosas na elepante?	Ĉu vi vidis rozkoloran elefanton?	mo	0	0
Kinausap ko si Michael na Tsino sa kapihang Istarbaks ngayong maaraw na ika-21 ng Setyembre ng 2021. Talagang mas mukha siyang Hapon sa akin at iba. Tinanong niya ako kung "miss" ko raw ang "hometown" ko. Sabi ko, gusto ko ang pareho. Narito na ako sa Isla Lulung matagal na ang sabi ko. Sabi ko, pulang "savannah" ang tinirhan ko sa Pilipinas. Tapos, tiningnan niya ang "savannah" sa smartphone niya. Ang pasaporte raw niya ay sa Tsina, dahil mayroon siyang lupa o rental property sa Guǎngzhōu sa Tsina. Pinag-usapan namin ang korupsiyong internasyonal. Magbibisita raw ang pamilya niya sa Mongolia. Alam kong maganda roon. Mahirap daw sa mga restawran ngayon dahil ng Pandemya. Kung marunong daw akong magluto nang sarili, ang tanong ni Michael. Sabi ko, may sarili akong mga recipe.	Mi parolis kun Miĥaelo la ĉino en la kafejo Starbukso ĉi tiun sunbrilan 21-an de septembro de 2021. Li vere aspektas pli kiel japano laŭ mi kaj aliaj. Li demandis al mi, ĉu mi "sopiras" mian "hejmurbon". Mi diris, ke mi ŝatas ambaŭ. Mi estis sur Lulu-insulo delonge, mi diris. Mi diris, ke ruĝa "savano" estas kie mi loĝis en Filipinoj. Poste, li rigardis "savano" per sia saĝtelefono. Li diris, ke lia pasporto estas de Ĉinio, ĉar li havas teron aŭ lueblajn posedaĵojn en Guǎngzhōu en Ĉinio. Ni parolis pri internacia korupteco. Li diris, ke lia familio vizitos Mongolion. Mi scias, ke estas bele tie. Li diras, ke estas malfacile en restoracioj hodiaŭ pro la Pandemio. Se mi povus kuiri sola, Miĥaelo demandis. Mi diris, ke mi havas miajn proprajn receptojn.	ko	0	0
Hindi ko kayang tumakbo na kasingbilis niya.	Mi ne povas kuri tiel rapide kiel li.	hindi	0	0
Di ako sigurado kung anong iniisip ko.	Mi ne certas, kion mi pensis.	ako	0	0
Meron ka ba diyang mga sako ng tsa ng yerba buwena?	Ĉu vi ĉi tie havas saketojn por menta infuzaĵo?	ka	0	0
Sa Pilipinas, nagustuhan ng aking ama ang erkon at ang mang-aawit na si Elvis Presley, at ginusto niyang kasama ang kanyang pamilyang lumipat sa Canada sa tabi ng Estados Unidos. Mas gusto ko ang Australia dahil sa init.	En Filipinoj, mia patro ŝatis aerkondiĉigilon kaj la kantiston Elvis Presley, kaj li kun la familio preferis elmigri al Kanado apud Usono. Mi preferas Aŭstralion pro la varmeco.	at	0	0
Gumagawa siya ng kanyang sariling mga damit.	Ŝi faras mem ĉiujn siajn vestaĵojn.	mga	0	0
Naniniwala ako sa eksplorasyon sa kalawakan at tuluyang kolonisasyon ng ating Sistemang Solar, at sa kalaunan ng ating galaksiyang Daang Magatas. Si Elon Musk, ang multibilyunaryo, ay naniniwalang ang sangkatauhan ay dapat yumaman at maging "makaespasyong sibilisasyon at multiplanetaryong espesye." Siya at ako ay magkasundo.	Mi kredas pri spaca esploro kaj eventuala koloniigo de nia Sunsistemo, kaj poste de nia galaksio Lakta Vojo. Elon Musk la multmiliardulo opinias, ke la homaro riĉiĝu kaj fariĝu "spachava civilizo kaj multplaneda specio". Mi kaj li estas en akordo.	ay	0	0
Di pa makasalita ang beybi ko; umiiyak lang siya.	Mia bebo ne povas ankoraŭ paroli; li nur krias.	lang	0	0
Lumabas ka ba kagabi?	Ĉu vi eliris lastnokte?	ba	0	0
Sabi ko kay Michael na Tsinong natikman ko na ang pagkain ng Ethiopia sa restawran sa Vancouver, BC. May malaking parang pankeyk na ang tawag ay "injera," at ginagamit ito para isubo ang ulam nang kamayan.	Mi diris al Miĥaelo la ĉino, ke mi jam gustumis etiopian manĝaĵon en restoracio en Vankuvero, BK. Estis granda krespeskaĵo nomata "inĝera", kaj oni kutimis verŝi la pladon permane per ĝi.	ito	0	0
Binisita ko siya kahapon.	Hieraŭ mi faris viziton al li.	siya	0	0
Interesado siya sa kung anumang bagay tungkol sa relihiyon.	Li interesiĝas pri io ajn koncerne religion.	kung	0	0
Siya ay nagpunta sa Tokyo para maghanap ng trabaho.	Li iris al Tokio por serĉi laboron.	para	0	0
At isang saglit ang nakagiba sa niyari nang maraming taon.	Kaj unu momento detruis, kion ni konstruis dum pluraj jaroj.	isang	0	0
Naniniwala ako sa eksplorasyon sa kalawakan at tuluyang kolonisasyon ng ating Sistemang Solar, at sa kalaunan ng ating galaksiyang Daang Magatas. Si Elon Musk, ang multibilyunaryo, ay naniniwalang ang sangkatauhan ay dapat yumaman at maging "makaespasyong sibilisasyon at multiplanetaryong espesye." Siya at ako ay magkasundo.	Mi kredas pri spaca esploro kaj eventuala koloniigo de nia Sunsistemo, kaj poste de nia galaksio Lakta Vojo. Elon Musk la multmiliardulo opinias, ke la homaro riĉiĝu kaj fariĝu "spachava civilizo kaj multplaneda specio". Mi kaj li estas en akordo.	si	0	0
Di ko na alam kung ano ang paniniwalaan ko.	Mi ne plu scias, kion mi kredu.	ano	0	0
Akala ninyo'y nasa impiyerno na kayo. Tiyera pa ito.	Vi pensas, ke vi estas jam en la infero. Estas ankoraŭ la Tero.	kayo	0	0
Ulan nang ulan ngayon dito sa Isla Lulu. Para akong nasa Ferenginar.	Pluvas kaj pluvas nun ĉi tie sur Lulu-insulo. Estas kvazaŭ mi estas sur Ferenginar.	dito	0	0
Di mo alam kung ano ang pinag-uusapan namin.	Vi ne scias pri kiu ni parolas.	alam	0	0
Huwag matakot nang mag-ingles na may mali.	Ne timu paroli angle kun eraroj.	may	0	0
Kung minsan, pumigil tayo para mag-isip.	Kelkfoje ni paŭzu por cerbumi.	tayo	0	0
Wala talaga tayong dalandan, pero may ubas.	Ni ne vere havas oranĝojn, sed estas vinberoj.	pero	0	0
Mayabang na bata siya na ang isip sa kanyang sarili'y siya'y mas magaling sa ibang lahat.	Li estas pretendema knabo, kiu supozas sin pli bona ol ĉiuj aliaj.	lahat	0	0
Maging masaya; dadating pa ang pinakagaling na mga araw.	Estu feliĉa, la plej bonaj tagoj ankoraŭ venos.	pa	0	0
Isa pang boteng alak, nga.	Unu plian botelon da vino, mi petas.	nga	0	0
Pinag-aaralan ang isang wika dahil sa nakikitang halaga ng prestihiyo nito. Kung gusto mo ng mga pabango, malamang na mahilig ka sa Pranses. Kung mahilig ka sa musikang rock, malamang na mahilig ka sa Ingles. Gusto ko ang ligaw na kalikasan, kaya gusto ko ang mga katutubong wika ng Australia at Amerika.	Oni lernas lingvon pro ĝia perceptita prestiĝovaloro. Se vi ŝatas parfumojn, verŝajne vi ŝatas la francan. Se vi ŝatas rok-muzikon, verŝajne vi ŝatas la anglan. Mi ŝatas sovaĝan naturon, tial mi ŝatas la indiĝenajn lingvojn de Aŭstralio kaj de Ameriko.	gusto	0	0
Oo, oo. Pero nagyeyelo mas sa Niigata kaysa sa Hokkaido.	Jes, jes. Sed neĝas pli multe en Niigata ol en Hokajdo.	oo	0	0
Sinabi ni Pangulong Mao, "Ang relihiyon ay lason."	Prezidanto Mao diris, "Religio estas veneno."	ni	0	0
Kinausap ko si Michael na Tsino sa kapihang Istarbaks ngayong maaraw na ika-21 ng Setyembre ng 2021. Talagang mas mukha siyang Hapon sa akin at iba. Tinanong niya ako kung "miss" ko raw ang "hometown" ko. Sabi ko, gusto ko ang pareho. Narito na ako sa Isla Lulung matagal na ang sabi ko. Sabi ko, pulang "savannah" ang tinirhan ko sa Pilipinas. Tapos, tiningnan niya ang "savannah" sa smartphone niya. Ang pasaporte raw niya ay sa Tsina, dahil mayroon siyang lupa o rental property sa Guǎngzhōu sa Tsina. Pinag-usapan namin ang korupsiyong internasyonal. Magbibisita raw ang pamilya niya sa Mongolia. Alam kong maganda roon. Mahirap daw sa mga restawran ngayon dahil ng Pandemya. Kung marunong daw akong magluto nang sarili, ang tanong ni Michael. Sabi ko, may sarili akong mga recipe.	Mi parolis kun Miĥaelo la ĉino en la kafejo Starbukso ĉi tiun sunbrilan 21-an de septembro de 2021. Li vere aspektas pli kiel japano laŭ mi kaj aliaj. Li demandis al mi, ĉu mi "sopiras" mian "hejmurbon". Mi diris, ke mi ŝatas ambaŭ. Mi estis sur Lulu-insulo delonge, mi diris. Mi diris, ke ruĝa "savano" estas kie mi loĝis en Filipinoj. Poste, li rigardis "savano" per sia saĝtelefono. Li diris, ke lia pasporto estas de Ĉinio, ĉar li havas teron aŭ lueblajn posedaĵojn en Guǎngzhōu en Ĉinio. Ni parolis pri internacia korupteco. Li diris, ke lia familio vizitos Mongolion. Mi scias, ke estas bele tie. Li diras, ke estas malfacile en restoracioj hodiaŭ pro la Pandemio. Se mi povus kuiri sola, Miĥaelo demandis. Mi diris, ke mi havas miajn proprajn receptojn.	niya	0	0
Wala talaga tayong dalandan, pero may ubas.	Ni ne vere havas oranĝojn, sed estas vinberoj.	wala	0	0
Salamat sa ating guni-guni, nasasakop natin ang mga hanggang nalagay tayo sa espasyo-panahon.	Danke al nia imagopovo ni povas venki la limojn, metitajn al ni en spaco kaj tempo.	natin	0	0
