1991658	Vad är detta?	341215	O que é isto?
1960592	Muiriel är 20 nu.	347631	Muiriel tem 20 anos agora.
5370228	Jag älskar dej.	369536	Te amo.
1964546	Det är enkelt att göra och det är billigt.	375080	É fácil de fazer e é barato.
1960592	Muiriel är 20 nu.	376163	Agora Muiriel tem 20 anos.
1465237	Men det var förstås länge sedan.	377674	Mas é claro que isso foi há muito tempo atrás.
9250495	Jag går till skolan varje dag.	378236	Eu caminho até a escola todo dia.
9009167	Jag är nöjd med mitt nya hus.	378446	Estou feliz com a minha nova casa.
1970538	Jag har en fråga.	378459	Tenho uma pergunta.
397490	Tack!	380435	Obrigado!
9250538	Min son är änkling.	383864	O meu filho é viúvo.
3436286	Det var bara ett år sedan.	384796	Isso aconteceu somente há um ano atrás.
8819635	Vilken överraskning!	390766	Que surpresa!
841982	Svara på frågan.	390770	Responda a pergunta.
372477	Pratar du japanska?	390813	Você fala japonês?
2116820	Talar du japanska?	390813	Você fala japonês?
1023493	Välkommen!	390881	Bem-vindo!
5333570	Sov gott, Timmy.	395114	Durma bem, Timmy.
509791	Hej.	397073	Oi.
3799867	Mitt namn är Jack.	397601	Meu nome é Jack.
375873	Varför?	397665	Por quê?
2205973	Hur står det till?	397683	Como você está?
9009197	Jag vill åka till USA en dag.	401361	Quero ir aos EUA um dia.
8389656	Vem uppfann telefonen?	404821	Quem inventou o telefone?
3742598	God natt!	404950	Boa noite!
3742914	Godnatt!	404950	Boa noite!
525791	Grattis på födelsedagen!	405212	Feliz aniversário!
9009097	Jag kan inte tänka mig livet utan dig.	405250	Eu não posso imaginar a vida sem você.
415895	Hur gammal är han?	411600	Quantos anos ele tem?
415895	Hur gammal är han?	411603	Qual é a idade dele?
8969766	"Kan någon hjälpa mig?" "Jag kan."	418155	"Alguém pode me ajudar?" "Eu posso."
7038707	”Ålder?” ”16.”	418665	"Idade?" "16."
8969765	Om ingen vet vad som kommer härnäst, blir ingen besviken.	421906	Se ninguém sabe o que vem a seguir, ninguém ficará desapontado.
1990600	Kom med oss.	438862	Vem conosco.
922569	Han låg på rygg.	438865	Ele estava deitado de costas.
478747	Ja.	477136	Sim.
8955849	Jag har aldrig läst boken.	517635	Eu nunca li o livro.
8434976	Middagen är klar.	578914	O jantar está pronto.
5891787	Gör det igen!	578968	Faça de novo!
4947187	Vi vill ha fullständiga meningar.	613203	Queremos frases completas.
1125601	Jag skämdes.	651805	Fiquei com vergonha.
2775551	Huvudstaden i Ukraina är Kiev.	667036	A capital da Ucrânia é Kiev.
9821445	Hon är medvetslös.	690889	Ela está inconsciente.
8969787	Han berättade en sorglig historia för mig.	729006	Ele me contou uma história triste.
8799865	Inte jag heller.	729132	Nem eu.
5370227	Trevlig resa!	729187	Boa viagem!
2456843	Jag är från Brasilien.	731495	Sou do Brasil.
880529	Hur mycket blir det?	732374	Quanto vai custar?
2269413	Han spelade piano.	734632	Ele tocava piano.
991455	Jag har bara smör i kylskåpet.	735850	Eu só tenho manteiga na geladeira.
397490	Tack!	748781	Obrigada!
12399150	Vatten kokar vid 100 grader Celsius.	756771	A água ferve aos 100 graus Celsius.
1433375	Guldpriset ändras dagligen.	756800	O preço do ouro muda diariamente.
1433375	Guldpriset ändras dagligen.	756802	O preço do ouro flutua diariamente.
893156	Jag måste bege mig nu.	760620	Tenho que ir agora.
1138599	Mitt språk är inte med i listan!	766081	O meu idioma não está na lista!
9982038	Bill bor nära stranden.	770613	Bill mora perto da praia.
773333	Vill du äta?	773323	Você quer comer?
1125898	Du får skriva på vilket språk du vill. På Tatoeba är alla språk likvärdiga.	786470	Você pode escrever na língua que quiser. Em Tatoeba, todas as línguas têm o mesmo valor.
9982769	Vatten är en vätska.	790792	A água é um líquido.
5893623	Damerna först.	818403	As damas primeiro.
8754847	Jag är en hjälte.	867461	Eu sou um herói.
8800496	Det var en mardröm.	868859	Foi um pesadelo.
8997971	Hämta en torr handduk till mig.	868872	Traga-me uma toalha seca.
9137381	Det är ett utmärkt vin.	868951	É um vinho excelente.
868966	Pojken hoppar.	868962	O menino está pulando.
869023	Hästen hoppar.	868992	O cavalo está pulando.
869024	Flickan hoppar.	869000	A menina está pulando.
869040	Hunden hoppar.	869027	O cachorro está pulando.
410161	Jag har en katt och en hund. Katten är svart och hunden är vit.	869185	Eu tenho um gato e um cachorro. O gato é preto e o cachorro é branco.
8429845	Jag menar det på allvar.	869403	Estou falando sério.
8438673	Jag menar allvar.	869403	Estou falando sério.
1004871	Jag ser ett hus.	871787	Estou vendo uma casa.
2160499	Hon talar portugisiska.	877787	Ela fala português.
2180635	Pratar du svenska?	880479	Você fala sueco?
880494	Var snäll och tala långsamt.	880493	Por favor, fale devagar.
880525	Var snäll och ge mig en Dagens Nyheter också.	880524	Por favor, dê-me um Dagens Nyheter, também.
2785956	Spinoza var panteist.	884431	Espinoza era panteísta.
991457	Det finns mjölk i kylskåpet.	885493	Há leite na geladeira.
10091286	Hon såg honom rakt i ögonen.	890748	Ela lhe olhou direto nos olhos.
1403161	Hon försökte inte att översätta brevet.	892150	Ela não tentou traduzir a carta.
893632	Katter tycker inte om vatten.	893779	Os gatos não gostam de água.
9815252	Det är möjligt att hon inte vet att vi är här.	909359	Ela pode não saber que estamos aqui.
10062398	Jag vill åka utomlands.	912208	Quero viajar fora.
8955856	Jag har aldrig träffat henne, men jag känner igen henne.	924680	Nunca a encontrei, mas a reconheço.
3188109	Glad påsk!	933821	Feliz Páscoa!
2211146	Behöver du pengar?	948740	Você precisa de dinheiro?
893156	Jag måste bege mig nu.	952391	Tenho que partir agora.
8843328	Han begick självmord.	955636	Ele cometeu suicídio.
9831846	De är på väg med Mary till akuten.	956114	Eles estão levando Mary para a sala de emergência.
10097757	Vi besökte Tokyo flera gånger.	956502	Visitamos Tóquio várias vezes.
9009164	Nej, jag kommer att åka buss.	964165	Não, irei de ônibus.
12997629	Staten, det är jag!	964586	O Estado sou eu!
991459	Finns det nåt att dricka i kylskåpet?	972226	Tem alguma coisa para beber na geladeira?
1048536	I begynnelsen skapade Gud himmel och jord.	972692	No princípio Deus criou os céus e a terra.
991449	Är du trött?	974063	Você está com sono?
12634844	Te utan is.	979054	Chá sem gelo.
490949	Du ser blek ut.	982614	Você está pálido.
9984333	Jag har varit här förr.	985188	Já estive aqui antes.
8955689	Hon frågade mig om provresultatet.	990188	Ela me perguntou pelo resultado do exame.
914343	Jag vet inte vad det här ordet betyder.	991394	Não sei o que significa essa palavra.
991452	Jag är jättetrött men vill inte gå och lägga mig.	991450	Estou morrendo de sono mas não quero ir dormir.
9824209	Vi jämförde hans arbete med hennes.	992639	Comparamos o trabalho dele com o dela.
8955843	Jag har skrivit många historier.	993101	Escrevi muitas histórias.
8955764	Jag ska be John att laga min klocka.	994523	Vou pedir a John que repare meu relógio.
2791717	Vad betyder SSSR?	996186	O que significa URSS?
12412086	Var är flygplatsen?	996202	Onde está o aeroporto?
493908	Vi behöver pengar.	999555	Precisamos de dinheiro.
409694	Jag tror att han var arg.	999586	Acho que ele estava zangado.
8955840	Skulle du vilja gifta dig och skaffa barn?	1001675	Você gostaria de se casar e ter filhos?
1005332	Hon läste inte boken.	1005324	Ela não leu o livro.
1005343	Han skrev till sina föräldrar.	1005326	Ele escreveu aos seus pais.
8955809	Några av bollarna är gula.	1006422	Algumas das bolas são amarelas.
9009136	När jag var liten gillade jag att plantera solrosor.	1012131	Quando criança, gostava de plantar girassóis.
12234037	Hon är fransyska.	1014927	Ela é francesa.
1125603	Mjölk är en vanlig dryck.	1019016	Leite é uma bebida popular.
665777	Isen smälter.	1043766	O gelo está derretendo.
4842863	Hunden är död.	1043794	O cachorro está morto.
4842864	Smärtan var fruktansvärd.	1043796	A dor foi terrível.
9289607	Har snön redan smält?	1052746	A neve já se derreteu?
9250609	Försök inte göra två saker samtidigt.	1059971	Não tente fazer duas coisas ao mesmo tempo.
1063546	Var är äpplena?	1063542	Onde estão as maçãs?
10656716	Den gamla mannen var älskad av alla.	1064909	O ancião era querido por todos.
6835501	Papper är vitt.	1065013	O papel é branco.
9009212	Utan syre skulle många djur ha försvunnit för länge sedan.	1072465	Sem oxigênio, muitos animais teriam desaparecido há muito tempo.
9009135	Du måste inte gå till tandläkaren.	1075631	Você não deve ir ao dentista.
8969762	Du borde läsa Shakespeares sonetter.	1077145	Você deveria estar lendo os sonetos de Shakespeare.
1963937	Vad tittar du på?	1082740	Que você está olhando?
8414641	Är ni säkra?	1086181	Vocês têm certeza?
5943960	Teresa är ett portugisiskt namn.	1087951	Teresa é um nome português.
10691701	När stänger butiken?	1089920	Quando a loja fecha?
9826882	Katten är svart.	1107315	O gato é negro.
9826882	Katten är svart.	1107316	O gato é preto.
1996710	Jag är färdig.	1132549	Estou pronto.
8955686	Du har bara dumma idéer.	1138669	Só tem ideias estúpidas.
8955855	"Vad skrattar du åt?" "Ditt ansikte."	1138750	"Do que você está rindo?" "Da tua cara."
765033	Skål!	1139459	Saúde!
1990494	Förlåt.	1139593	Desculpa!
1990494	Förlåt.	1139595	Desculpe!
892564	Prata långsammare.	1145802	Fale mais devagar.
7188978	Talar du portugisiska?	1146033	Você fala português?
3388977	Jag är trettio år gammal.	1146489	Tenho trinta anos.
8940448	Den som kämpar riskerar att förlora. Den som inte kämpar har redan förlorat.	1151643	Quem luta pode perder, quem não luta já perdeu.
2785963	En spegel reflekterar ljus.	1160189	Um espelho reflete a luz.
6332656	Han är min farbror, eftersom min far är hans bror.	1161683	Ele é meu tio, uma vez que meu pai é irmão dele.
1403254	Jag behöver inte gå till doktorn längre. Jag mår mycket bättre.	1175143	Não tenho que ir mais ao médico. Estou me sentindo muito melhor.
2142908	Du måste hjälpa henne.	1177165	Você deve ajudá-la.
8436542	Han släppte repet och föll ner i floden.	1177302	Ele soltou a corda e caiu no rio.
4442659	Han tyckte inte om att bli bestraffad.	1180293	Ele não gostava de ser punido.
9250551	När kan jag ringa dig?	1187970	Quando eu posso te ligar?
1401814	Detta är hennes bok.	1189984	Este é o livro dela.
9835262	Svara på följande frågor.	1194079	Responda às seguintes questões.
4025771	Jag har många böcker.	1195947	Eu tenho muitos livros.
892961	Det finns mer än 4000 språk i världen.	1195976	Há mais de quatro mil línguas no mundo.
3954843	Lek inte med elden.	1199498	Não brinque com fogo.
8797935	Eld bränner.	1200025	O fogo queima.
1990547	Kaffe eller te?	1201250	Café ou chá?
891547	Vem är hon?	1201965	Quem é ela?
9009233	Det är fel att stjäla.	1205164	Roubar é errado.
9761275	Det här är en order.	1206598	Isto é uma ordem.
9250572	Jag gillar sport.	1212942	Eu gosto de esporte.
5382429	Jag vet ingenting.	1212954	Eu não sei nada.
10349027	Livet går vidare.	1213961	A vida continua.
1972744	Öppna munnen.	1213992	Abra a boca.
1972744	Öppna munnen.	1213994	Abre a boca.
1968664	Jag är italiensk.	1215875	Eu sou italiano.
5370218	Jag dricker kaffe.	1217980	Eu bebo café.
5370218	Jag dricker kaffe.	1217981	Eu estou bebendo café.
1090317	Jag har bröder.	1218015	Eu tenho irmãos.
8843328	Han begick självmord.	1220103	Ele suicidou-se.
8945090	Vad vill ni?	1220224	O que vocês querem?
2297641	Hon vaknade.	1221671	Ela acordou.
8786291	Jag vill gifta mig med dig.	1227822	Quero me casar contigo.
12363446	Det finns få människor man kan lita på.	1232072	Há poucas pessoas em quem confiar.
8955804	Vanligtvis går jag och lägger mig vid nio.	1232204	Geralmente vou para cama às nove.
10714468	Äpplet är sött.	1236116	A maçã está doce.
2001553	Var är min bil?	1236690	Onde está o meu carro?
5950502	Hur är det med din mamma?	1238083	Como vai a sua mãe?
2780835	Den finansiella situationen förvärras vecka för vecka.	1275591	A situação financeira está ficando pior a cada semana.
9812687	Mitt hjärta slutade slå.	1288527	Meu coração parou de bater.
893156	Jag måste bege mig nu.	1292493	Eu devo ir agora.
8786291	Jag vill gifta mig med dig.	1292544	Quero me casar com você.
3005223	Dörren är öppen.	1295963	A porta está aberta.
12543055	Jag har ett problem.	1295984	Tenho um problema.
9833146	Hon hade bråttom.	1301530	Ela estava com pressa.
9831844	Jag har fortfarande ont i armen.	1307005	Meu braço ainda dói.
9984686	Titta på det huset.	1311489	Olhe aquela casa.
9984686	Titta på det huset.	1311490	Olha aquela casa.
9984686	Titta på det huset.	1311491	Olhem aquela casa.
4839805	Kakorna är under bordet.	1318800	As bolachas estão debaixo da mesa.
4839810	Det är möjligt att jag har glömt mina nycklar.	1318803	É possível que eu tenha esquecido as minhas chaves.
4839815	Staden är vacker.	1318808	A cidade é bela.
4839817	Även idag är temperaturen under noll.	1318809	Mesmo hoje, a temperatura está abaixo de zero.
4839821	Förra året spenderade han tre månader ute i havet.	1318815	No ano passado, ele passou três meses no mar.
4839822	Hon äter frukt.	1318816	Ela está comendo fruta.
1409966	Jag tror att jag skall köpa en ny bil.	1320741	Acho que comprarei um carro novo.
10152002	Vilken är den tyngre av de två?	1322283	Qual dos dois é o mais pesado?
9398250	Jag tycker att hon duger.	1326810	Eu o acho competente.
2654800	Det här är en liten bok.	1331701	Este é um livro pequeno.
8955787	Vad är det för byggnad?	1331731	O que é aquele edifício?
1348696	Jag vill dansa.	1348909	Quero dançar.
1349535	EU grundas för att få slut på de blodiga krigen mellan grannländerna, som gång på gång hade orsakat så mycket mänskligt lidande och till slut ledde till andra världskriget.	1349533	A União Europeia foi criada com o objetivo de pôr termo às frequentes guerras sangrentas entre países vizinhos, que culminaram na Segunda Guerra Mundial.
1349826	Från och med 1950 börjar en rad europeiska länder samarbeta ekonomiskt och politiskt för att bevara freden.	1349816	A partir de 1950, a Comunidade Europeia do Carvão e do Aço começa a unir económica e politicamente os países europeus, tendo em vista assegurar uma paz duradoura.
1349922	1950-talet karakteriseras av ett kallt krig mellan östblocket och västmakterna.	1349906	Os anos 1950 são caracterizados por uma guerra fria entre o Oriente e o Ocidente.
9976219	Vi fångade tjuven.	1362911	Pegamos o ladrão.
3942488	Han förlät sin fiende.	1374235	Ele perdoou seu inimigo.
12272282	En minut har sextio sekunder.	1374459	Um minuto tem sessenta segundos.
3843636	Han äter.	1384721	Ele come.
893315	Vilka underbara blommor!	1384827	Que flores maravilhosas!
8955586	Bangkok är Thailands huvudstad.	1392802	Bangkok é a capital da Tailândia.
3817462	Ingenting händer.	1394002	Não acontece nada.
6710660	Grönt är min favoritfärg.	1394361	O verde é a minha cor favorita.
4439426	Jag har ont i benet.	1403908	Minha perna dói.
