7145850	Ieri in spiaggia ci siamo divertiti.	341937	Vi hade roligt på stranden igår.
761473	Questa è la loro casa.	353818	Detta är deras hus.
759907	Questo libro è sulla Cina.	372425	Den här boken handlar om Kina.
1647372	Non dovresti lasciare solo il bambino.	372429	Du bör inte lämna barnet ensamt.
716979	Lui lavora otto ore al giorno.	372470	Han arbetar åtta timmar om dagen.
714368	Il mio cane è bianco.	372484	Min hund är vit.
338708	Fa caldo oggi.	372627	Det är varmt idag.
375878	Buona fortuna.	375880	Lycka till.
382055	Grazie!	397490	Tack!
7139332	Quella cravatta non sta bene con la tua camicia.	401256	Den där slipsen passar bra till din skjorta.
7139334	Quella cravatta non si abbina bene alla tua camicia.	401256	Den där slipsen passar bra till din skjorta.
1330310	Il suo unico desiderio era di rivedere presto suo figlio.	401272	Hennes enda önskan var att träffa sin son igen.
759986	Il conducente svoltò a destra.	401312	Föraren vred ratten åt höger.
1330044	Il prossimo concerto avrà luogo in giugno.	401315	Nästa konsert kommer att hållas i juni.
3833493	Abbiamo paura.	401325	Vi är rädda.
3833494	Noi abbiamo paura.	401325	Vi är rädda.
445211	Dov'è l'ambasciata giapponese?	401387	Var är den japanska ambassaden?
3638532	Ho provato a scrivere con la mano sinistra.	401441	Jag försökte skriva med vänster hand.
896790	Un bravo maestro deve essere paziente con i propri allievi.	401442	En bra lärare måste vara tålmodig med sina elever.
759922	Non pensare che sia facile.	402110	Du ska inte tro att det kommer att bli enkelt.
1578313	Venite quando vi pare.	402134	Kom när ni vill.
1578318	Venite quando volete.	402134	Kom när ni vill.
761478	Qual è la via più adatta per raggiungere la stazione di Tokyo?	402190	Vad är den bekvämaste vägen till Tokyo station?
761469	Questa vecchia automobile è sempre rotta.	402197	Den här gamla bilen går sönder hela tiden.
761479	Non dimenticherò la tua gentilezza finché vivrò.	403452	Jag kommer inte att glömma bort din vänlighet så länge jag lever.
2708479	Non mi serve il tuo aiuto.	403490	Jag behöver inte din hjälp.
2708487	Non ho bisogno del tuo aiuto.	403490	Jag behöver inte din hjälp.
2708488	Io non ho bisogno del tuo aiuto.	403490	Jag behöver inte din hjälp.
759895	Sono il migliore.	409661	Jag är bäst.
382192	Grazie per la tua spiegazione.	409672	Tack för din förklaring.
353408	Non parlo giapponese.	409674	Jag pratar inte japanska.
759975	Come sarebbe il mondo senza donne?	409685	Vad skulle världen vara utan kvinnor?
759961	Questo vecchio tavolo è ancora usato.	409706	Det här gamla bordet används fortfarande.
