379492	Bedankt!	399605	Mulțumesc!
377964	Eet smakelijk!	399606	Poftă bună!
387795	Hartelijk bedankt!	399618	Mulțumesc foarte mult!
382517	Goeienavond, hoe gaat het ermee?	399621	Bună seara, ce faci?
5958	Goedenavond, hoe maakt u het?	399622	Bună seara, ce mai faceți?
407981	De professor die het woord nam, is van de Universiteit Boekarest.	407990	Colega al cărei soț este francez a plecat la Paris.
382086	Ik ga dood van de honger!	584328	Mor de foame!
382406	Die vent is helemaal gestoord!	584332	Acel tip e dus cu pluta!
382428	Dit woord komt uit het Grieks.	584335	Acest cuvânt e de origine greacă.
399626	Goedendag, waarmee kan ik u van dienst zijn?	584343	Bună ziua, cum vă pot fi de folos?
400329	Stel nooit uit tot morgen wat je overmorgen kunt doen.	584348	Nu lăsa pe mâine ce poţi face poimâine.
400331	Ik heb ontzettende honger.	584406	Mi-e o foame de lup.
400333	Dat zijn mijn klasgenoten.	584409	Ei sunt colegii mei.
400338	Ze schept op over hoe knap ze is.	584444	Ea îşi dă aere cât de frumoasă e.
400340	Ik zal wel een fout gemaakt hebben.	584447	Se pare că am făcut o greșeală.
400341	Zou u het geluid zachter kunnen zetten?	584457	Aţi putea da volumul mai încet?
400342	U weer?	584458	Tu din nou?
400344	Ik ben geen ochtendmens.	584459	Nu sunt o persoană matinală.
400345	Ik heb keelpijn en een loopneus.	584464	Mă doare în gât şi îmi curge nasul.
400349	Er zijn ook katten op Mars.	584465	Sunt şi pisici pe Marte.
400359	Paarden houden niet van boterbloemen, die laten ze gewoon staan in de wei.	584504	Caii nu pasc flori galbene, acestea rămân pur şi simplu pe pajişte.
400361	Wacht op mij. Ik ben er over een minuut of tien.	584509	Aşteaptă-mă. Ajung acolo în maxim zece minute.
537897	Nee, dat kan niet waar zijn.	584770	Nu, nu poate fi adevărat.
538167	Ik voel me slaperig.	584772	Mi-e somn.
538168	's Avonds gaat hij uit om wat te drinken.	584784	Seara el iese în oraș să bea ceva.
538169	We hebben een geweldige schoolbibliotheek.	584792	Avem o bibliotecă minunată în incinta școlii.
584323	Mijn voeten doen pijn.	584797	Mă dor picioarele.
583819	Praat niet zo snel, alstublieft.	584799	Vorbiți mai rar, vă rog.
580757	Het meisje waste haar haar.	584802	Fata își spălă părul.
580753	Het is warm vandaag, dus je kunt in zee zwemmen.	584807	Este cald astăzi, deci ai putea înota în mare.
580539	Hij besloot eindelijk te trouwen.	584808	A decis în cele din urmă să se căsătorească.
462217	Ik wil jou iets raars vertellen.	584821	Vreau sa-ți povestesc ceva ciudat.
462221	Heeft hij opnieuw gefaald?	584827	El a picat din nou?
462224	Ik was zeer blij toen ik dat nieuws vernam.	584832	Am fost foarte fericit când am auzit acea veste.
462226	Natuurlijk, hij heeft gelijk.	584834	Bineînțeles, el are dreptate.
462228	De meubels in dit kantoor zijn zeer modern.	584839	Mobilierul din acest birou este foarte modern.
462229	Toen ze jong was, was ze zeer populair.	584846	Când era tânără, era foarte renumită.
462230	Toen hij jong was, was hij een harde werker.	584850	Când a fost tânăr, a muncit cu sârguinţă.
462231	Zijn huis is zeer modern.	584852	Casa sa este foarte modernă.
462234	Ik ben niet geïnteresseerd in moderne kunst.	584855	Nu sunt interesat de arta contemporană.
462239	Ik heb anders niets belangrijks meer te zeggen.	584860	Nu mai am nimic important de spus.
462241	Welke taal spreken ze in jouw land?	584865	Ce limba se vorbeşte în țara ta?
462242	Grieks is geen gemakkelijke taal.	584867	Greaca nu e o limbă uşoară.
462244	Jorge kan vier talen spreken.	584871	Jorge vorbește patru limbi.
462247	Sadako wou er nog meer aan toevoegen, maar haar mond wou maar niet openen.	584886	Sadako voia să mai spună ceva, dar gura parcă îi înţepenise.
462248	Sadako wou er nog meer aan toevoegen, maar haar lippen wouden niet meer bewegen.	584895	Sadako voia sa mai spună ceva, dar buzele îi înțepeniseră.
462249	De meeste Zwitsers spreken twee of drie talen.	584901	Majoritatea elveţienilor vorbesc două sau trei limbi.
462250	We leven niet in landen, we leven in onze talen. Dat is jouw thuis, daar en nergens anders.	584920	Nu locuim în ţări, locuim în limbile noastre. Aceea e casa ta, acolo şi nicăieri altundeva.
583820	Hij werkt voor haar.	585934	El munceşte pentru ea.
583821	Hij liet alles aan het toeval over.	585935	El lăsă totul la voia întâmplării.
583822	De kinderen wassen hun benen.	585949	Copiii îşi spală picioarele.
583830	George is arm maar altijd blij.	585955	George e sărac dar fericit întotdeauna.
419438	Is dat de sleutel die je zoekt?	585965	Asta e cheia pe care o cauţi?
