578213	Vidd a cókmókodat az útból.	578489	Weg mit der Habschaft!
594908	A földrengés idején épp tévét néztem.	594910	Als sich das Erdbeben ereignete, habe ich gerade ferngesehen.
633933	Tegnap nem beszéltünk.	633934	Gestern haben wir nicht gesprochen.
636533	Sokat kell tanulni.	636537	Man muss viel lernen.
641968	Ezt a könyvet itt nem árusítják.	642402	Das Buch wird hier nicht verkauft.
644749	Csináld gyorsabban!	645385	Agiere schneller!
653111	A hétnek hét napja van.	653121	Die Woche hat sieben Tage.
658461	Nincs itt a közelben egy gyógyszertár?	658465	Ist hier in der Nähe eine Apotheke?
689249	Ütem nélkül nincs zene.	689252	Ohne Takt keine Musik.
738509	Hogy mondjam el?	738526	Wie soll ich sagen?
604295	A feleségeddel akarok aludni.	784628	Ich will mit Ihrer Frau schlafen.
606812	A házam a Temze déli partján van.	797441	Mein Haus befindet sich am Südufer der Themse.
813182	Egyszerűen nem tudom őt elviselni!	813187	Ich kann ihn einfach nicht leiden!
674221	Nagyszerű!	947107	Klasse!
831217	Szeretem a macskákat.	1056430	Ich liebe Katzen.
936463	Ez az ügy hidegen hagy engem.	1070436	Die Sache lässt mich kalt.
684003	A magyar vegyész egy újfajta gyufát talált föl.	1070477	Der ungarische Chemiker erfand ein neuartiges Streichholz.
960164	Eléggé sápadt, túl sokat ihatott tegnap este.	1070504	So bleich wie er ist, muss er wohl gestern Abend zu viel getrunken haben.
593696	A kreativizmus egy áltudomány.	1070661	Die Schöpfungslehre ist eine Afterwissenschaft.
1015975	Egyáltalán nincs humorérzéke.	1070760	Er hat überhaupt keinen Humor.
632327	Halvány lila gőzöm sincs.	1191065	Ich habe gar keine Ahnung.
813150	Ez az ön első útja külföldön?	1195630	Ist dies Ihre erste Auslandsreise?
1070224	Szerencsés vagy, hogy nem mart meg.	1195643	Du hast Glück, dass er nicht gebissen hat.
771928	Gyönyörű nyár volt, és folyton kék volt az ég.	1195650	Es war ein schöner Sommer, und der Himmel war immer blau.
1303412	Felmegy a függöny.	1303416	Der Vorhang geht auf.
1303419	Ki szeretnék kapcsolódni.	1303421	Ich möchte raus aus dem Alltag.
1303423	Tele van a hócipőm.	1303425	Mir steht alles bis hier.
1303431	Ez attól függ!	1303432	Es kommt darauf an!
1303433	Jár a motor.	1303434	Der Motor läuft.
1303435	Ezt rossznak tartom.	1303436	Das halte ich für falsch.
1303438	Nehezemre esik.	1303439	Es fällt mir schwer.
1303451	Végre túl vagyok rajta.	1303453	Das habe ich endlich hinter mir.
990544	Születés, házasság és halál - mind kiadással jár.	1415970	Ob Geburt, Heirat oder Tod - alles kostet Geld.
619555	A juhászkutya visszahajtja a nyájat a farmra.	1421746	Der Schäferhund treibt die Herde zurück zur Farm.
653080	Az ég tele van csillaggal.	1443971	Der Himmel ist voll mit Sternen.
1457525	Elment mellettem köszönés nélkül.	1457540	Er ging an mir vorbei ohne einen Gruß.
582593	Van két szabad szobánk.	1496737	Wir haben zwei freie Zimmer.
871783	Kedves?	1496764	Ist er nett?
662637	Világos, miért fáj a gyomra.	1520259	Es ist klar, warum sein Magen schmerzt.
662638	Hirtelen éles fájdalmat éreztem a gyomromban.	1520260	Plötzlich fühlte ich einen starken Schmerz im Magen.
662641	Zsémbessé vált, állandóan kritizálta neje főztjét és gyomorfájásra panaszkodott.	1520267	Er wurde mürrisch, kritisierte ständig das Essen, das seine Frau kochte, und klagte über Magenschmerzen.
662651	A rák átterjedt a gyomrára.	1520270	Der Krebs ist in seinen Magen vorgedrungen.
662651	A rák átterjedt a gyomrára.	1520272	Der Krebs ist in ihren Magen vorgedrungen.
662654	A gyomor egyike belső szerveinknek.	1520273	Der Magen ist eines der inneren Organe.
662656	A gyomromban lévő fájdalom eltűnt.	1520275	Meine Magenschmerzen sind verschwunden.
662669	Hangosan korog a gyomrom.	1520285	Mein Magen knurrt laut.
662762	Többen a csillagászokból úgy vélik, hogy az Univerzum kiterjedése végtelen.	1520289	Viele Astronomen meinen, dass die Ausdehnung des Universums unendlich ist.
600412	Azért születtem, hogy szeresselek.	1544869	Ich wurde geboren, um dich zu lieben.
559131	Nyáron a turisták elárasztották a várost.	1544871	Im Sommer wurde die Stadt von Touristen überströmt.
559338	Húszezernél is több amerikai válik gyilkosság áldozatává minden évben.	1544875	Jährlich sterben über zwanzigtausend Amerikaner infolge eines Mordes.
559542	Megtelt a lány szeme könnyekkel.	1544876	Die Augen des Mädchens füllten sich mit Tränen.
646033	Nincs több ötletem.	1544909	Ich habe keine weiteren Ideen.
740505	Nem kell a bajt kétszer hívni.	1555704	Sie müssen sich nicht die Mühe machen, zweimal zu rufen.
1559932	Ezt ajánlották nekem.	1559933	Es ist mir empfohlen worden.
1772927	A katedrális uralja a városképet.	1772928	Die Kathedrale beherrscht das Stadtbild.
1141419	Ő a társaság törvényes birtokosa.	1800499	Er ist der rechtmäßige Eigentümer der Gesellschaft.
654777	Rád gondoltam.	1801904	Ich habe an dich gedacht.
867971	Elmagyarázta nekem a gép használatát.	1806694	Er erklärte mir, wie man die Maschine gebraucht.
1889324	Az ajtók záródnak.	1889325	Die Türen schließen sich.
2010105	Már kisfiúként mindig ministráns volt a misén.	2010130	Schon als kleiner Junge war er Ministrant in der Kirche.
2067238	Emlékszel erre a játékra?	2067254	Erinnern Sie sich an dieses Spiel?
723597	Innen az iskola épületéig gyalog 15 perc.	2068511	Von hier bis zum Campus dauert es 15 Minuten.
1654021	Sikerült kapnunk néhány külföldi bélyeget.	2068530	Wir haben es geschafft, einige ausländische Briefmarken zu bekommen.
1067746	Ördög és pokol!	2132907	Hölle und Teufel!
654260	Piros vagy kék - önnek melyik tetszik?	2180190	Rot oder Blau – welches gefällt Ihnen?
626051	Teljesen elfáradtunk.	2180195	Wir sind sehr müde.
658601	Korábban városunk falu volt.	2224630	Unsere Stadt war früher ein Dorf.
2224113	Örülök, hogy látom őt.	2224641	Ich freue mich, dass ich sie sehe.
2224100	Úszni kívánok tanulni.	2224655	Ich will schwimmen lernen.
2178451	A köd sűrűsödik.	2487574	Der Nebel verdichtet sich.
2589639	A poharam tele van.	2590243	Mein Glas ist voll.
1813830	A gyilkost életfogytiglanra ítélték.	2837456	Der Mörder wurde zu lebenslanger Haft verurteilt.
2393370	Valami van a szememben.	3029548	Irgendwas ist in meinem Auge.
3042783	Soha ne vegyél kölcsön autót!	3242539	Leihe niemals ein Auto.
1414416	Nem működik a mobiltelefonom.	3335637	Mein Handy funktioniert nicht.
2977738	Ne fordulj meg.	3416130	Dreh dich nicht um.
