9727620	Aflæs måleren.	335560	Lue mittarin lukema.
476016	Hvad laver du?	335579	Mitä teet?
618958	Hvad gør du?	335579	Mitä teet?
7819166	Rygning beskadiger dine lunger.	335590	Tupakointi vahingoittaa keuhkojasi.
615538	Jeg holder ikke denne mavepine ud.	335596	Tämä vatsakipu on sietämätön.
3611904	Han lænede sig mod væggen.	335637	Hän nojasi seinään.
1251031	Dengang var jeg i Canada.	335652	Siihen aikaan olin Kanadassa.
3834663	Jeg har tre hunde; en af dem er en han og de to andre er hunner.	335667	Minulla on kolme koiraa, joista yksi on uros ja kaksi muuta narttuja.
666820	Efter middagsmaden røg han en cigar.	354317	Hän poltti lounaan jälkeen sikarin.
2235202	Hitler førte Tyskland i krig.	354462	Hitler ajoi Saksan sotaan.
1882168	Fuck dig!	354468	Haista vittu!
1945335	Hun er alkoholiker.	354479	Hän on alkoholisti.
618978	Jeg ved ikke.	354747	En tiedä.
606655	Vær ikke bekymret.	354748	Älä huoli.
1101889	Det er mig lige meget.	354750	En välitä.
9937024	Du skal ikke være bange.	354751	Älä pelkää.
1981161	Hvis der ikke fandtes luft eller vand, kunne vi ikke overleve.	354799	Jos ilmaa ja vettä ei olisi, me emme voisi elää.
606652	Ingen forstår mig.	354875	Kukaan ei ymmärrä minua.
485189	Sikke en stor hund!	355126	Onpa iso koira!
3546305	Hunden var død.	355131	Se koira oli kuollut.
620640	Tusinder af udlændinge besøger Japan hvert år.	355595	Tuhannet ulkomaalaiset vierailevat Japanissa vuosittain.
2603012	Han forstod ikke hendes joke.	355605	Hän ei ymmärtänyt hänen vitsiään.
3597082	Bedre sent end aldrig.	355923	Parempi myöhään kuin ei milloinkaan.
476656	Jeg elsker dig.	356198	Minä rakastan sinua.
2385461	Jeg elsker dig!	356198	Minä rakastan sinua.
3670645	Hvad svarede du?	356270	Mitä vastasit?
476046	Det er en skam, at han ikke kan komme.	357089	Harmi ettei hän pääse tulemaan.
707874	Jeg taler ikke japansk.	368187	En puhu japania.
539130	Jeg har et spørgsmål.	368188	Minulla on kysymys.
1130961	Hun er min veninde.	368198	Hän on minun ystäväni.
2009163	Solen skinner.	372414	Aurinko paistaa.
3807244	Hej.	373343	Hei.
497937	Det regner.	388183	Sataa.
497937	Det regner.	388185	Sataa vettä.
614375	Hun er bevidstløs.	388190	Hän on tajuton.
3386826	Han er bevidstløs.	388190	Hän on tajuton.
3245468	Jeg er lutter øren.	388214	Olen pelkkänä korvana.
615818	Godt spørgsmål.	388217	Hyvä kysymys.
654741	Jeg er sulten.	409604	Minä olen nälkäinen.
615131	Jeg er bedst.	409662	Minä olen paras.
2350862	Jeg er den bedste.	409662	Minä olen paras.
1960024	Tv'et er tændt.	419590	Televisio on auki.
1960027	Fjernsynet er tændt.	419590	Televisio on auki.
614422	Han er stadig på arbejde.	419606	Hän on vielä työssä.
529118	En, to, tre, fire, fem, seks, syv, otte, ni, ti.	423376	Yksi, kaksi, kolme, neljä, viisi, kuusi, seitsemän, kahdeksan, yhdeksän, kymmenen.
529178	Et, to, tre, fire, fem, seks, syv, otte, ni, ti.	423376	Yksi, kaksi, kolme, neljä, viisi, kuusi, seitsemän, kahdeksan, yhdeksän, kymmenen.
1866350	Hvad er lykken?	423389	Mitä on onnellisuus?
2612716	Den kraftige regn forhindrede mig i at gå ud.	425830	Rankka sade esti minua menemästä ulos.
4534011	Tillykke!	425837	Onnea!
4534012	Til lykke!	425837	Onnea!
4534013	Gratulerer!	425837	Onnea!
9954931	Lykke til!	425837	Onnea!
2596613	Jeg går hjem nu.	426083	Menen nyt kotiin.
464028	Hun er ikke læge.	426089	Hän ei ole lääkäri.
599515	Men hun holdt af børn og nød sit arbejde.	426093	...mutta hän piti lapsista ja työstään.
2467161	Maria bruger en masse penge på tøj.	440783	Maria käyttää paljon rahaa vaatteisiin.
1945262	Dragen er et fantasidyr.	440800	Lohikäärme on mielikuvitusolento.
2263832	Dragen er et fantasivæsen.	440800	Lohikäärme on mielikuvitusolento.
615442	Han leder efter et job.	443124	Hän etsii töitä.
615007	Mike og Ken er venner.	443126	Mike ja Ken ovat ystäviä.
615006	Er du ny her?	443146	Oletko uusi täällä?
400930	Hvordan har du det?	445794	Mitä kuuluu?
481759	Hvordan går det?	445794	Mitä kuuluu?
619003	Hvad så?	445794	Mitä kuuluu?
3231540	Er du læge?	457834	Oletko lääkäri?
529125	Alle mennesker er født frie og lige i værdighed og rettigheder. De er udstyret med fornuft og samvittighed, og de bør handle mod hverandre i en broderskabets ånd.	474491	Kaikki ihmiset syntyvät vapaina ja tasavertaisina arvoltaan ja oikeuksiltaan. Heille on annettu järki ja omatunto, ja heidän on toimittava toisiaan kohtaan veljeyden hengessä.
618723	Alle mennesker er født frie og med samme menneskeværd og menneskerettigheder. De er udstyret med fornuft og samvittighed og bør handle mod hverandre i broderskabets ånd.	474491	Kaikki ihmiset syntyvät vapaina ja tasavertaisina arvoltaan ja oikeuksiltaan. Heille on annettu järki ja omatunto, ja heidän on toimittava toisiaan kohtaan veljeyden hengessä.
694453	Ja.	509763	Kyllä.
5996395	Nej.	509768	Ei.
1790583	Jeg er turist.	516177	Olen turisti.
551877	Er du ikke træt?	516237	Eikö sinua väsytä?
614332	Jeg kaldte katten »Tama«.	516902	Annoin kissan nimeksi Tama.
615257	Jeg tilbragte tolv timer i toget.	655732	Vietin junassa kaksitoista tuntia.
477537	Jeg er amerikaner.	668642	Olen amerikkalainen.
9714448	Dette bord har en glat overflade.	668659	Tämän pöydän pinta on sileä.
464055	Jeg arbejder 3 timer hver søndag morgen.	704654	Minä työskentelen kolme tuntia joka sunnuntaiaamu.
763046	På gensyn!	722605	Nähdään!
2488095	Jeg læser bogen.	738168	Minä luen kirjaa.
4348904	Jeg læser en bog.	738168	Minä luen kirjaa.
476016	Hvad laver du?	752728	Mitäs puuhaat?
618958	Hvad gør du?	752728	Mitäs puuhaat?
763046	På gensyn!	752733	Nähdään myöhemmin!
1945046	Farvel.	752735	Hyvästi!
10102281	Farvel!	752735	Hyvästi!
763046	På gensyn!	752737	Näkemiin!
763047	Vi ses!	752737	Näkemiin!
3173825	Jeg kiggede mig omkring.	752769	Katselin ympärilleni.
464617	Titanic sank på sin jomfrurejse.	754987	Titanic upposi neitsytmatkallaan.
614244	Jeg solgte den for ti dollars.	757899	Myin sen kymmenellä dollarilla.
614245	Jeg solgte den for ti dollar.	757899	Myin sen kymmenellä dollarilla.
476016	Hvad laver du?	770525	Mitä sinä teet?
618958	Hvad gør du?	770525	Mitä sinä teet?
476016	Hvad laver du?	770526	Mitä sä teet?
618958	Hvad gør du?	770526	Mitä sä teet?
1876519	Mange tak.	771687	Paljon kiitoksia.
654741	Jeg er sulten.	773097	Minulla on nälkä.
673460	Vil du gå?	774788	Tahdotko mennä?
673460	Vil du gå?	774789	Haluatko mennä?
3235423	Målet helliger midlet.	775540	Päämäärä pyhittää keinot.
5961525	Jægeren skød ræven.	776090	Metsästäjä ampui ketun.
476980	Jeg hjælper dig selvfølgelig.	776093	Tietenkin autan sinua.
1793287	Goddag.	778577	Hyvää päivää.
7588703	Hvorfor?	778970	Miksi?
1251195	Isen var så tyk, at jeg kunne gå på den.	779857	Jää oli niin paksua, että voin kävellä sillä.
1264745	Han kender ingen af os.	779919	Hän ei tunne ketään meistä.
