2505275	Ένα, δύο, τρία, τέσσερα, πέντε, έξι, επτά, οκτώ, εννέα, δέκα.	948437	Vienas, du, trys, keturi, penki, šeši, septyni, aštuoni, devyni, dešimt.
1370107	Καλημέρα.	948439	Labas rytas.
948453	Όχι, ευχαριστώ.	948443	Ne, ačiū.
5341217	Το όνομά μου είναι Σάλι.	948449	Mano vardas yra Sally.
948493	Ναι, παρακαλώ.	948497	Taip, prašau.
2535919	Αυτό είναι άλογο ή φοράδα;	2594221	Ar šis eržilas ar kumelė?
2000026	Τα αστέρια βγήκανε.	2727260	Danguje pasirodė žvaigždės.
5451625	Είμαι Κορεάτης.	7244196	Aš korėjietis.
9061764	Εγώ δεν είμαι ποιητής.	10267149	Aš ne poetas.
9081130	Δεν είμαι ποιητής.	10267149	Aš ne poetas.
10850017	Στην οικογένειά μου υπάρχουν τέσσερις άνθρωποι.	10850012	Mano šeimoje yra keturi žmonės.
