571439	Måske har du ret, jeg har været egoistisk.	571408	Galbūt tu esi teisus, aš buvau savanaudiškas.
529118	En, to, tre, fire, fem, seks, syv, otte, ni, ti.	948437	Vienas, du, trys, keturi, penki, šeši, septyni, aštuoni, devyni, dešimt.
3520216	Jeg har to døtre og to sønner.	1597872	Aš turiu dvi dukras ir du sūnus.
2671137	Jeg er fra Rusland.	1601897	Aš iš Rusijos.
12096469	Vil du gerne have en kop kaffe?	1602813	Ar norėtumetė puodelio kavos?
694453	Ja.	2667601	Taip.
707901	Henviser du til mig?	2691117	Ar turi omeny mane?
707901	Henviser du til mig?	2691118	Ar kreipiesi į mane?
2804794	Afrika er menneskehedens vugge.	2804790	Afrika yra žmonijos lopšys.
8317211	Jeg er ikke naiv.	3590103	Aš ne naivus.
2269621	Jeg kan ikke engelsk.	6888175	Aš nemoku anglų kalbos.
1813062	Jeg er koreaner.	7244196	Aš korėjietis.
4567816	Jeg er ikke en robot.	7455924	Aš ne robotas.
10295655	Stalinisme er racisme.	10297880	Stalinizmas yra rasizmas.
