Nagyeyelo ang ilog ng Moomin.	Muumijoki on jäinen.	ang	0	0
May bahay sa tabi ng dagat.	On talo meren rannalla.	sa	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	na	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	ng	0	0
Naranasan mo na ba ang bahay ng Moomin?	Oletko koskaan ollut Muumitalossa?	mo	0	0
Hindi ako pinanganak sa Tiyera.	En ole syntynyt maan päälle.	hindi	0	0
Hindi pa ako nakakita ng isang Trol na Moomin sa totoong buhay.	En ole koskaan nähnyt Muumipeikkoa tosielämässä.	ako	0	0
Umupo si Tom at naghintay.	Tom istui odottamaan.	at	0	0
Mayroong niyebe at mga puno sa hardin ng Moomin.	Muumipuutarhassa on lunta ja puita.	mga	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	ay	0	0
Itinuturi mo ba ang iyong sarili na matatas na mananalita ng Pranses?	Puhutko omasta mielestäsi sujuvasti ranskaa?	ba	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	kung	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	isang	0	0
Umupo si Tom at naghintay.	Tom istui odottamaan.	si	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	ano	0	0
May mga dalandan sa basket.	Korissa on appelsiineja.	may	0	0
Hindi pa ako nakakita ng isang Trol na Moomin sa totoong buhay.	En ole koskaan nähnyt Muumipeikkoa tosielämässä.	pa	0	0
Matanda na si Brenna. Ang kagalitan at kainggitan ay mga emosyon niya.	Brenna on vanha. Viha ja kateus ovat hänen tunteitaan.	niya	0	0
Kailangan kong umuwi nang maaga nang kaunti ngayon.	Minun tarvitsee mennä kotiin hiukan aikaisin tänään.	ngayon	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	akong	0	0
Kailangan kong umuwi nang maaga nang kaunti ngayon.	Minun tarvitsee mennä kotiin hiukan aikaisin tänään.	kailangan	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	bakit	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	iyon	0	0
Kailangan kong umuwi nang maaga nang kaunti ngayon.	Minun tarvitsee mennä kotiin hiukan aikaisin tänään.	kong	0	0
Kailangan kong umuwi nang maaga nang kaunti ngayon.	Minun tarvitsee mennä kotiin hiukan aikaisin tänään.	nang	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	iyo	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	sabi	0	0
Hindi pa ako nakakita ng isang Trol na Moomin sa totoong buhay.	En ole koskaan nähnyt Muumipeikkoa tosielämässä.	buhay	0	0
Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	kahit	0	0
Itinuturi mo ba ang iyong sarili na matatas na mananalita ng Pranses?	Puhutko omasta mielestäsi sujuvasti ranskaa?	iyong	0	0
