477010	Mange tak!	477030	Спасибо вам большое!
693877	Idiot!	693884	Идиот!
430093	På trods af al sin rigdom og berømmelse, er han ulykkelig.	698644	Несмотря на все свое богатство и известность, он несчастен.
430094	Jeg ved ikke hvad jeg skal gøre.	698649	Я не знаю, что мне делать.
430095	Han tror det er umuligt for mig at bestige bjerget alene.	698655	Он думает, что мне не по силам подняться на гору одному.
647461	Jeg tog en taxa til lufthavnen.	699033	Я доехал до аэропорта на такси.
647463	Hvor kan jeg tage lufthavnsbussen?	699037	Где я могу сесть на автобус в аэропорт?
647466	Lufthavnen er tæt på.	699038	Аэропорт недалеко.
647467	Jeg foretrækker et hotel tæt på lufthavnen.	699039	Я предпочитаю отель недалеко от аэропорта.
647471	Jeg ringer så snart jeg er i lufthavnen.	699040	Я позвоню, как только буду в аэропорту.
652435	Han ændrede pludselig sin holdning.	699042	Он резко поменял свое отношение.
652581	Retten dømte ham til døden.	699044	Суд приговорил его к смерти.
652586	Han kunne ikke sove på grund af heden.	699047	Он не мог спать из-за жары.
652599	Jeg skal købe nogle frimærker.	699049	Я куплю несколько марок.
652611	Er der nogle gode restauranter heromkring?	699051	Есть здесь в округе какие-нибудь хорошие рестораны?
652637	Enken var klædt i sort.	699053	Вдова была одета в черное.
652658	Vent i venteværelset.	699055	Подожди в комнате ожидания.
652661	Man burde adlyde sine forældre.	699058	Нужно слушаться своих родителей.
652663	Du bør adlyde dine forældre.	699059	Ты должен слушаться своих родителей.
652665	Han kunne ikke styre sin vrede.	699061	Он не мог сдерживать свою ярость.
652672	Hun blev gift som syttenårig.	699062	Она вышла замуж в возрасте 17 лет.
652676	Hvorfor ikke spille tennis på lørdag?	699063	Почему бы нам не сыграть в теннис в субботу?
652677	Hvad med at spille tennis på lørdag?	699064	Как насчет того, чтобы сыграть в теннис в субботу?
652695	Du må hellere tilkalde en læge.	699065	Ты бы лучше вызвал врача.
654680	Hvem er den mand?	699066	Кто этот человек?
615131	Jeg er bedst.	775432	Я лучше.
749306	Jeg måtte gå hjem til fods.	1002453	Мне пришлось идти домой пешком.
763176	Det er min hobby at samle på frimærker.	1002456	Это моё хобби - собирать марки.
763194	Jeg har i går læst bogen indtil side 80.	1002459	Я вчера дочитал книгу до восьмидесятой страницы.
763263	De er uadskillelige.	1002460	Они неразделимы.
763288	Vores lærer er ikke altid venlig over for os.	1002462	Наш учитель не всегда дружелюбен к нам.
763295	De problemer vil blive løst i nær fremtid.	1002464	Эти проблемы будут решены в ближайшем будущем.
763345	Hans hus er meget langt fra stationen.	1002466	Его дом находится очень далеко от станции.
763375	Jeg har en let hovedpine.	1002473	У меня небольшая головная боль.
763378	Priserne for de japanske biler er endnu relativ høje.	1002475	Цены на японские автомобили всё ещё относительно высоки.
476014	Mord straffes med døden.	1002478	Убийство карается смертью.
476015	Hvad i alverden laver du her?	1002479	Какого чёрта ты здесь делаешь?
695143	Han sparer op for at købe et hus.	1187717	Он собирает на покупку дома.
1191179	London er Englands hovedstad.	1216707	Лондон - столица Англии.
475194	Jeg har en bog i min hånd.	1350879	Я держу книгу в руке.
1191169	Han har en god hånd.	1350881	У него лёгкая рука.
731351	Hun løste problemet på ti minutter.	1364999	Она решила проблему за десять минут.
694852	Dette vand er godt at drikke.	1430846	Эта вода подходит для питья.
654733	Du er en idiot.	1576558	Ты кретин.
484837	Det var sådan en smuk dag, at vi besluttede os for at tage på picnic.	1585913	Был такой прекрасный день, что мы решили поехать на пикник.
1788640	Taler din ven esperanto?	1788643	Твой друг говорит на эсперанто?
1788651	Er vores land rigt?	1788655	Наша страна богатая?
1796495	Naturen er den eneste bog, der tilbyder storartet indhold på alle sider.	1796540	Природа - единственная книга, каждая страница которой полна глубокого содержания.
1941052	Denne hat er din.	1941998	Эта шапка твоя.
1940590	Gå væk herfra.	1942004	Уходи отсюда.
1940568	Rør mig ikke.	1942005	Не трогай меня.
1940565	Frist mig ikke.	1942006	Не дразни меня.
1940565	Frist mig ikke.	1942007	Не искушай меня.
1940458	Hun har mange engelske bøger.	1942008	У нее есть много английских книг.
1940370	Den dreng er min kollega.	1942013	Этот парень мой коллега.
1940366	Min bror er god og flittig.	1942018	Мой брат очень хороший и трудолюбивый человек.
1940365	Min søster er god og flittig.	1942019	Моя сестра очень хорошая и трудолюбивая девушка.
1940364	Mine søstre er gode og flittige.	1942071	Мои сестры хорошие и трудолюбивые.
400930	Hvordan har du det?	1942077	Как поживаешь?
2127824	Er du et vidunderbarn?	2127830	Ты вундеркинд?
2004608	Denne sætning består af syvogtredive bogstaver.	2163091	Эта фраза состоит из тридцати семи букв.
615647	Denne hytte er i fare for at falde sammen.	2278903	Эта хижина может развалиться.
2332092	Jeg spiste det.	2332120	Я его съел.
2348911	Har hun børn?	2348916	Она имеет детей?
2349153	Var dine forældre hjemme?	2349154	Твои родители были дома?
1979675	Det kan jeg se med det blotte øje.	2418383	Это я могу видеть невооружённым глазом.
2590947	Hvad vil du spørge mig om?	2590952	О чём ты хочешь меня спросить?
2590947	Hvad vil du spørge mig om?	2590953	О чём вы хотите меня спросить?
1884978	Hun tager tilbage til Amerika.	2651295	Она возвращается обратно в Америку.
2665055	Pindsvinet skjuler sit hoved.	2665060	Ёж прячет свою голову.
476057	Problemet er at jeg ingen penge har på mig.	2832515	Проблема в том, что у меня нет с собой денег.
3285374	Der er et yndigt land, det står med brede bøge nær salten østerstrand, nær salten østerstrand. Det bugter sig i bakke dal, det hedder gamle Danmark, og det er Frejas sal, og det er Frejas sal! Vort gamle Danmark skal bestå så længe bøgen spejler, sin top i bølgen blå, sin top i bølgen blå.	3285376	Любимая страна с развесистыми буками у солёных берегов, у солёных берегов. Ветрами продуваема, зовёшься древней Данией – и здесь обитель Фрейи, и здесь обитель Фрейи! Пока сверкает буков гладь, живёт и наша Дания – в объятиях синих волн, в объятиях синих волн.
2053185	Hun er en neger.	3617630	Она литературный негр.
3748997	Brandmanden satte sit liv på spil.	3749005	Пожарный рискнул своей жизнью.
3748997	Brandmanden satte sit liv på spil.	3749006	Пожарный рисковал своей жизнью.
3769961	"Jeg tror jeg har forstået alt," sagde Tom, "men jeg er ikke helt sikker."	3770155	"Мне кажется, я все понял, - сказал Том, - но я не вполне уверен".
3767615	Et godt helbred er bedre end alverdens guld.	3770161	Доброе здоровье важнее всего золота мира.
3850499	Spionen brugte en dækadresse.	3850513	Шпион использовал конспиративный адрес.
3850516	Jeg så en karibu.	3850527	Я увидел карибу.
3850528	Hans ansigtsudtryk vidnede om total hjælpeløshed.	3850534	Его выражение лица отражало полную беспомощность.
3320100	For eksempel: nu er havet roligt.	4099557	Например, сейчас море спокойно.
1282087	Jeg kan lide dyr, for eksempel katte og hunde.	4099558	Мне нравятся животные, например, коты и собаки.
2900726	Færøerne er stadig afhængige af Danmarks økonomisk støtte.	4108177	Фарерские острова по-прежнему зависят от экономической поддержки Дании.
4108255	Ulven åd den lille Rødhætte. Jægeren skød ulven.	4108633	Волк съел Красную Шапочку. Охотник застрелил волка.
4100600	Jeg har ikke bedt om hjælp.	4108635	Я не просил помощи.
4090943	Jeg hader ikke Tom længere.	4108639	Я больше не ненавижу Тома.
4090943	Jeg hader ikke Tom længere.	4108642	Я больше не испытываю ненависти к Тому.
4296160	Jeg går ud fra at du har en bil.	4299144	Я полагаю, у вас есть машина.
1962263	Et glas koldt øl ville gøre godt.	4340238	Я бы хотел стакан холодного пива.
4540387	Leg ikke med hendes følelser!	4540395	Не играй с её чувствами!
1845238	Aarhus, Danmarks næststørste by, har postnummeret 8000.	4572161	Орхус, второй по величине город Дании, имеет почтовый индекс 8000.
4576357	Den sorte kat løber hurtigt.	4576359	Чёрная кошка быстро бежит.
4542880	Hvornår flyttede du til Berlin?	4593342	Когда ты переехала в Берлин?
475013	Varme er en form for energi.	4615973	Тепло — одна из форм энергии.
663370	Er de her dine briller?	4654929	Это твои очки?
4747880	Vil det snart sne?	4747890	Скоро пойдёт снег?
4748406	Odense og København havde gjort så stort et indtryk på Tom og Maria at de besluttede sig for at lære dansk og flytte til Danmark.	4748428	Оденсе и Копенгаген произвели такое большое впечатление на Тома и Марию, что они решили выучить датский и переехать в Данию.
4750196	Man siger at han har solgt sin sjæl til Djævelen.	4750206	Говорят, он продал душу дьяволу.
4846829	Denne bog er en psykologisk roman.	4846831	Эта книга — психологический роман.
4875788	Så sulten er jeg ikke.	4875811	Я не настолько голодна.
4921517	Hun har et stort hus og to biler.	4921533	У неё большой дом и две машины.
4921559	Tom skænkede sig et glas skotsk whisky.	4921569	Том налил себе стакан шотландского виски.
4928370	Hvordan går det med jobsøgningen?	4928374	Как дела с поиском работы?
5186838	Jeg har lavet mange fejl.	5186861	Я сделал много ошибок.
771158	Hun så mange dyr på vejen.	5209812	По дороге она видела много зверей.
5308295	Hvorfor har du købt en skildpadde?	5308299	Зачем ты купил черепаху?
1981244	Bjørnene danser tango med ulvene under fuldmånens lys.	5389743	Медведи танцуют танго с волками при свете полной луны.
1981221	I klassen var der femten drenge og ligeså mange piger.	5389757	В классе было пятнадцать мальчиков и столько же девочек.
1981173	Nu ved vi ikke hvad vi skal lave.	5389778	Теперь мы не знаем, что нам делать.
1981167	Hun bor tæt på havet.	5389780	Она живёт рядом с морем.
1980992	Nej, sæt dig ned.	5389803	Нет, садись.
1980978	Jeg ved ikke hvordan jeg skal sige det på japansk.	5389806	Я не знаю, как это сказать по-японски.
1980226	En af mine veninder elsker at gå på homobar med mig.	5390057	Одна моя подруга любит ходить со мной в гей-бары.
1752391	Kirker blev bygget overalt på øen.	5391784	По всему острову строились церкви.
5381674	Politik interesserer dem ikke.	5394310	Политика их не интересует.
5381051	Toms password var let at gætte.	5394319	Угадать пароль Тома было легко.
5378654	Det betyder at han kan lide dig.	5394343	Это значит, что ты ему нравишься.
5374548	Alt hvad Tom sagde, var løgn.	5394354	Всё, что сказал Том, было ложью.
1946439	Jeg går normalt i seng klokken ni.	5394899	Обычно я ложусь в девять часов.
1979568	Hvor mange dage skal du være i London?	5394923	Сколько дней ты пробудешь в Лондоне?
1979545	Gør jer klar på forhånd.	5394938	Готовьтесь заранее.
1979539	Gør dig klar på forhånd.	5394939	Готовься заранее.
1979274	De er stadig ikke vågnet.	5394986	Они до сих пор не проснулись.
