1346236	Trebuie să mă duc la culcare.	77	Ich muss schlafen gehen.
1142889	Ce-i asta?	79	Was ist das?
2536063	Parola este „Muiriel”.	83	Das Passwort ist "Muiriel".
2536069	Am fost în munți.	90	Ich war in den Bergen.
3110810	Nu știu dacă am timpul necesar.	92	Ich weiß nicht, ob ich Zeit dazu habe.
3110808	Dintr-un motiv sau altul microfonul nu funcționa adineauri.	93	Aus irgendeinem Grund hat das Mikrofon gerade nicht funktioniert.
3110807	Fiecare trebuie să învețe singur în cele din urmă.	94	Letztendlich muss jeder selbst lernen.
3110802	Educația în lume mă dezamăgește.	95	Die Ausbildung in dieser Welt enttäuscht mich.
2536075	Câștig 100 de euro pe zi.	100	Ich verdiene 100 Euro pro Tag.
699682	Mi-e dor de tine.	109	Ich vermisse dich.
1139227	Îmi lipsești.	109	Ich vermisse dich.
2536086	Întotdeauna mi-au plăcut mai mult personajele misterioase.	111	Ich mochte mysteriöse Charaktere schon immer mehr.
2536087	Ar trebui să dormi.	112	Du solltest schlafen.
2536090	Ești atât de nerăbdător cu mine.	115	Du bist so ungeduldig mit mir.
2536093	Niciodată nu mi-a plăcut biologia.	118	Ich mochte Biologie noch nie.
2536096	Din păcate e adevărat.	121	Unglücklicherweise stimmt es.
2536109	Nu, nu sunt; tu ești!	124	Nein, ich bin es nicht, du bist es!
2536113	Ești sigur?	127	Bist du sicher?
1153809	Grăbește-te!	130	Beeil dich!
2536121	Dintr-un oarecare motiv mă simt mai activ noaptea.	133	Aus irgendeinem Grund fühle ich mich nachts lebendiger.
4829094	Din mai multe motive mă simt mai activ noaptea.	133	Aus irgendeinem Grund fühle ich mich nachts lebendiger.
2536130	Sunt așa de gras.	140	Ich bin so dick.
11163136	Așa, și?	141	Na und?
4987299	O să-l împușc.	142	Ich werde ihn erschießen.
2536135	Ziceam doar!	144	Ich sag's ja nur!
2536140	Asta e ceea ce aș fi spus.	147	Das hätte ich gesagt.
