1357447	Aalis na ako.	349054	Idę.
5214250	Nagtuturo ako.	350069	Uczę.
5214251	Magsisimula na ako.	352983	Zaczynam.
5214262	Sumuka ako.	360218	Zwymiotowałem.
5214263	Nagtatrabaho ako.	360968	Pracuję.
744326	Phoenix ang kabisera ng Arizona.	448878	Phoenix jest stolicą Arizony.
744326	Phoenix ang kabisera ng Arizona.	528012	Stolicą Arizony jest Phoenix.
2747469	Oo.	531791	Tak.
11268422	May Diyos.	547707	Bóg istnieje.
1725858	Gusto ko ng gitara.	558246	Chcę gitarę.
5214103	Siya ang aking kuya.	560516	On jest moim starszym bratem.
5214105	Siya ang aking nakatatandang kapatid.	560516	On jest moim starszym bratem.
1420486	Mahal ko ang bituing araw.	567165	Kocham słońce.
2428018	"Gusto niya ang musika." "Ako rin."	600717	„Ona lubi muzykę.” „I ja też.”
5361167	Nagmamadali siyang mahabol ang tren.	652777	On spieszy się na pociąg.
5213962	Sabihin mo sa akin kung ano ang ginawa mo sa Hawaii.	676713	Powiedz mi, co zrobiłeś na Hawajach?
5213963	Ikuwento mo sa akin kung ano ang ginawa mo sa Hawaii.	676713	Powiedz mi, co zrobiłeś na Hawajach?
2312779	Bukas ay Linggo.	826684	Jutro jest niedziela.
1599891	Mabilog ang Tiyera.	831735	Ziemia jest okrągła.
1356596	Nasaan ang palabas?	951303	Gdzie jest wyjście?
5213985	Kita mo ba ang bahay na iyon? Iyon ang aking bahay.	959651	Widzisz ten dom? To jest mój dom.
2562403	Masaya ka ba sa bahay mo?	1202824	Czy jesteś szczęśliwy w swoim domu?
1356474	Inyong helikopter ba?	1356568	Czy to pański helikopter?
1356472	Mas umuulap ngayon kaysa sa kahapon.	1356576	Dziś jest bardziej pochmurnie niż wczoraj.
1356600	Namis kita.	1356614	Tęskniłe/am za tobą.
1356585	Pagka bata ka pa, dapat maraming aklat ang basahin mo.	1356618	Póki jesteśmłody, powinieneś czytać dużo książek.
5214002	Pinayuhan niya akong pumunta doon.	1453108	Poradził mi, żebym tam poszedł.
12190319	Nasa hardin ako.	1657760	Jestem w ogrodzie.
11635762	At ngayon narito ang aking lihim, isang napakasimpleng sikreto: Sa puso lamang nakakakita ng tama; kung ano ang mahalaga ay hindi nakikita ng mata.	2141748	A oto mój sekret. Jest bardzo prosty: dobrze widzi sie tylko sercem. Najwazniejsze jest niewidoczne dla oczu.
10489984	Hindi ito dugo.	3051198	To nie krew.
7139212	Maaari mo ba akong turuan kung paano iyan gawin?	3649524	Możesz mnie nauczyć to robić?
5361224	Sobrang asim ng prutas na ito.	4436792	Ten owoc jest bardzo kwaśny.
5361225	Napaka asim ng prutas na ito.	4436792	Ten owoc jest bardzo kwaśny.
12592743	Aso ako.	5441509	Jestem psem.
12592745	Aso po ako.	5441509	Jestem psem.
4661156	Gabi na.	8762894	Jest noc.
13356065	Bakit ako nandito?	8767671	Dlaczego tu jestem?
11804475	Mayroon bang may dalang plaslayt?	12680493	Czy ktoś ma latarkę?
8635156	Pula ang dugo.	12724130	Krew jest czerwona.
13288576	Malikpara kaalas.	13288564	Pójdę za Kahlessa
