495149	Ця квітка така ж красива як і та.	1393431	Kasing ganda iyon ng itong bulaklak.
928771	Дякую, добре.	1593295	Okey, salamat.
518108	Земля кругла.	1599891	Mabilog ang Tiyera.
496988	Перепрошую?	1854592	Ano uli?
379450	Дякую!	2684638	Salamat!
496990	Що?	2909266	Ano?
514422	Чого б ви хотіли поїсти?	5214057	Anong gusto mong kaiinin?
514422	Чого б ви хотіли поїсти?	5214058	Anong gusto niyong kaiinin?
5214734	Ми з Томом як брати.	5214749	Parang magkapatid kami ni Tom.
5214766	Ми не дамо йому померти.	5214782	Hindi natin siyang hahayaang mamatay.
6565205	Кров червона.	8635156	Pula ang dugo.
5890236	Хто за це платить?	10891166	Sinong magbabayad nito?
6317082	Бог існує.	11268422	May Diyos.
