Keittiössä on omenoita.	May mga mansanas sa kusina.	on	0	0
Joni ei osaa puhua ranskaa hyvin.	Hindi magaling magsalita ng Pranses si Juan.	ei	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	ja	0	0
En ole koskaan nähnyt Muumipeikkoa tosielämässä.	Hindi pa ako nakakita ng isang Trol na Moomin sa totoong buhay.	en	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	että	0	0
En ole syntynyt maan päälle.	Hindi ako pinanganak sa Tiyera.	ole	0	0
Olen aina halunnut mennä Muumilaaksoon.	Palagi kong nais na pumunta sa Lambak ng mga Moomin.	olen	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	oli	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	mutta	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	sen	0	0
Lempikieleni ei ole vain unelma.	Hindi lamang pangarap ang paborito kong lengguwahe.	vain	0	0
Brenna on vanha. Viha ja kateus ovat hänen tunteitaan.	Matanda na si Brenna. Ang kagalitan at kainggitan ay mga emosyon niya.	hänen	0	0
Minun tarvitsee mennä kotiin hiukan aikaisin tänään.	Kailangan kong umuwi nang maaga nang kaunti ngayon.	minun	0	0
Brenna on vanha. Viha ja kateus ovat hänen tunteitaan.	Matanda na si Brenna. Ang kagalitan at kainggitan ay mga emosyon niya.	ovat	0	0
Onko majoneesi soitin?	Instrumento ba ang mayonesa?	onko	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	sinua	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	mikä	0	0
Mies risteytti kirjekyyhkyn ja papukaijan. Tuloksena oli kirjepapukaija, joka pystyi toistamaan kuljetettavan viestin, sen sijaan että olisi vain kantanut paperinpalaa. Mutta linnun ensimmäinen matka kesti kokonaisen tunnin, vaikka kirjekyyhky olisi selvinnyt samasta matkasta minuuteissa. – Mikä sinua pidätti, kysyi mies. – No, sää oli aivan ihana, sanoi lintu ja jatkoi, – ja siksi päätin kävellä matkan.	Isang lalaki ang tumawid sa isang carrier na kalapati at isang loro. Ang resulta ay isang letter parrot na maaaring ulitin ang mensaheng dala nito, sa halip na isang pirasong papel lamang ang dala. Ngunit ang unang biyahe ng ibon ay tumagal ng isang buong oras, kahit na ang carrier na kalapati ay gagawa ng parehong biyahe sa ilang minuto. - Ano ang huminto sa iyo, tanong ng lalaki. - Buweno, ang panahon ay talagang kahanga-hanga, sabi ng ibon at nagpatuloy, - at iyon ang dahilan kung bakit nagpasya akong maglakad sa malayo.	olisi	0	0
