1359433	Din dotter är inte längre ett barn.	356369	Kızın artık bir çocuk değil.
2042054	Hur mår du?	373320	Nasılsın?
2205973	Hur står det till?	373320	Nasılsın?
1959796	Ett, två, tre, fyra, fem, sex, sju, åtta, nio, tio.	403980	Bir, iki, üç, dört, beş, altı, yedi, sekiz, dokuz, on.
3840548	En, två, tre, fyra, fem, sex, sju, åtta, nio, tio.	403980	Bir, iki, üç, dört, beş, altı, yedi, sekiz, dokuz, on.
12259992	Mitt namn är Andrea.	459303	Benim adım Andrea.
409714	Nederländerna är ett litet land.	459582	Hollanda küçük bir ülkedir.
13025533	Välkommen till Japan.	461606	Japonya'ya hoş geldiniz.
3799867	Mitt namn är Jack.	473737	Benim adım Jack.
423240	Hej Mimi! Hur mår du?	474437	Merhaba Mimi! Nasılsın?
421454	Förlåt, men jag hör dig inte så bra.	474442	Üzgünüm, ama seni iyi duyamıyorum.
421453	Vi blev väldigt besvikna över att höra nyheterna.	474453	Haberi duyunca hayal kırıklığına uğradık.
421449	Jag gillar varken den ena eller den andra kakan.	474455	Pastaların ikisini de beğenmedim.
372473	Jag förstår inte tyska.	479407	Almancayı anlamıyorum.
12403556	Vad heter din vän?	486737	Arkadaşının adı ne?
665784	Beatles bestod av fyra musiker.	489589	The Beatles, dört müzisyenden oluşmuştur.
1991658	Vad är detta?	497544	Bu nedir?
12310943	Jag gillar baklava.	531067	Baklavayı severim.
3841228	Varje dag går jag till jobbet.	600318	Her gün işe giderim.
1831249	Var är toaletten?	698003	Tuvalet nerede?
2211146	Behöver du pengar?	723910	Paraya ihtiyacın var mı?
1023189	Får jag äta detta?	863080	Bunu yiyebilir miyim?
868966	Pojken hoppar.	868989	Oğlan atlıyor.
891949	Och slutligen, tolv poäng till Estland!	891940	Son olarak, on iki puan Estonya'ya!
8121284	Ingenting kan mäta sig med sann vänskap.	907148	Gerçek dostluğun bedeli yoktur.
8121284	Ingenting kan mäta sig med sann vänskap.	907149	Gerçek arkadaşlığın bedeli yoktur.
923958	Det här är en turkisk tradition.	923986	Bu bir Türk geleneğidir.
4157024	Jag är torr i halsen.	1021297	Boğazım kuru.
4448417	Det var galet av honom att försöka simma i det iskalla vattnet.	1031307	Buz gibi suda yüzmeyi denemesi çılgınlıktı.
3123989	Vad är problemet?	1055756	Sorun nedir?
3597933	Får jag röka?	1063925	Sigara içebilir miyim?
1003490	De döpte hunden till Shiro.	1066962	Köpeğe Shiro adını koydular.
931250	Hennes engelska är utmärkt.	1066963	Onun İngilizcesi mükemmel.
930053	Jag är ingen morgonmänniska.	1066964	Ben bir sabahçı değilim.
2137759	Ert hus är stort.	1067178	Eviniz büyük.
893127	Jag är i bilen.	1084454	Ben arabadayım.
923982	Jag är inte intresserad.	1086062	Meraklı değilim.
12236566	Vilken vacker dag!	1096843	Ne güzel bir gün!
11089498	Babyn heter Tom.	1111335	Bebeğin adı Tom.
10691726	Hon är skådespelerska.	1144566	O bir aktör.
2263947	Tom dricker inte öl.	1248832	Tom bira içmez.
1359514	Tom vet inte hur mycket Mary väger.	1249149	Tom Mary'nin kaç kilo çektiğini bilmiyor.
1990629	Hon är lycklig.	1249967	O mutlu.
9868295	Han är lycklig.	1249967	O mutlu.
4338392	Jag bor i Hyogo.	1252878	Hyogo'da yaşıyorum.
12220436	Jag har en stor hund.	1254285	Büyük bir köpeğim var.
4840264	Det är en ordbok.	1255194	O bir sözlük.
401346	Vad betyder det?	1255198	Bu ne anlama geliyor?
12277055	Jorden är en planet.	1256952	Dünya bir gezegendir.
12220909	Jag bor nu i Kyoto.	1261037	Şimdi Kyoto'da yaşıyorum.
12290442	Var är busshållplatsen?	1264035	Otobüs durağı nerede?
8436533	Vilken är nästa hållplats?	1269985	Sonraki durak nedir?
4157032	Jag tog kontakt med mina föräldrar.	1274517	Ebeveynlerimle temas kurdum.
2570916	Min hund åt min läxa.	1276800	Köpeğim ev ödevimi yedi.
8121286	Jag ska träffa honom klockan tio.	1281035	Saat onda onunla buluşacağım.
8121287	Han gör ett utmärkt jobb.	1281038	O, süper bir iş yapıyor.
8121288	Jag vill att han ska läsa detta.	1281046	Onun bunu okumasını istiyorum.
8121289	Han är lite av en fegis.	1281049	O biraz korkak.
8121290	Jag undrar varför han är sen.	1281057	Onun neden geç kaldığını merak ediyorum.
8121291	Vad är hans nationalitet?	1281058	Onun ulusu nedir?
