5259194	Го научив од него.	715847	Το έμαθα απ'αυτόν.
5259192	Беше лесно за мене да го решам проблемот.	715860	Ήταν εύκολο για μένα να λύσω το πρόβλημα.
8942676	Не.	1123830	Όχι.
5246678	Ти си безнадежен случај.	1287101	Είσαι μια ανέλπιδη περίπτωση.
5230942	Што се случило?	1288275	Τι έγινε;
5364733	Овој компјутер е крш. Постојано се расипува.	1303552	Αυτός ο υπολογιστής είναι σαράβαλο. Συνέχεια χαλάει.
5189397	Штета не можеш да дојдеш.	1315000	Κρίμα που δεν μπορούσες να έρθεις.
5230943	Боб станал инжинер.	1333965	Μπομπ έγινε μηχανικός.
4958555	Крвта вода не станува.	1340950	Το αίμα νερό δε γίνεται.
5302347	Повелете.	1390729	Ορίστε.
5230946	Кажи ми што стана?	1414346	Πες μου τι έγινε.
5246693	Во секој случај е многу касно.	2000160	Σε κάθε περίπτωση είναι πολύ αργά.
4958394	Тој сака да оди на море.	2365787	Αυτός θέλει να πάει στη θάλασσα.
4970161	Дојди тука наскоро.	2366162	Έλα σύντομα εδώ.
5302363	Повелете, сметката.	2398618	Ορίστε ο λογαριασμός.
5230944	Што станало, станало.	2401128	Ότι έγινε, έγινε.
4099140	Месо или риба?	2404493	Κρέας ή ψάρι;
4354638	Ќе се стемни наскоро.	2410949	Θα σκοτεινιάσει σύντομα.
2416677	Тој беше во Франција.	2415858	Ήταν στη Γαλλία.
5053304	Имам нешто да кажам.	2428131	Έχω κάτι να πω.
4950700	Пристигнав тука неколку минути пред вас.	2428153	Έφτασα εδώ λίγα λεπτά πριν από εσάς.
5387287	Дојде околу два часот.	2455343	Ήρθε κατά τις δύο η ώρα.
5387292	Ќе биде тука околу четири часот.	2455349	Θα είναι εδώ κατά τις τέσσερις η ώρα.
5387296	Ќе ти се јавам околу 5 часот,	2455353	Θα σου τηλεφωνήσω κατά τις 5 η ώρα.
4385909	Ништо не се случило.	2901650	Τίποτε δεν έγινε.
5246093	Работи во фризерски салон.	3000618	Εργάζεται σε κομμωτήριο.
5230947	Можете ли да ни кажете што стана потоа?	3579735	Μπορείτε να μας πείτε τι έγινε μετά;
4950597	Песните за морето се тажни, бидејќи морето го има вкусот на солзите.	3593926	Τα τραγούδια για τη θάλασσα είναι μελαγχολικά, γιατί η θάλασσα έχει τη γεύση των δακρύων.
4101864	Ова ризото е превкусно.	4298112	Αυτό το ριζότο είναι νόστιμο.
4067258	Ова не е мојот дом.	4298114	Αυτό δεν είναι το σπίτι μου.
4154181	Можеби Том би можел да ми препорача добар хотел.	4353192	Ο Θωμάς ίσως να μπορεί να προτείνει ένα καλό ξενοδοχείο.
4403548	Треба да си во кревет.	4405217	Θα έπρεπε να είσαι στο κρεββάτι.
4965076	Не морам да одам - сакам да одам.	4513668	Δεν πρέπει να πάω - θέλω να πάω.
4964974	Ги купив овие лекови за татко ми.	4513675	Αγόρασα αυτά τα φάρμακα για τον πατέρα μου.
4950843	Дали имаш голема фамилија?	4945504	Έχεις μεγάλη οικογένεια?
4950818	Целата земја зборува за тоа.	4945580	Όλη η χώρα μιλάει γι' αυτό.
4950425	Живее во Њујорк.	4945582	Μένει στη Νέα Υόρκη.
4950816	Тоа е точно тоа што ти треба сега.	4945599	Είναι ακριβώς αυτό που χρειάζεσαι τώρα.
4950815	Тие немаат деца, колку што знам јас.	4945603	Δεν έχουν παιδιά, απ' ότι ξέρω.
4950422	Дали го знаеш филмот Аватар?	4945604	Ξέρεις την ταινία Avatar?
4950424	Не ми се допаѓаат големите кучиња.	4945614	Δεν μου αρέσουν τα μεγάλα σκυλιά.
4950568	Отиде.	4945626	Πήγε.
4950555	Пуштете нѐ да одиме.	4945628	Αφήστε μας να πάμε.
4389072	Знам дека ова е чудно.	4963069	Ξέρω ότι αυτό είναι παράξενο.
5246071	Сестра ми ја прави косата на фризер два или три пати неделно.	5246076	Η αδερφή μου χτενίζεται στο κομμωτήριο δυο ή τρεις φορές τη βδομάδα.
5297111	Што правиш тука?	5297102	Πώς από δω;
4087168	Помага.	5459573	Βοηθάει.
4108209	Жал ми е што извршил самоубиство.	9203124	Λυπάμαι που αυτοκτόνησε.
