351584	Mein Vater kommt Anfang nächsten Monats zurück.	351595	Мой отец вернётся в начале следующего месяца.
351587	Vergesst nicht, das Gas abzudrehen, bevor ihr rausgeht.	351600	Перед тем как выйти из дома, не забудьте выключить газ.
351640	Die Schwestern sind beide sehr schön.	351647	Обе сестры очень красивые.
362206	Bitte setzen Sie sich.	381257	Садитесь, пожалуйста.
383623	Wie immer konnte ich nur hoffen, die Polizei hält mich nicht an.	383627	Как всегда, я мог только надеяться, что милиция меня не остановит.
386910	Das Beben verursachte auch 150 Tote.	386913	Это землетрясение также унесло сто пятьдесят жизней.
386920	Mary Hat war diese Woche in New Orleans.	386930	Мэри Хет была на этой неделе в Новом Орлеане.
386915	Die Stadt ist völlig verwüstet.	386935	Город полностью опустошён.
386938	Erektionsprobleme können verschiedene Ursachen haben.	386941	Проблемы с эрекцией могут быть вызваны различными причинами.
389075	"Um wie viel Uhr steht ihr auf?" "Um 8 Uhr."	389084	«Во сколько вы встаёте?» — «В восемь».
389073	"Um wie viel Uhr stehen Sie auf?" "Um 8 Uhr."	389085	«Когда Вы встаёте?» — «В 8 утра».
389086	Ich weiß, dass ihr stark seid, aber der politische Druck wird stärker sein.	389094	Я знаю, что вы сильны, но политическое давление будет сильнее.
389105	Meine Sprache ist nicht in der Liste!	389259	Моего языка нет в списке!
341662	Ich habe den Schlüssel verloren.	393162	Я потерял ключ.
393909	Im Ursprungsland Frankreich wurde Tatoeba ein kulturelles und soziales Phänomen.	394159	У себя на родине, во Франции, проект Tatoeba стал культурным и социальным феноменом.
394348	Das ist meine Hose.	394349	Это мои штаны.
394346	Bitte zeigen Sie mir diese Fotos.	394354	Пожалуйста, покажите мне эти фотографии.
342116	Ich halte die Kälte nicht länger aus.	394539	Я не могу больше терпеть этот холод.
353734	Mein Lieblingsfußballer ist Shinji Ono.	395572	Мой любимый футболист — Синдзи Оно.
447	Wie, du weißt nicht?!	398994	Что, ты не знаешь?!
400715	Ich möchte nach London gehen.	400718	Я хочу поехать в Лондон.
400713	Diese Tür führt ins Arbeitszimmer.	400719	Эта дверь ведёт в кабинет.
400716	Sie achten ihn.	400724	Они его уважают.
400726	Mathematik ist das Fach, dass ich am wenigsten lernen möchte.	400728	Математика — это предмет, который мне меньше всего хочется изучать.
399163	Mein Zimmer ist im vierten Stock.	400906	Моя комната на четвёртом этаже.
401879	Steht Deutschland über allem?	401880	Германия превыше всего?
361552	Ja, ich bin aus Sapporo.	402207	Да, я из Саппоро.
404157	Bisher ist mein Deutsch schrecklich, aber ich werde versuchen, gut Deutsch zu lernen.	404158	Пока что я ужасно говорю по-немецки, но я попробую выучить немецкий хорошо.
404612	Ich kenne Jim seit meiner Kindheit.	404615	Я знаю Джима с детства.
366443	Man soll das Eisen schmieden, solange es heiß ist.	405008	Куй железо, пока горячо.
372775	Ich kann ihre Eifersucht nicht ertragen.	407457	Не могу выносить ее ревности.
332166	Die Nachbarn sehen, dass der Briefkasten nicht geleert ist.	407486	Соседи видят, что из почтового ящика не вынимают почту.
397766	Die Sommerhitze ist gekommen.	407599	Пришла летняя жара.
341504	Ich mag Jazzmusik.	407618	Мне нравится джаз.
407620	Entschuldigung, ist dieser Platz noch frei?	407625	Извините, это место еще свободно?
407617	Sie hat immer nachmittags Zeit.	407628	После обеда у нее всегда есть время.
407616	Morgen früh habe ich Zeit.	407629	У меня есть время завтра утром.
407614	Nächsten Sonntag habe ich Zeit.	407631	У меня будет время в это воскресенье.
407630	Zwei Stühle waren frei.	407633	Два стула были незаняты.
407627	Haben Sie ein Zimmer frei?	407635	У нее есть свободное время?
407626	Das einzige freie Zimmer ist ein Doppelzimmer.	407636	Единственная свободная комната — на двоих.
407623	Haben Sie heute Nacht ein Zimmer frei?	407638	У вас будет на эту ночь одна свободная комната?
407622	Wir sind noch nicht so hungrig.	407640	Мы пока еще не слишком голодны.
407639	Kuchen? Ich bin plötzlich wieder hungrig!!	407642	Пирог? Мне вдруг снова захотелось есть!
407637	Das schäbige Abteil blieb leer.	407644	Запущенная комната осталась незанятой.
406804	Habt ihr in letzter Zeit von ihr gehört?	407797	Вы слышали о ней в последнее время?
368719	Ich weiß, dass er es getan hat.	407798	Я знаю, что он это сделал.
342038	Dieser Schreibtisch ist zu schwer zum Anheben.	407799	Этот письменный стол слишком тяжёлый, чтобы его поднять.
394271	Bitte sag mir deine Meinung.	407800	Пожалуйста, скажи мне своё мнение.
406899	Sie ist zu jung, um zu heiraten.	407802	Она слишком молода, чтобы выходить замуж.
398912	Ihre Haut ist so weiß wie Schnee.	407804	Её кожа бела как снег.
360910	Ich kenne das Mädchen.	407806	Я знаю эту девушку.
358114	Ich bin stolz darauf, mit euch zu arbeiten.	407807	Я горжусь тем, что работаю с вами.
400092	Es begann, stark zu regnen.	407808	Пошёл сильный дождь.
406410	Das Gesetz sagt, dass alle Menschen gleichberechtigt sind.	407809	В законе говорится, что все люди равны.
365013	Ich gehe in den Park.	407810	Я иду в парк.
400256	Der Mensch ist ein Teil der Natur.	407812	Человек - это часть природы.
406759	Er ist sehr sympathisch, also arbeite ich gerne mit ihm.	407819	Он очень симпатичный, поэтому мне нравится работать с ним.
362107	Sie ist sehr weise.	407822	Она очень мудра.
406374	Sie beschloss, nicht an der Sitzung teilzunehmen.	407827	Она решила не принимать участия в заседании.
403063	Ja, ich verstehe. Danke schön.	407830	Да, я понимаю. Большое спасибо.
399034	Ich bewundere seine aristokratischen Manieren.	407835	Я восхищаюсь его аристократическими манерами.
340935	Nur Wasser, bitte.	407838	Только воду, пожалуйста.
362765	Das Bild erinnert mich an meine Familie.	407840	Эта картина напоминает мне о моей семье.
370437	Bitte leihe mir dieses Buch für ein paar Tage.	407842	Пожалуйста, дай мне на несколько дней эту книгу.
383810	Wieso sagt er nicht die Wahrheit?	407844	Почему он не говорит правду?
364412	Der Wind legte sich am Abend.	407847	Ветер успокоился вечером.
358378	Ich kann schwimmen.	407849	Я умею плавать.
359680	Wenn wir gerade von Shakespeare sprechen, haben Sie sein Werk schon gelesen?	407889	Раз уж мы заговорили о Шекспире, вы уже прочитали его сочинение?
341518	Mein Bruder spricht sehr schnell.	407890	Мой брат говорит очень быстро.
403016	Meine Muttersprache ist Japanisch.	407903	Мой родной язык — японский.
395419	Der Polizist kontrollierte jedes Auto einzeln.	407904	Полицейский проверял каждый автомобиль отдельно.
372313	Wir spielen jeden Samstag Fußball.	407905	Каждую субботу мы играем в футбол.
367422	Die Kinder schlitterten auf dem Eis.	407906	Дети скользили на льду.
403084	Das ist das Hotel.	407907	Это отель.
1243	Er hat sich sehr verändert seit dem letzten Mal.	407908	Он очень изменился с последнего раза.
344485	Dieses Mädchen hat keine Mutter.	407909	У этой девушки нет матери.
345245	China ist reich an natürlichen Ressourcen.	407910	Китай богат природными ресурсами.
341450	Mein Großvater spricht manchmal mit sich selbst, wenn er allein ist.	407911	Иногда мой дед говорит сам с собой, когда он остаётся один.
400257	Er ist sich sicher, dass er die nächste Prüfung bestehen wird.	407912	Он уверен, что выдержит следующую проверку.
398597	Mein Vater ist schweigsam.	407913	Мой отец неразговорчив.
360972	Tom mag keinen Käse.	407914	Том не любит сыр.
341556	Er widmete sich der Forschung.	407924	Он посвятил себя исследованию.
405755	Ich habe ein neues Haus gebaut.	407927	Я построил новый дом.
354419	Ich will Ingenieur werden.	407930	Я хочу стать инженером.
371841	Mit etwas mehr Geduld hättest du das Puzzle lösen können.	407934	Ты смог бы составить пазл, если бы у тебя было немного больше терпения.
341966	Zum Bahnhof fährt man zehn Minuten von hier.	407938	Отсюда до вокзала десять минут езды.
338741	Ich werde dir die Stadt zeigen.	407940	Я покажу тебе город.
393440	Wer ist euer Lehrer?	407944	Кто ваш учитель?
361978	Können Sie mir den Weg zum Hafen zeigen?	407946	Не могли бы Вы показать мне дорогу к порту?
367426	Sie sieht jung aus, aber tatsächlich ist sie über 40.	407950	Она выглядит молодой, но на самом деле ей больше 40.
389265	Ich bin auf Diät und wüsste gerne, ob Schokolade dick macht.	407955	Я сижу на диете и хотел бы знать, полнеют ли от шоколада.
370254	Qualität ist wichtiger als Quantität.	407963	Качество важнее количества.
369591	Diese Heizvorrichtung verwendet Erdöl als Brennstoff.	407965	Этот отопительный прибор использует нефть как топливо.
368787	Normalerweise gehe ich zu Fuß.	407966	Обычно я иду пешком.
340945	Ich traf eine alte Frau.	407969	Я встретил одну пожилую женщину.
357484	Lass uns eine Pause machen.	407970	Давай сделаем паузу.
360766	Ich will dir einen kleinen Ratschlag geben.	407971	Я хочу дать тебе небольшой совет.
372410	Meine Katze mag nicht nass werden.	407972	Моя кошка не любит промокать.
389113	Die Mehrheit der großen japanischen Firmen hängt vom Export ab.	407975	Многие большие японские фирмы зависят от экспорта.
403644	Tom traf Mary auf dem Schulweg.	407976	Том встретил Мери по дороге в школу.
401740	Ist Flug 123 verspätet?	407977	Задержится ли рейс 123?
6090	Ich wäre lieber ein Vogel als ein Fisch.	407978	Я бы лучше был птицей, чем рыбой.
761	Wenn ich keine Antwort gegeben hätte, hätte ich nicht gesprochen.	407979	Если бы я не отвечал, я бы не говорил.
345383	Es ist acht Uhr morgens.	407980	Сейчас восемь часов утра.
372765	Menschen mit schlechten Augen können nicht in die Ferne sehen.	407982	Люди с плохим зрением не могут видеть даль.
406956	Tut mir leid, dass ich euch so lange habe warten lassen.	407986	Мне жаль, что я заставил вас так долго ждать.
351690	Glauben Sie an Gespenster?	407989	Верите ли Вы в привидения?
367514	Ohne dich hätte mein Leben keinen Sinn.	407991	Без тебя моя жизнь была бы бессмысленна.
342986	Der Hund sieht hungrig aus.	407993	Пёс выглядит голодным.
367364	Ich wecke ihn jeden Morgen um sechs.	407997	Каждое утро я бужу его в 6.
405703	Ken hat nach dir gesucht.	407999	Кен тебя искал.
341705	Ich mag Sport.	408001	Я люблю спорт.
358110	Ich teile eine Wohnung mit meinem Bruder.	408006	Я делю квартиру со своим братом.
357454	Mein Hund tut oft so, als würde er schlafen.	408016	Мой пёс часто притворяется спящим.
367352	Wie komme ich zur Polizei?	408017	Как мне пройти в полицию?
340966	Du solltest mehr Obst essen.	408019	Ты должен был есть больше фруктов.
355367	Tony spricht genauso gut Englisch wie du.	408021	Тони говорит по-английски так же хорошо, как ты.
341498	Magst du Musik?	408023	Ты любишь музыку?
406863	Kann ich mich euch anschließen?	408026	Могу ли я присоединиться к вам?
351607	Ich frage mich, wieso er zu spät ist.	408029	Я задаю себе вопрос: почему он опаздывает?
342783	Die wirtschaftliche Entwicklung ist wichtig für Afrika.	408030	Экономическое развитие важно для Африки.
392383	Du musst deine Aufgaben erledigen.	408031	Ты должен доделать своё задание.
366903	Unsere Footballmannschaft hat eine gute Verteidigung.	408034	В нашей футбольной команде хорошая защита.
379852	Er war gestern nicht in der Schule.	408037	Его вчера не было в школе.
358301	Alle mögen ihn.	408095	Его все любят.
372644	Schließen Sie das Fenster, bevor Sie zu Bett gehen.	408097	Закрывайте окно, прежде чем ложиться спать.
392767	Ein Wassermolekül besteht aus zwei Wasserstoffatomen und einem Sauerstoffatom.	408099	Молекула воды состоит из двух атомов водорода и одного атома кислорода.
362186	Nur wenige Studenten können Latein lesen.	408100	Немного студентов, которые читают на латыни.
352080	Ich wünschte, sie würde mit dem Rauchen aufhören.	408336	Я бы хотел, чтобы она бросила курить.
408354	Dies ist das Buch, von dem ich dir erzählt habe.	408355	Это книга, о которой я тебе рассказывал.
351685	Wird es heute Abend schneien?	408366	Будет ли сегодня вечером снег?
351701	Er wohnt einen Stock über mir.	408367	Он живёт этажом выше меня.
402024	Das Leben ist bestenfalls ein Meer von Problemen.	408368	В лучшем случае жизнь - это море проблем.
358438	Mein Freund George kommt diesen Sommer nach Japan.	408369	Мой друг Джордж этим летом едет в Японию.
381123	Können Sie das Fenster öffnen?	408370	Не могли бы вы открыть окно?
400246	Ich habe die richtigen Antworten auf die Fragen gegeben.	408371	Я дал правильные ответы на вопросы.
408433	Tom spricht Spanisch, und Betty auch.	408438	Том говорит по-испански, и Бетти тоже.
408429	Darf ich Sie in den nächsten Tagen einmal zu Hause besuchen?	408441	Могу ли я на днях прийти к Вам домой?
568	Warum gehen Leute ins Kino?	408632	Почему люди идут в кино?
408703	Das Telefon funktioniert im Moment nicht.	408705	Телефон сейчас не работает.
408707	Die Heizung ist kaputt.	408709	Отопление не работает.
357769	Er kann nicht schwimmen.	408924	Он не умеет плавать.
362186	Nur wenige Studenten können Latein lesen.	408963	Лишь немногие студенты могут читать на латыни.
392875	Warum kannst du nicht kommen?	410451	Почему ты не можешь прийти?
356156	Was kocht ihr?	411448	Что вы готовите?
356155	Was kochen Sie?	411452	Что Вы готовите?
380741	Ich habe zwei Töchter.	412131	У меня две дочери.
412140	Er ist ein berühmter Maler.	412146	Он известный художник.
412224	Sie benutzen keine Stühle und Tische.	412228	Они не пользуются столом и стульями.
372408	Sie stand immer früh auf.	412237	Она всегда рано встаёт.
412239	Mein Vater wird bald 40 sein.	412248	Моему отцу скоро будет сорок.
412247	Mein Ziel ist, Arzt zu werden.	412249	Моя цель — стать врачом.
412262	Wir haben zwei Katzen; die eine ist weiß und die andere schwarz.	412265	У нас две кошки: одна белая, а другая чёрная.
412260	Er antwortete, er könne gut schwimmen.	412266	Он ответил, что умел хорошо плавать.
412267	Glaubst du wirklich an Geister?	412268	Ты правда веришь в привидения?
412310	Könnten wir einen Tisch in der Nichtraucherecke haben?	412315	Мы бы хотели столик в отделении для некурящих.
412326	Ich bin allergisch gegen Fisch.	412328	У меня аллергия на рыбу.
356638	Vielen Dank für Ihre Hilfe.	412367	Большое спасибо за вашу помощь.
362316	Da ist eine gelbe Rose.	412442	Там есть жёлтая роза.
367108	Ich habe viele Lücken in Mathematik.	412467	У меня много пробелов в математике.
353090	Er ist ihr Freund.	412481	Он её друг.
341726	Gut, ich werde noch fünfzehn Sätze ins Deutsche übersetzen, aber danach gehe ich.	412855	Ладно, я переведу ещё пятнадцать предложений на немецком, а потом уйду.
396415	Sie macht mich ganz verrückt.	424962	Она совершенно сводит меня с ума.
